"Kongens Nytorv 4, st., 1050 København K"
"Kongens Nytorv 4, 1., 1050 København K"
"Kongens Nytorv 6, kl., 1050 København K"
"Kongens Nytorv 6, st., 1050 København K"
"Kongens Nytorv 6, st. 1, 1050 København K"
"Kongens Nytorv 6, 1., 1050 København K"
"Kongens Nytorv 6, 2., 1050 København K"
"Kongens Nytorv 6, 3., 1050 København K"
"Kongens Nytorv 6, 4., 1050 København K"
"Kongens Nytorv 8, kl., 1050 København K"
"Kongens Nytorv 8, st., 1050 København K"
"Kongens Nytorv 8, 1., 1050 København K"
"Kongens Nytorv 8, 2., 1050 København K"
"Kongens Nytorv 8, 3., 1050 København K"
"Kongens Nytorv 1C, 1050 København K"
"Kongens Nytorv 1E, 1050 København K"
"Kongens Nytorv 8, 4., 1050 København K"
"Kongens Nytorv 8, 5., 1050 København K"
"Kongens Nytorv 13, kl., 1050 København K"
"Kongens Nytorv 13, st., 1050 København K"
"Kongens Nytorv 13, 1., 1050 København K"
"Kongens Nytorv 13, 2., 1050 København K"
"Kongens Nytorv 13, 3., 1050 København K"
"Kongens Nytorv 13, 4., 1050 København K"
"Kongens Nytorv 13, 5., 1050 København K"
"Kongens Nytorv 13, 6., 1050 København K"
"Kongens Nytorv 16, st., 1050 København K"
"Kongens Nytorv 16, 1., 1050 København K"
"Kongens Nytorv 16, 2., 1050 København K"
"Kongens Nytorv 16, 3., 1050 København K"
"Kongens Nytorv 17, st., 1050 København K"
"Kongens Nytorv 17, 1., 1050 København K"
"Kongens Nytorv 17, 2., 1050 København K"
"Kongens Nytorv 17, 3., 1050 København K"
"Kongens Nytorv 17, 4. th, 1050 København K"
"Kongens Nytorv 17, 4. tv, 1050 København K"
"Kongens Nytorv 18, kl., 1050 København K"
"Kongens Nytorv 18, st., 1050 København K"
"Kongens Nytorv 18, 1., 1050 København K"
"Kongens Nytorv 18, 2., 1050 København K"
"Kongens Nytorv 18, 3. 1, 1050 København K"
"Kongens Nytorv 18, 3. 2, 1050 København K"
"Kongens Nytorv 18, 4. 1, 1050 København K"
"Kongens Nytorv 18, 4. 2, 1050 København K"
"Kongens Nytorv 18, 5., 1050 København K"
"Kongens Nytorv 19, kl., 1050 København K"
"Kongens Nytorv 19, kl. 1, 1050 København K"
"Kongens Nytorv 19, st., 1050 København K"
"Kongens Nytorv 19, 1., 1050 København K"
"Kongens Nytorv 19, 2., 1050 København K"
"Kongens Nytorv 19, 3., 1050 København K"
"Kongens Nytorv 19, 4., 1050 København K"
"Kongens Nytorv 20, kl. th, 1050 København K"
"Kongens Nytorv 20, kl. tv, 1050 København K"
"Kongens Nytorv 20, st., 1050 København K"
"Kongens Nytorv 20, 1., 1050 København K"
"Kongens Nytorv 20, 2., 1050 København K"
"Kongens Nytorv 20, 3., 1050 København K"
"Kongens Nytorv 20, 4., 1050 København K"
"Kongens Nytorv 21, kl., 1050 København K"
"Kongens Nytorv 21, st. th, 1050 København K"
"Kongens Nytorv 21, st. tv, 1050 København K"
"Kongens Nytorv 21, st. 1, 1050 København K"
"Kongens Nytorv 21, st. 2, 1050 København K"
"Kongens Nytorv 21, st. 3, 1050 København K"
"Kongens Nytorv 21, st. 4, 1050 København K"
"Kongens Nytorv 21, 1., 1050 København K"
"Kongens Nytorv 21, 1. th, 1050 København K"
"Kongens Nytorv 21, 1. tv, 1050 København K"
"Kongens Nytorv 21, 2., 1050 København K"
"Kongens Nytorv 21, 2. 2, 1050 København K"
"Kongens Nytorv 21, 3., 1050 København K"
"Kongens Nytorv 21, 3. tv, 1050 København K"
"Kongens Nytorv 21, 4. th, 1050 København K"
"Kongens Nytorv 21, 4. tv, 1050 København K"
"Kongens Nytorv 22, 5., 1050 København K"
"Kongens Nytorv 23, kl. 1, 1050 København K"
"Kongens Nytorv 23, kl. 2, 1050 København K"
"Kongens Nytorv 23, st., 1050 København K"
"Kongens Nytorv 24, st., 1050 København K"
"Kongens Nytorv 24, 1., 1050 København K"
"Kongens Nytorv 24, 2., 1050 København K"
"Kongens Nytorv 24, 3., 1050 København K"
"Kongens Nytorv 24, 4., 1050 København K"
"Kongens Nytorv 26, kl., 1050 København K"
"Kongens Nytorv 26, st. 1, 1050 København K"
"Kongens Nytorv 26, st. 2, 1050 København K"
"Kongens Nytorv 26, st. 3, 1050 København K"
"Kongens Nytorv 26, 1., 1050 København K"
"Kongens Nytorv 26, 2., 1050 København K"
"Kongens Nytorv 26, 3., 1050 København K"
"Kongens Nytorv 26, 4., 1050 København K"
"Kongens Nytorv 28, kl. 2, 1050 København K"
"Kongens Nytorv 28, kl. 3, 1050 København K"
"Kongens Nytorv 28, st., 1050 København K"
"Kongens Nytorv 28, 2., 1050 København K"
"Kongens Nytorv 28, 3., 1050 København K"
"Kongens Nytorv 28, 4., 1050 København K"
"Kongens Nytorv 30, kl. 6, 1050 København K"
"Kongens Nytorv 30, st., 1050 København K"
"Kongens Nytorv 30, 1., 1050 København K"
"Kongens Nytorv 34, 1050 København K"
"Kongens Nytorv 15, 1050 København K"
"Kongens Nytorv 6, 1050 København K"
"Kongens Nytorv 16, 1. tv, 1050 København K"
"Kongens Nytorv 17, 1050 København K"
"Kongens Nytorv 1, st., 1050 København K"
"Kongens Nytorv 13, 4., 1050 København K"
"Kongens Nytorv 1, 3., 1050 København K"
"Kongens Nytorv 13, 3., 1050 København K"
"Kongens Nytorv 13, 2., 1050 København K"
"Kongens Nytorv 16, 3. th, 1050 København K"
"Kongens Nytorv 22, 1., 1050 København K"
"Kongens Nytorv 16, 1. th, 1050 København K"
"Kongens Nytorv 23, 1., 1050 København K"
"Kongens Nytorv 8, 3. th, 1050 København K"
"Kongens Nytorv 11, 1050 København K"
"Kongens Nytorv 15, 3., 1050 København K"
