"Peder Skrams Gade 28, 4. tv, 1054 København K"
"Peder Skrams Gade 1, kl. th, 1054 København K"
"Peder Skrams Gade 1, kl. tv, 1054 København K"
"Peder Skrams Gade 1, st. mf, 1054 København K"
"Peder Skrams Gade 1, st. th, 1054 København K"
"Peder Skrams Gade 1, st. tv, 1054 København K"
"Peder Skrams Gade 1, 1. mf, 1054 København K"
"Peder Skrams Gade 1, 1. th, 1054 København K"
"Peder Skrams Gade 1, 1. tv, 1054 København K"
"Peder Skrams Gade 1, 2. mf, 1054 København K"
"Peder Skrams Gade 1, 2. th, 1054 København K"
"Peder Skrams Gade 1, 2. tv, 1054 København K"
"Peder Skrams Gade 1, 3. mf, 1054 København K"
"Peder Skrams Gade 1, 3. th, 1054 København K"
"Peder Skrams Gade 1, 3. tv, 1054 København K"
"Peder Skrams Gade 1, 4. mf, 1054 København K"
"Peder Skrams Gade 1, 4. th, 1054 København K"
"Peder Skrams Gade 1, 4. tv, 1054 København K"
"Peder Skrams Gade 1, 5. th, 1054 København K"
"Peder Skrams Gade 1, 5. tv, 1054 København K"
"Peder Skrams Gade 3, kl., 1054 København K"
"Peder Skrams Gade 3, st., 1054 København K"
"Peder Skrams Gade 3, 1., 1054 København K"
"Peder Skrams Gade 3, 2., 1054 København K"
"Peder Skrams Gade 3, 3., 1054 København K"
"Peder Skrams Gade 3, 4., 1054 København K"
"Peder Skrams Gade 3, 5., 1054 København K"
"Peder Skrams Gade 5, st. th, 1054 København K"
"Peder Skrams Gade 5, st. tv, 1054 København K"
"Peder Skrams Gade 5, 1., 1054 København K"
"Peder Skrams Gade 5, 2., 1054 København K"
"Peder Skrams Gade 5, 3., 1054 København K"
"Peder Skrams Gade 5, 4. th, 1054 København K"
"Peder Skrams Gade 5, 4. tv, 1054 København K"
"Peder Skrams Gade 5, 5. th, 1054 København K"
"Peder Skrams Gade 5, 5. tv, 1054 København K"
"Peder Skrams Gade 7, kl. 2, 1054 København K"
"Peder Skrams Gade 7, kl. 3, 1054 København K"
"Peder Skrams Gade 7, st. th, 1054 København K"
"Peder Skrams Gade 7, st. tv, 1054 København K"
"Peder Skrams Gade 7, 1. th, 1054 København K"
"Peder Skrams Gade 7, 1. tv, 1054 København K"
"Peder Skrams Gade 7, 2. th, 1054 København K"
"Peder Skrams Gade 7, 2. tv, 1054 København K"
"Peder Skrams Gade 7, 3. th, 1054 København K"
"Peder Skrams Gade 7, 3. tv, 1054 København K"
"Peder Skrams Gade 7, 4. th, 1054 København K"
"Peder Skrams Gade 7, 4. tv, 1054 København K"
"Peder Skrams Gade 8, st., 1054 København K"
"Peder Skrams Gade 8, 5., 1054 København K"
"Peder Skrams Gade 10A, st., 1054 København K"
"Peder Skrams Gade 10A, 1., 1054 København K"
"Peder Skrams Gade 10A, 2., 1054 København K"
"Peder Skrams Gade 10, kl., 1054 København K"
"Peder Skrams Gade 10, st., 1054 København K"
"Peder Skrams Gade 10, 1. th, 1054 København K"
"Peder Skrams Gade 10, 1. tv, 1054 København K"
"Peder Skrams Gade 10, 2. th, 1054 København K"
"Peder Skrams Gade 10, 2. tv, 1054 København K"
"Peder Skrams Gade 10, 3. th, 1054 København K"
"Peder Skrams Gade 10, 3. tv, 1054 København K"
"Peder Skrams Gade 10, 4. th, 1054 København K"
"Peder Skrams Gade 10, 4. tv, 1054 København K"
"Peder Skrams Gade 11, kl. th, 1054 København K"
"Peder Skrams Gade 11, kl. tv, 1054 København K"
"Peder Skrams Gade 11, st. th, 1054 København K"
"Peder Skrams Gade 11, st. tv, 1054 København K"
"Peder Skrams Gade 11, 1. th, 1054 København K"
