"Holbergsgade 30, st. 20, 1057 København K"
"Holbergsgade 30, st. 19, 1057 København K"
"Holbergsgade 19, kl., 1057 København K"
"Holbergsgade 19, 1. th, 1057 København K"
"Holbergsgade 19, 1. tv, 1057 København K"
"Holbergsgade 19, 2. th, 1057 København K"
"Holbergsgade 19, 2. tv, 1057 København K"
"Holbergsgade 19, 3. th, 1057 København K"
"Holbergsgade 19, 3. tv, 1057 København K"
"Holbergsgade 19, 4. th, 1057 København K"
"Holbergsgade 19, 4. tv, 1057 København K"
"Holbergsgade 19, 5. th, 1057 København K"
"Holbergsgade 20, st., 1057 København K"
"Holbergsgade 20, 1. th, 1057 København K"
"Holbergsgade 20, 1. tv, 1057 København K"
"Holbergsgade 20, 2. th, 1057 København K"
"Holbergsgade 20, 2. tv, 1057 København K"
"Holbergsgade 20, 3. th, 1057 København K"
"Holbergsgade 20, 3. tv, 1057 København K"
"Holbergsgade 20, 4. th, 1057 København K"
"Holbergsgade 20, 4. tv, 1057 København K"
"Holbergsgade 22, st. th, 1057 København K"
"Holbergsgade 22, st. tv, 1057 København K"
"Holbergsgade 22, 1. th, 1057 København K"
"Holbergsgade 22, 1. tv, 1057 København K"
"Holbergsgade 22, 2. th, 1057 København K"
"Holbergsgade 22, 2. tv, 1057 København K"
"Holbergsgade 22, 3. th, 1057 København K"
"Holbergsgade 22, 3. tv, 1057 København K"
"Holbergsgade 22, 4. th, 1057 København K"
"Holbergsgade 22, 4. tv, 1057 København K"
"Holbergsgade 26, st. th, 1057 København K"
"Holbergsgade 26, st. tv, 1057 København K"
"Holbergsgade 26, 1. th, 1057 København K"
"Holbergsgade 26, 1. tv, 1057 København K"
"Holbergsgade 26, 2. th, 1057 København K"
"Holbergsgade 26, 2. tv, 1057 København K"
"Holbergsgade 26, 3. th, 1057 København K"
"Holbergsgade 26, 3. tv, 1057 København K"
"Holbergsgade 26, 4. th, 1057 København K"
"Holbergsgade 26, 4. tv, 1057 København K"
"Holbergsgade 28A, st., 1057 København K"
"Holbergsgade 28A, 1. th, 1057 København K"
"Holbergsgade 28A, 1. tv, 1057 København K"
"Holbergsgade 28A, 2. th, 1057 København K"
"Holbergsgade 28A, 2. tv, 1057 København K"
"Holbergsgade 28A, 3. th, 1057 København K"
"Holbergsgade 28A, 3. tv, 1057 København K"
"Holbergsgade 28A, 4. th, 1057 København K"
"Holbergsgade 28A, 4. tv, 1057 København K"
"Holbergsgade 28B, st., 1057 København K"
"Holbergsgade 28B, 1., 1057 København K"
"Holbergsgade 28B, 2., 1057 København K"
"Holbergsgade 28B, 3., 1057 København K"
"Holbergsgade 28B, 4., 1057 København K"
"Holbergsgade 28, kl. 1, 1057 København K"
"Holbergsgade 28, kl. 2, 1057 København K"
"Holbergsgade 28, kl. 3, 1057 København K"
"Holbergsgade 28, kl. 4, 1057 København K"
"Holbergsgade 30, kl., 1057 København K"
"Holbergsgade 30, st. th, 1057 København K"
"Holbergsgade 30, st. tv, 1057 København K"
"Holbergsgade 30, 1. th, 1057 København K"
"Holbergsgade 30, 1. tv, 1057 København K"
"Holbergsgade 30, 2. th, 1057 København K"
"Holbergsgade 30, 2. tv, 1057 København K"
"Holbergsgade 30, 3. th, 1057 København K"
"Holbergsgade 30, 3. tv, 1057 København K"
"Holbergsgade 30, 4. th, 1057 København K"
"Holbergsgade 30, 4. tv, 1057 København K"
"Holbergsgade 2, kl., 1057 København K"
"Holbergsgade 2, st., 1057 København K"
"Holbergsgade 2, 1., 1057 København K"
"Holbergsgade 2, 2., 1057 København K"
"Holbergsgade 2, 3., 1057 København K"
"Holbergsgade 2, 4., 1057 København K"
"Holbergsgade 6, st. th, 1057 København K"
"Holbergsgade 6, st. tv, 1057 København K"
"Holbergsgade 6, 1. th, 1057 København K"
"Holbergsgade 6, 1. tv, 1057 København K"
"Holbergsgade 6, 2. th, 1057 København K"
"Holbergsgade 6, 2. tv, 1057 København K"
"Holbergsgade 6, 3. th, 1057 København K"
"Holbergsgade 6, 3. tv, 1057 København K"
"Holbergsgade 6, 4. th, 1057 København K"
"Holbergsgade 6, 4. tv, 1057 København K"
"Holbergsgade 7A, st., 1057 København K"
"Holbergsgade 7B, st., 1057 København K"
"Holbergsgade 7C, st., 1057 København K"
"Holbergsgade 7, st., 1057 København K"
"Holbergsgade 7, 1. th, 1057 København K"
"Holbergsgade 7, 1. tv, 1057 København K"
"Holbergsgade 7, 2. th, 1057 København K"
"Holbergsgade 7, 2. tv, 1057 København K"
"Holbergsgade 7, 3. th, 1057 København K"
"Holbergsgade 7, 3. tv, 1057 København K"
"Holbergsgade 7, 4. th, 1057 København K"
"Holbergsgade 7, 4. tv, 1057 København K"
"Holbergsgade 7, 5., 1057 København K"
"Holbergsgade 8, kl., 1057 København K"
"Holbergsgade 8, st., 1057 København K"
"Holbergsgade 9, st. th, 1057 København K"
"Holbergsgade 9, st. tv, 1057 København K"
"Holbergsgade 9, 1. th, 1057 København K"
"Holbergsgade 9, 1. tv, 1057 København K"
"Holbergsgade 9, 2. th, 1057 København K"
"Holbergsgade 9, 2. tv, 1057 København K"
"Holbergsgade 9, 3. th, 1057 København K"
"Holbergsgade 9, 3. tv, 1057 København K"
"Holbergsgade 9, 4. th, 1057 København K"
"Holbergsgade 9, 4. tv, 1057 København K"
"Holbergsgade 10, kl., 1057 København K"
