"Østergade 42B, st., 1100 København K"
"Østergade 42A, 2., 1100 København K"
"Østergade 42A, 3., 1100 København K"
"Østergade 42A, 4., 1100 København K"
"Østergade 42B, kl., 1100 København K"
"Østergade 11, 1., 1100 København K"
"Østergade 4, 1., 1100 København K"
"Østergade 4, 2., 1100 København K"
"Østergade 4, 3., 1100 København K"
"Østergade 4, 4., 1100 København K"
"Østergade 5, 1., 1100 København K"
"Østergade 6, kl., 1100 København K"
"Østergade 6, st., 1100 København K"
"Østergade 6, 1., 1100 København K"
"Østergade 6, 2., 1100 København K"
"Østergade 6, 3., 1100 København K"
"Østergade 6, 4., 1100 København K"
"Østergade 7, kl. th, 1100 København K"
"Østergade 7, kl. tv, 1100 København K"
"Østergade 7, st., 1100 København K"
"Østergade 7, 1., 1100 København K"
"Østergade 7, 2., 1100 København K"
"Østergade 7, 3., 1100 København K"
"Østergade 7, 4., 1100 København K"
"Østergade 8, st., 1100 København K"
"Østergade 8, 1., 1100 København K"
"Østergade 8, 2., 1100 København K"
"Østergade 8, 3., 1100 København K"
"Østergade 8, 4., 1100 København K"
"Østergade 8, 5., 1100 København K"
"Østergade 8, 6., 1100 København K"
"Østergade 8, 7., 1100 København K"
"Østergade 10, kl., 1100 København K"
"Østergade 10, kl. th, 1100 København K"
"Østergade 10, st., 1100 København K"
"Østergade 10, 1., 1100 København K"
"Østergade 10, 2., 1100 København K"
"Østergade 10, 3., 1100 København K"
"Østergade 10, 4., 1100 København K"
"Østergade 11, kl., 1100 København K"
"Østergade 11, st., 1100 København K"
"Østergade 11, 2., 1100 København K"
"Østergade 11, 3., 1100 København K"
"Østergade 11, 4., 1100 København K"
"Østergade 12, kl., 1100 København K"
"Østergade 12, st., 1100 København K"
"Østergade 12, 1., 1100 København K"
"Østergade 12, 2., 1100 København K"
"Østergade 12, 3., 1100 København K"
"Østergade 12, 4., 1100 København K"
"Østergade 13, kl., 1100 København K"
"Østergade 13, st. mf, 1100 København K"
"Østergade 13, st. th, 1100 København K"
"Østergade 13, st. tv, 1100 København K"
"Østergade 13, 1., 1100 København K"
"Østergade 13, 3. th, 1100 København K"
"Østergade 13, 3. tv, 1100 København K"
"Østergade 14, kl., 1100 København K"
"Østergade 14, st., 1100 København K"
"Østergade 14, 1., 1100 København K"
"Østergade 14, 2., 1100 København K"
"Østergade 14, 3., 1100 København K"
"Østergade 14, 4., 1100 København K"
"Østergade 15, st. 1, 1100 København K"
"Østergade 15, st. 2, 1100 København K"
"Østergade 15, st. 3, 1100 København K"
"Østergade 16A, 3. tv, 1100 København K"
"Østergade 16A, 4. tv, 1100 København K"
"Østergade 16B, 3., 1100 København K"
"Østergade 16, kl. 1, 1100 København K"
"Østergade 16, kl. 2, 1100 København K"
"Østergade 16, kl. 3, 1100 København K"
"Østergade 16, st. 1, 1100 København K"
"Østergade 16, st. 2, 1100 København K"
"Østergade 16, 2., 1100 København K"
"Østergade 16, 3. th, 1100 København K"
"Østergade 16, 3. tv, 1100 København K"
"Østergade 16, 4. tv, 1100 København K"
"Østergade 16, 4. 3, 1100 København K"
"Østergade 16, 4. 4, 1100 København K"
"Østergade 16, 5., 1100 København K"
"Østergade 17, kl. 2, 1100 København K"
"Østergade 17, st. th, 1100 København K"
"Østergade 17, st. tv, 1100 København K"
"Østergade 17, 1., 1100 København K"
"Østergade 17, 2., 1100 København K"
"Østergade 17, 2. th, 1100 København K"
"Østergade 17, 2. tv, 1100 København K"
"Østergade 17, 3. th, 1100 København K"
"Østergade 17, 3. tv, 1100 København K"
"Østergade 17, 4., 1100 København K"
"Østergade 18, kl., 1100 København K"
"Østergade 18, st., 1100 København K"
"Østergade 18, 1. mf, 1100 København K"
"Østergade 18, 1. th, 1100 København K"
