"Kronprinsensgade 6A, 5., 1114 København K"
"Kronprinsensgade 6A, 6., 1114 København K"
"Kronprinsensgade 6B, 1., 1114 København K"
"Kronprinsensgade 6B, 3., 1114 København K"
"Kronprinsensgade 6B, 4., 1114 København K"
"Kronprinsensgade 6B, 2., 1114 København K"
"Kronprinsensgade 6B, st., 1114 København K"
"Kronprinsensgade 5, 1., 1114 København K"
"Kronprinsensgade 5A, 1. tv, 1114 København K"
"Kronprinsensgade 13, 5. tv, 1114 København K"
"Kronprinsensgade 13, 6., 1114 København K"
"Kronprinsensgade 14, kl., 1114 København K"
"Kronprinsensgade 14, st., 1114 København K"
"Kronprinsensgade 14, 1., 1114 København K"
"Kronprinsensgade 14, 2., 1114 København K"
"Kronprinsensgade 14, 3., 1114 København K"
"Kronprinsensgade 14, 4., 1114 København K"
"Kronprinsensgade 1, kl., 1114 København K"
"Kronprinsensgade 1, st., 1114 København K"
"Kronprinsensgade 1, 1., 1114 København K"
"Kronprinsensgade 1, 2., 1114 København K"
"Kronprinsensgade 1, 2. 1, 1114 København K"
"Kronprinsensgade 1, 2. 2, 1114 København K"
"Kronprinsensgade 1, 3., 1114 København K"
"Kronprinsensgade 1, 3. 1, 1114 København K"
"Kronprinsensgade 1, 4., 1114 København K"
"Kronprinsensgade 1, 5., 1114 København K"
"Kronprinsensgade 2, st., 1114 København K"
"Kronprinsensgade 2, 2., 1114 København K"
"Kronprinsensgade 2, 3., 1114 København K"
"Kronprinsensgade 2, 4., 1114 København K"
"Kronprinsensgade 2, 5., 1114 København K"
"Kronprinsensgade 3, kl., 1114 København K"
"Kronprinsensgade 3, st., 1114 København K"
"Kronprinsensgade 3, 1., 1114 København K"
"Kronprinsensgade 3, 2., 1114 København K"
"Kronprinsensgade 3, 3., 1114 København K"
"Kronprinsensgade 3, 4., 1114 København K"
"Kronprinsensgade 4, st., 1114 København K"
"Kronprinsensgade 4, 2., 1114 København K"
"Kronprinsensgade 4, 3., 1114 København K"
"Kronprinsensgade 4, 4., 1114 København K"
"Kronprinsensgade 4, 5., 1114 København K"
"Kronprinsensgade 5A, kl., 1114 København K"
"Kronprinsensgade 5A, st. th, 1114 København K"
"Kronprinsensgade 5A, 3. tv, 1114 København K"
"Kronprinsensgade 5A, 4. tv, 1114 København K"
"Kronprinsensgade 5, st. th, 1114 København K"
"Kronprinsensgade 5, st. tv, 1114 København K"
"Kronprinsensgade 5, 2., 1114 København K"
"Kronprinsensgade 5, 3., 1114 København K"
"Kronprinsensgade 5, 4., 1114 København K"
"Kronprinsensgade 5, 5., 1114 København K"
"Kronprinsensgade 6A, 2., 1114 København K"
"Kronprinsensgade 6A, 3., 1114 København K"
"Kronprinsensgade 6, st., 1114 København K"
"Kronprinsensgade 7, st. th, 1114 København K"
"Kronprinsensgade 7, st. tv, 1114 København K"
"Kronprinsensgade 7, 1., 1114 København K"
