"Åbenrå 14, 1124 København K"
"Åbenrå 31, 3. tv, 1124 København K"
"Åbenrå 31, 4. th, 1124 København K"
"Åbenrå 31, 4. tv, 1124 København K"
"Åbenrå 31, 5. th, 1124 København K"
"Åbenrå 31, 5. tv, 1124 København K"
"Åbenrå 33, kl., 1124 København K"
"Åbenrå 33, st., 1124 København K"
"Åbenrå 33, 1. th, 1124 København K"
"Åbenrå 33, 1. tv, 1124 København K"
"Åbenrå 33, 2. th, 1124 København K"
"Åbenrå 33, 2. tv, 1124 København K"
"Åbenrå 33, 3. th, 1124 København K"
"Åbenrå 33, 3. tv, 1124 København K"
"Åbenrå 33, 4. th, 1124 København K"
"Åbenrå 33, 4. tv, 1124 København K"
"Åbenrå 33, 5., 1124 København K"
"Åbenrå 35, st. th, 1124 København K"
"Åbenrå 35, st. tv, 1124 København K"
"Åbenrå 35, 1. th, 1124 København K"
"Åbenrå 35, 1. tv, 1124 København K"
"Åbenrå 35, 2. th, 1124 København K"
"Åbenrå 35, 2. tv, 1124 København K"
"Åbenrå 35, 3. th, 1124 København K"
"Åbenrå 35, 3. tv, 1124 København K"
"Åbenrå 35, 4. th, 1124 København K"
"Åbenrå 35, 4. tv, 1124 København K"
"Åbenrå 35, 5. th, 1124 København K"
"Åbenrå 35, 5. tv, 1124 København K"
"Åbenrå 5, 4. th, 1124 København K"
"Åbenrå 4, kl., 1124 København K"
"Åbenrå 4, st., 1124 København K"
"Åbenrå 4, 1., 1124 København K"
"Åbenrå 4, 3., 1124 København K"
"Åbenrå 5, kl., 1124 København K"
"Åbenrå 5, st. th, 1124 København K"
"Åbenrå 5, st. tv, 1124 København K"
"Åbenrå 5, 1., 1124 København K"
"Åbenrå 5, 2. th, 1124 København K"
"Åbenrå 5, 2. tv, 1124 København K"
"Åbenrå 5, 3., 1124 København K"
"Åbenrå 5, 5., 1124 København K"
"Åbenrå 5, 6., 1124 København K"
"Åbenrå 6, kl., 1124 København K"
"Åbenrå 6, st., 1124 København K"
"Åbenrå 6, 2., 1124 København K"
"Åbenrå 6, 3., 1124 København K"
"Åbenrå 8, st., 1124 København K"
"Åbenrå 10, 1. th, 1124 København K"
"Åbenrå 10, 1. tv, 1124 København K"
"Åbenrå 10, 2. 1, 1124 København K"
"Åbenrå 10, 2. 2, 1124 København K"
"Åbenrå 10, 2. 3, 1124 København K"
"Åbenrå 10, 2. 4, 1124 København K"
"Åbenrå 10, 2. 5, 1124 København K"
"Åbenrå 10, 3. 10, 1124 København K"
"Åbenrå 10, 3. 11, 1124 København K"
"Åbenrå 10, 3. 12, 1124 København K"
"Åbenrå 10, 3. 8, 1124 København K"
"Åbenrå 10, 3. 9, 1124 København K"
"Åbenrå 10, 4. 13, 1124 København K"
"Åbenrå 10, 4. 14, 1124 København K"
"Åbenrå 18, kl., 1124 København K"
"Åbenrå 18, st., 1124 København K"
"Åbenrå 18, 1., 1124 København K"
"Åbenrå 18, 2., 1124 København K"
"Åbenrå 18, 3., 1124 København K"
