"Amagertorv 14B, st., 1160 København K"
"Amagertorv 14B, 2., 1160 København K"
"Amagertorv 14B, 4., 1160 København K"
"Amagertorv 14B, 1., 1160 København K"
"Amagertorv 14B, 3., 1160 København K"
"Amagertorv 14B, 5., 1160 København K"
"Amagertorv 14, 5., 1160 København K"
"Amagertorv 1, st. th, 1160 København K"
"Amagertorv 1, 1., 1160 København K"
"Amagertorv 1, 2., 1160 København K"
"Amagertorv 1, 3., 1160 København K"
"Amagertorv 1, 4., 1160 København K"
"Amagertorv 2, st., 1160 København K"
"Amagertorv 4, kl., 1160 København K"
"Amagertorv 4, st., 1160 København K"
"Amagertorv 4, 1., 1160 København K"
"Amagertorv 4, 2., 1160 København K"
"Amagertorv 4, 3., 1160 København K"
"Amagertorv 5, kl., 1160 København K"
"Amagertorv 5, st., 1160 København K"
"Amagertorv 5, 1., 1160 København K"
"Amagertorv 5, 2., 1160 København K"
"Amagertorv 5, 3., 1160 København K"
"Amagertorv 6, kl., 1160 København K"
"Amagertorv 6, st., 1160 København K"
"Amagertorv 6, 1., 1160 København K"
"Amagertorv 6, 2., 1160 København K"
"Amagertorv 6, 3. th, 1160 København K"
"Amagertorv 6, 3. tv, 1160 København K"
"Amagertorv 7, st., 1160 København K"
"Amagertorv 8, st., 1160 København K"
"Amagertorv 8, 1., 1160 København K"
"Amagertorv 8, 2., 1160 København K"
"Amagertorv 8, 3., 1160 København K"
"Amagertorv 9, st., 1160 København K"
"Amagertorv 9, 1., 1160 København K"
"Amagertorv 9, 2., 1160 København K"
"Amagertorv 9, 3., 1160 København K"
"Amagertorv 9, 4., 1160 København K"
"Amagertorv 11, st. 1, 1160 København K"
"Amagertorv 11, st. 2, 1160 København K"
"Amagertorv 11, st. 3, 1160 København K"
"Amagertorv 11, 1., 1160 København K"
"Amagertorv 11, 2., 1160 København K"
"Amagertorv 11, 3., 1160 København K"
"Amagertorv 11, 4., 1160 København K"
"Amagertorv 13, kl., 1160 København K"
"Amagertorv 13, 1., 1160 København K"
"Amagertorv 13, 2., 1160 København K"
"Amagertorv 13, 3., 1160 København K"
"Amagertorv 14, kl., 1160 København K"
"Amagertorv 14, st., 1160 København K"
"Amagertorv 14, 1., 1160 København K"
"Amagertorv 14, 2., 1160 København K"
"Amagertorv 14, 3., 1160 København K"
"Amagertorv 14, 4., 1160 København K"
"Amagertorv 15, st., 1160 København K"
"Amagertorv 15, 1., 1160 København K"
"Amagertorv 15, 2., 1160 København K"
"Amagertorv 15, 3., 1160 København K"
"Amagertorv 16, st., 1160 København K"
"Amagertorv 16, 1., 1160 København K"
"Amagertorv 16, 2., 1160 København K"
