"Amaliegade 34A, st. th, 1256 København K"
"Amaliegade 13, 1256 København K"
"Amaliegade 37, 2., 1256 København K"
"Amaliegade 37, 3. 1, 1256 København K"
"Amaliegade 49A, 1., 1256 København K"
"Amaliegade 13B, st. th, 1256 København K"
"Amaliegade 37, 3. 2, 1256 København K"
"Amaliegade 13B, st. tv, 1256 København K"
"Amaliegade 37, 4. 1, 1256 København K"
"Amaliegade 13B, 1. mf, 1256 København K"
"Amaliegade 37, 4. 2, 1256 København K"
"Amaliegade 13B, 1. th, 1256 København K"
"Amaliegade 13B, 1. tv, 1256 København K"
"Amaliegade 49A, st., 1256 København K"
"Amaliegade 49A, 1256 København K"
"Amaliegade 49A, 2., 1256 København K"
"Amaliegade 49, st. th, 1256 København K"
"Amaliegade 49, st. tv, 1256 København K"
"Amaliegade 13B, 2. mf, 1256 København K"
"Amaliegade 13B, 2. th, 1256 København K"
"Amaliegade 13B, 2. tv, 1256 København K"
"Amaliegade 13B, 3. mf, 1256 København K"
"Amaliegade 13B, 3. th, 1256 København K"
"Amaliegade 13B, 3. tv, 1256 København K"
"Amaliegade 13B, 4. mf, 1256 København K"
"Amaliegade 13B, 4. th, 1256 København K"
"Amaliegade 13B, 4. tv, 1256 København K"
"Amaliegade 13B, 5. mf, 1256 København K"
"Amaliegade 13B, 5. th, 1256 København K"
"Amaliegade 13B, 5. tv, 1256 København K"
"Amaliegade 13B, 6. th, 1256 København K"
"Amaliegade 13B, 6. tv, 1256 København K"
"Amaliegade 13C, 1256 København K"
"Amaliegade 13D, kl. 26, 1256 København K"
"Amaliegade 13D, kl. 27, 1256 København K"
"Amaliegade 13D, st. th, 1256 København K"
"Amaliegade 13D, st. tv, 1256 København K"
"Amaliegade 13D, 1. th, 1256 København K"
"Amaliegade 13D, 1. tv, 1256 København K"
"Amaliegade 40A, st. th, 1256 København K"
"Amaliegade 40A, st. tv, 1256 København K"
"Amaliegade 40A, 1., 1256 København K"
"Amaliegade 13E, kl. 35, 1256 København K"
"Amaliegade 40A, 2., 1256 København K"
"Amaliegade 13E, st., 1256 København K"
"Amaliegade 40, kl. th, 1256 København K"
"Amaliegade 13E, st. 25, 1256 København K"
"Amaliegade 40, kl. tv, 1256 København K"
"Amaliegade 13E, st. 28, 1256 København K"
"Amaliegade 40, st., 1256 København K"
"Amaliegade 13E, 1. th, 1256 København K"
"Amaliegade 40, st. 1, 1256 København K"
"Amaliegade 13E, 1. tv, 1256 København K"
