"Store Kongensgade 107, 1264 København K"
"Store Kongensgade 118, 1264 København K"
"Store Kongensgade 118, kl., 1264 København K"
"Store Kongensgade 118, st. 1, 1264 København K"
"Store Kongensgade 118, st. 2, 1264 København K"
"Store Kongensgade 118, st. 3, 1264 København K"
"Store Kongensgade 118, st. 4, 1264 København K"
"Store Kongensgade 118, st. 5, 1264 København K"
"Store Kongensgade 118, 1. tv, 1264 København K"
"Store Kongensgade 118, 1. th, 1264 København K"
"Store Kongensgade 118, 2. tv, 1264 København K"
"Store Kongensgade 118, 2. th, 1264 København K"
"Store Kongensgade 118, 3. tv, 1264 København K"
"Store Kongensgade 118, 3. th, 1264 København K"
"Store Kongensgade 118, 4. tv, 1264 København K"
"Store Kongensgade 118, 4. th, 1264 København K"
"Store Kongensgade 118, 5. tv, 1264 København K"
"Store Kongensgade 118, 5. th, 1264 København K"
"Store Kongensgade 40C, 1., 1264 København K"
"Store Kongensgade 40C, 3., 1264 København K"
"Store Kongensgade 40C, 4., 1264 København K"
"Store Kongensgade 40C, st. mf, 1264 København K"
"Store Kongensgade 40D, 5. 1, 1264 København K"
"Store Kongensgade 108H, 1264 København K"
"Store Kongensgade 108E, 1264 København K"
"Store Kongensgade 61D, st., 1264 København K"
"Store Kongensgade 63A, 1. 7, 1264 København K"
"Store Kongensgade 63A, st. 8, 1264 København K"
"Store Kongensgade 63A, 2. 7, 1264 København K"
"Store Kongensgade 63A, 1. 6, 1264 København K"
"Store Kongensgade 63A, st. 7, 1264 København K"
"Store Kongensgade 63A, 2. 6, 1264 København K"
"Store Kongensgade 110A, 4. th, 1264 København K"
"Store Kongensgade 110A, 4. tv, 1264 København K"
"Store Kongensgade 46, 5., 1264 København K"
"Store Kongensgade 112A, st., 1264 København K"
"Store Kongensgade 40D, 5., 1264 København K"
"Store Kongensgade 110D, 1. th, 1264 København K"
"Store Kongensgade 110D, 2. th, 1264 København K"
"Store Kongensgade 110D, 2. tv, 1264 København K"
"Store Kongensgade 110D, 3. tv, 1264 København K"
"Store Kongensgade 110D, st. th, 1264 København K"
"Store Kongensgade 110D, st. tv, 1264 København K"
"Store Kongensgade 110D, kl., 1264 København K"
"Store Kongensgade 110D, 3. th, 1264 København K"
"Store Kongensgade 61A, st. th, 1264 København K"
"Store Kongensgade 61A, st. tv, 1264 København K"
"Store Kongensgade 61D, kl. 1, 1264 København K"
"Store Kongensgade 61D, kl. 2, 1264 København K"
"Store Kongensgade 23, 4., 1264 København K"
"Store Kongensgade 81B, 1. 3, 1264 København K"
"Store Kongensgade 110A, 1., 1264 København K"
"Store Kongensgade 24, kl., 1264 København K"
"Store Kongensgade 63A, 1. 1, 1264 København K"
"Store Kongensgade 110A, 2., 1264 København K"
"Store Kongensgade 24, st., 1264 København K"
"Store Kongensgade 63A, 1. 2, 1264 København K"
"Store Kongensgade 110A, 2. 2, 1264 København K"
"Store Kongensgade 24, 1., 1264 København K"
"Store Kongensgade 63A, 1. 3, 1264 København K"
"Store Kongensgade 110A, 3. th, 1264 København K"
"Store Kongensgade 24, 2., 1264 København K"
