"Frederiksgade 1, 1265 København K"
"Frederiksgade 1, kl., 1265 København K"
"Frederiksgade 1, st., 1265 København K"
"Frederiksgade 1, st. th, 1265 København K"
"Frederiksgade 1, 1., 1265 København K"
"Frederiksgade 1, 1. tv, 1265 København K"
"Frederiksgade 1, 1. th, 1265 København K"
"Frederiksgade 1, 2., 1265 København K"
"Frederiksgade 1, 2. tv, 1265 København K"
"Frederiksgade 1, 2. th, 1265 København K"
"Frederiksgade 1, 3., 1265 København K"
"Frederiksgade 1, 4., 1265 København K"
"Frederiksgade 1, 4. tv, 1265 København K"
"Frederiksgade 1, 4. th, 1265 København K"
"Frederiksgade 1, 5., 1265 København K"
"Frederiksgade 10, 2. 6, 1265 København K"
"Frederiksgade 5, st. th, 1265 København K"
"Frederiksgade 5, st. tv, 1265 København K"
"Frederiksgade 5, st. 2, 1265 København K"
"Frederiksgade 5, 1., 1265 København K"
"Frederiksgade 5, 2., 1265 København K"
"Frederiksgade 5, 3., 1265 København K"
"Frederiksgade 5, 4., 1265 København K"
"Frederiksgade 6, st. th, 1265 København K"
"Frederiksgade 6, st. tv, 1265 København K"
"Frederiksgade 6, 1. th, 1265 København K"
"Frederiksgade 6, 1. tv, 1265 København K"
"Frederiksgade 6, 2. th, 1265 København K"
"Frederiksgade 6, 2. tv, 1265 København K"
"Frederiksgade 6, 3. th, 1265 København K"
"Frederiksgade 6, 3. tv, 1265 København K"
"Frederiksgade 6, 4. th, 1265 København K"
"Frederiksgade 6, 4. tv, 1265 København K"
"Frederiksgade 7, kl. 1, 1265 København K"
"Frederiksgade 7, kl. 2, 1265 København K"
"Frederiksgade 7, 1., 1265 København K"
"Frederiksgade 7, 2., 1265 København K"
"Frederiksgade 7, 3., 1265 København K"
"Frederiksgade 7, 4., 1265 København K"
"Frederiksgade 8, st. th, 1265 København K"
"Frederiksgade 8, st. tv, 1265 København K"
"Frederiksgade 8, 1. th, 1265 København K"
"Frederiksgade 8, 1. tv, 1265 København K"
"Frederiksgade 8, 2. th, 1265 København K"
"Frederiksgade 8, 2. tv, 1265 København K"
"Frederiksgade 8, 3. th, 1265 København K"
"Frederiksgade 8, 3. tv, 1265 København K"
"Frederiksgade 8, 4. th, 1265 København K"
"Frederiksgade 8, 4. tv, 1265 København K"
"Frederiksgade 9B, st., 1265 København K"
"Frederiksgade 9, st. th, 1265 København K"
"Frederiksgade 9, st. tv, 1265 København K"
"Frederiksgade 9, 1. th, 1265 København K"
"Frederiksgade 9, 1. tv, 1265 København K"
"Frederiksgade 9, 2. th, 1265 København K"
"Frederiksgade 9, 2. tv, 1265 København K"
"Frederiksgade 9, 3. th, 1265 København K"
"Frederiksgade 9, 3. tv, 1265 København K"
"Frederiksgade 9, 4. th, 1265 København K"
"Frederiksgade 9, 4. tv, 1265 København K"
"Frederiksgade 10, st. th, 1265 København K"
"Frederiksgade 10, st. tv, 1265 København K"
"Frederiksgade 10, 1. th, 1265 København K"
"Frederiksgade 10, 1. tv, 1265 København K"
"Frederiksgade 10, 2. th, 1265 København K"
"Frederiksgade 10, 2. tv, 1265 København K"
"Frederiksgade 10, 3. th, 1265 København K"
"Frederiksgade 10, 3. tv, 1265 København K"
"Frederiksgade 10, 4. th, 1265 København K"
"Frederiksgade 10, 4. tv, 1265 København K"
"Frederiksgade 12, st. th, 1265 København K"
"Frederiksgade 12, st. tv, 1265 København K"
"Frederiksgade 12, 1. th, 1265 København K"
"Frederiksgade 12, 1. tv, 1265 København K"
"Frederiksgade 12, 2. th, 1265 København K"
"Frederiksgade 12, 2. tv, 1265 København K"
"Frederiksgade 12, 3. th, 1265 København K"
"Frederiksgade 12, 3. tv, 1265 København K"
"Frederiksgade 12, 4. th, 1265 København K"
"Frederiksgade 12, 4. tv, 1265 København K"
"Frederiksgade 14, 1., 1265 København K"
"Frederiksgade 14, 2., 1265 København K"
"Frederiksgade 14, 3., 1265 København K"
"Frederiksgade 14, 4. th, 1265 København K"
"Frederiksgade 14, 4. tv, 1265 København K"
"Frederiksgade 17, kl., 1265 København K"
"Frederiksgade 17, st., 1265 København K"
"Frederiksgade 17, 3. th, 1265 København K"
"Frederiksgade 17, 3. tv, 1265 København K"
"Frederiksgade 17, 4. th, 1265 København K"
"Frederiksgade 17, 4. tv, 1265 København K"
"Frederiksgade 18, st., 1265 København K"
"Frederiksgade 18, 1., 1265 København K"
"Frederiksgade 18, 2., 1265 København K"
"Frederiksgade 19A, st., 1265 København K"
"Frederiksgade 19, kl., 1265 København K"
"Frederiksgade 19, st., 1265 København K"
"Frederiksgade 19, 1., 1265 København K"
"Frederiksgade 19, 2., 1265 København K"
"Frederiksgade 19, 3., 1265 København K"
"Frederiksgade 19, 5., 1265 København K"
"Frederiksgade 17A, st., 1265 København K"
"Frederiksgade 17B, 1., 1265 København K"
"Frederiksgade 17B, 2., 1265 København K"
"Frederiksgade 17, 1. 1, 1265 København K"
"Frederiksgade 17, 1. 2, 1265 København K"
"Frederiksgade 17, 2. th, 1265 København K"
"Frederiksgade 17, 2. tv, 1265 København K"
"Frederiksgade 19, 3., 1265 København K"
"Frederiksgade 8, 1265 København K"
"Frederiksgade 19A, 3., 1265 København K"
"Frederiksgade 7, 3. th, 1265 København K"
"Frederiksgade 18, 3., 1265 København K"
"Frederiksgade 23, 1265 København K"
"Frederiksgade 7, 1. th, 1265 København K"
"Frederiksgade 19A, 1., 1265 København K"
"Frederiksgade 19A, 2., 1265 København K"
"Frederiksgade 7, 4. tv, 1265 København K"
"Frederiksgade 7, 4. mf, 1265 København K"
"Frederiksgade 19, 5., 1265 København K"
"Frederiksgade 23, st., 1265 København K"
"Frederiksgade 17A, 2., 1265 København K"
"Frederiksgade 19A, st., 1265 København K"
"Frederiksgade 8A, 1265 København K"
"Frederiksgade 21, 1., 1265 København K"
"Frederiksgade 7, st. tv, 1265 København K"
"Frederiksgade 17B, st., 1265 København K"
"Frederiksgade 5A, 1265 København K"
"Frederiksgade 17, 1., 1265 København K"
"Frederiksgade 7, 3. mf, 1265 København K"
"Frederiksgade 21, 3., 1265 København K"
"Frederiksgade 7, 2. th, 1265 København K"
"Frederiksgade 7, kl., 1265 København K"
"Frederiksgade 7, kl. tv, 1265 København K"
"Frederiksgade 7, 1265 København K"
"Frederiksgade 19, 2., 1265 København K"
"Frederiksgade 17A, 1., 1265 København K"
"Frederiksgade 17, 1265 København K"
"Frederiksgade 7, 1. mf, 1265 København K"
"Frederiksgade 5, 1265 København K"
"Frederiksgade 7, st. mf, 1265 København K"
"Frederiksgade 19A, 4., 1265 København K"
"Frederiksgade 20, 1265 København K"
"Frederiksgade 7, 2. mf, 1265 København K"
"Frederiksgade 4, 1265 København K"
"Frederiksgade 6, 1265 København K"
"Frederiksgade 7, st. th, 1265 København K"
"Frederiksgade 21, 1265 København K"
"Frederiksgade 7, 1. tv, 1265 København K"
"Frederiksgade 7, 4. th, 1265 København K"
"Frederiksgade 19, 1., 1265 København K"
"Frederiksgade 7, kl. th, 1265 København K"
"Frederiksgade 19, 1265 København K"
"Frederiksgade 17B, 3., 1265 København K"
"Frederiksgade 19, kl., 1265 København K"
"Frederiksgade 7, 2. tv, 1265 København K"
"Frederiksgade 12, 1265 København K"
"Frederiksgade 21, 4., 1265 København K"
"Frederiksgade 19, st., 1265 København K"
"Frederiksgade 21, st., 1265 København K"
"Frederiksgade 19, 4., 1265 København K"
"Frederiksgade 17A, 3., 1265 København K"
"Frederiksgade 7, 3. tv, 1265 København K"
"Frederiksgade 21, 2., 1265 København K"
"Frederiksgade 11, 3., 1265 København K"
"Frederiksgade 11, st., 1265 København K"
"Store Kongensgade 84B, 1265 København K"
"Frederiksgade 8, kl., 1265 København K"
"Frederiksgade 10, 3. 8, 1265 København K"
"Frederiksgade 10, 4. 10, 1265 København K"
"Frederiksgade 9A, st., 1265 København K"
"Frederiksgade 7, st., 1265 København K"
"Frederiksgade 21, 5., 1265 København K"
"Frederiksgade 2, 3. tv, 1265 København K"
"Frederiksgade 2, 4. tv, 1265 København K"
"Frederiksgade 2, 2. th, 1265 København K"
"Frederiksgade 2, 5., 1265 København K"
"Frederiksgade 2, 1., 1265 København K"
"Frederiksgade 2, 3. th, 1265 København K"
"Frederiksgade 2, 2. tv, 1265 København K"
"Frederiksgade 2, 4. th, 1265 København K"
"Frederiksgade 2, 1265 København K"
"Frederiksgade 11B, st., 1265 København K"
