"Kronprinsessegade 66, 4., 1306 København K"
"Kronprinsessegade 46A, 4. tv, 1306 København K"
"Kronprinsessegade 74, 2. tv, 1306 København K"
"Kronprinsessegade 46B, 1., 1306 København K"
"Kronprinsessegade 74, 3. th, 1306 København K"
"Kronprinsessegade 46B, 2., 1306 København K"
"Kronprinsessegade 74, 3. tv, 1306 København K"
"Kronprinsessegade 46B, 3., 1306 København K"
"Kronprinsessegade 74, 4. th, 1306 København K"
"Kronprinsessegade 46B, 4., 1306 København K"
"Kronprinsessegade 74, 4. tv, 1306 København K"
"Kronprinsessegade 46C, 2., 1306 København K"
"Kronprinsessegade 74, 5. th, 1306 København K"
"Kronprinsessegade 46C, 3., 1306 København K"
"Kronprinsessegade 74, 5. tv, 1306 København K"
"Kronprinsessegade 46C, 4., 1306 København K"
"Kronprinsessegade 76, st. mf, 1306 København K"
"Kronprinsessegade 46D, st., 1306 København K"
"Kronprinsessegade 76, st. th, 1306 København K"
"Kronprinsessegade 2, kl., 1306 København K"
"Kronprinsessegade 46D, 3., 1306 København K"
"Kronprinsessegade 76, st. tv, 1306 København K"
"Kronprinsessegade 2, st. th, 1306 København K"
"Kronprinsessegade 46E, st., 1306 København K"
"Kronprinsessegade 76, 1., 1306 København K"
"Kronprinsessegade 2, st. tv, 1306 København K"
"Kronprinsessegade 46E, 1., 1306 København K"
"Kronprinsessegade 76, 2., 1306 København K"
"Kronprinsessegade 2, 1. th, 1306 København K"
"Kronprinsessegade 46E, 2., 1306 København K"
"Kronprinsessegade 76, 3., 1306 København K"
"Kronprinsessegade 2, 1. tv, 1306 København K"
"Kronprinsessegade 46E, 3., 1306 København K"
"Kronprinsessegade 76, 4., 1306 København K"
"Kronprinsessegade 2, 2. th, 1306 København K"
"Kronprinsessegade 46E, 4., 1306 København K"
"Kronprinsessegade 78, st., 1306 København K"
"Kronprinsessegade 2, 2. tv, 1306 København K"
"Kronprinsessegade 46E, 5., 1306 København K"
