"Rævegade 2, st., 1315 København K"
"Rævegade 2, 1., 1315 København K"
"Rævegade 2, 2., 1315 København K"
"Rævegade 3, st., 1315 København K"
"Rævegade 3, 1., 1315 København K"
"Rævegade 4, st., 1315 København K"
"Rævegade 4, 1., 1315 København K"
"Rævegade 4, 2., 1315 København K"
"Rævegade 12, st., 1315 København K"
"Rævegade 12, 1., 1315 København K"
"Rævegade 12, 2., 1315 København K"
"Rævegade 13, st., 1315 København K"
"Rævegade 13, 1., 1315 København K"
"Rævegade 14, st., 1315 København K"
"Rævegade 14, 1., 1315 København K"
"Rævegade 14, 2., 1315 København K"
"Rævegade 15, st., 1315 København K"
"Rævegade 15, 1., 1315 København K"
"Rævegade 16, st., 1315 København K"
"Rævegade 16, 1., 1315 København K"
"Rævegade 17, st., 1315 København K"
"Rævegade 17, 1., 1315 København K"
"Rævegade 17, 2., 1315 København K"
"Rævegade 18, st., 1315 København K"
"Rævegade 18, 1., 1315 København K"
"Rævegade 19, st., 1315 København K"
"Rævegade 19, 1., 1315 København K"
"Rævegade 19, 2., 1315 København K"
"Rævegade 18, 1315 København K"
"Rævegade 4, 1315 København K"
"Rævegade 6, st., 1315 København K"
"Rævegade 6, 1., 1315 København K"
"Rævegade 7, st., 1315 København K"
"Rævegade 7, 1., 1315 København K"
"Rævegade 7, 2., 1315 København K"
"Rævegade 8, st., 1315 København K"
"Rævegade 8, 2., 1315 København K"
"Rævegade 9, 1., 1315 København K"
"Rævegade 5, st., 1315 København K"
"Rævegade 8, 1., 1315 København K"
"Rævegade 9, st., 1315 København K"
"Rævegade 9, 2., 1315 København K"
"Rævegade 5, 1., 1315 København K"
"Rævegade 7, 1315 København K"
