"Rigensgade 21, 3. 312, 1316 København K"
"Rigensgade 21, 4. 401, 1316 København K"
"Rigensgade 21, 4. 402, 1316 København K"
"Rigensgade 23, 1., 1316 København K"
"Rigensgade 23, 2., 1316 København K"
"Rigensgade 23, 3., 1316 København K"
"Rigensgade 23, 4., 1316 København K"
"Rigensgade 23, 5., 1316 København K"
"Rigensgade 25, st., 1316 København K"
"Rigensgade 25, 1. th, 1316 København K"
"Rigensgade 25, 1. tv, 1316 København K"
"Rigensgade 25, 2. th, 1316 København K"
"Rigensgade 25, 2. tv, 1316 København K"
"Rigensgade 25, 3. th, 1316 København K"
"Rigensgade 25, 3. tv, 1316 København K"
"Rigensgade 25, 4. th, 1316 København K"
"Rigensgade 25, 4. tv, 1316 København K"
"Rigensgade 25, 5. th, 1316 København K"
"Rigensgade 25, 5. tv, 1316 København K"
"Rigensgade 27, st. th, 1316 København K"
"Rigensgade 27, st. tv, 1316 København K"
"Rigensgade 27, 1. th, 1316 København K"
"Rigensgade 27, 1. tv, 1316 København K"
"Rigensgade 27, 2. th, 1316 København K"
"Rigensgade 27, 2. tv, 1316 København K"
"Rigensgade 27, 3. th, 1316 København K"
"Rigensgade 27, 3. tv, 1316 København K"
"Rigensgade 27, 4. th, 1316 København K"
"Rigensgade 27, 4. tv, 1316 København K"
"Rigensgade 27, 5. th, 1316 København K"
"Rigensgade 27, 5. tv, 1316 København K"
"Rigensgade 28, kl. th, 1316 København K"
"Rigensgade 28, kl. tv, 1316 København K"
"Rigensgade 28, st. th, 1316 København K"
"Rigensgade 28, st. tv, 1316 København K"
"Rigensgade 28, 1. th, 1316 København K"
"Rigensgade 28, 1. tv, 1316 København K"
"Rigensgade 28, 2. tv, 1316 København K"
"Rigensgade 28, 3. th, 1316 København K"
"Rigensgade 28, 3. tv, 1316 København K"
"Rigensgade 28, 4. th, 1316 København K"
"Rigensgade 28, 4. tv, 1316 København K"
"Rigensgade 30, st. th, 1316 København K"
"Rigensgade 30, st. tv, 1316 København K"
"Rigensgade 30, 1. th, 1316 København K"
"Rigensgade 30, 1. tv, 1316 København K"
"Rigensgade 30, 2. th, 1316 København K"
"Rigensgade 30, 2. tv, 1316 København K"
"Rigensgade 30, 3. th, 1316 København K"
"Rigensgade 30, 4. th, 1316 København K"
"Rigensgade 30, 4. tv, 1316 København K"
"Rigensgade 2, 1316 København K"
"Rigensgade 3, kl., 1316 København K"
"Rigensgade 3, st., 1316 København K"
"Rigensgade 3, 1., 1316 København K"
"Rigensgade 5A, st., 1316 København K"
"Rigensgade 5A, 1., 1316 København K"
"Rigensgade 5A, 2., 1316 København K"
"Rigensgade 5A, 3., 1316 København K"
"Rigensgade 5A, 4., 1316 København K"
"Rigensgade 5, kl. th, 1316 København K"
"Rigensgade 5, kl. tv, 1316 København K"
"Rigensgade 5, st. th, 1316 København K"
"Rigensgade 5, st. tv, 1316 København K"
"Rigensgade 5, 1. th, 1316 København K"
"Rigensgade 5, 1. tv, 1316 København K"
"Rigensgade 5, 2. th, 1316 København K"
"Rigensgade 5, 2. tv, 1316 København K"
"Rigensgade 5, 3. th, 1316 København K"
"Rigensgade 5, 4. th, 1316 København K"
"Rigensgade 5, 4. tv, 1316 København K"
"Rigensgade 6, st. th, 1316 København K"
"Rigensgade 6, st. tv, 1316 København K"
"Rigensgade 6, 1., 1316 København K"
"Rigensgade 6, 2., 1316 København K"
"Rigensgade 9A, 1. th, 1316 København K"
"Rigensgade 9B, st. th, 1316 København K"
"Rigensgade 9B, 1. 4, 1316 København K"
"Rigensgade 9B, 2. 4, 1316 København K"
"Rigensgade 9B, 2. 5, 1316 København K"
"Rigensgade 9D, st. mf, 1316 København K"
"Rigensgade 9D, 2. mf, 1316 København K"
"Rigensgade 9F, 1. mf, 1316 København K"
"Rigensgade 21A, kl., 1316 København K"
"Rigensgade 21A, st., 1316 København K"
"Rigensgade 21A, 1., 1316 København K"
"Rigensgade 21A, 2., 1316 København K"
"Rigensgade 21A, 4. 403, 1316 København K"
"Rigensgade 21A, 4. 405, 1316 København K"
"Rigensgade 21A, 4. 406, 1316 København K"
"Rigensgade 21A, 4. 407, 1316 København K"
"Rigensgade 21, kl., 1316 København K"
"Rigensgade 21, st. 11, 1316 København K"
"Rigensgade 21, st. 12, 1316 København K"
"Rigensgade 21, st. 13, 1316 København K"
"Rigensgade 21, st. 14, 1316 København K"
"Rigensgade 21, 1., 1316 København K"
"Rigensgade 21, 2. 201, 1316 København K"
"Rigensgade 21, 2. 202, 1316 København K"
"Rigensgade 21, 2. 203, 1316 København K"
"Rigensgade 21, 2. 204, 1316 København K"
"Rigensgade 21, 2. 205, 1316 København K"
"Rigensgade 21, 2. 206, 1316 København K"
"Rigensgade 21, 2. 207, 1316 København K"
"Rigensgade 21, 2. 208, 1316 København K"
"Rigensgade 21, 2. 209, 1316 København K"
"Rigensgade 21, 2. 210, 1316 København K"
