"Suensonsgade 38, 1., 1322 København K"
"Suensonsgade 39, st., 1322 København K"
"Suensonsgade 39, 1., 1322 København K"
"Suensonsgade 40, st., 1322 København K"
"Suensonsgade 40, 1., 1322 København K"
"Suensonsgade 41, st., 1322 København K"
"Suensonsgade 41, 1., 1322 København K"
"Suensonsgade 42, st., 1322 København K"
"Suensonsgade 42, 1. th, 1322 København K"
"Suensonsgade 42, 1. tv, 1322 København K"
"Suensonsgade 43, st., 1322 København K"
"Suensonsgade 43, 1. th, 1322 København K"
"Suensonsgade 43, 1. tv, 1322 København K"
"Suensonsgade 44, st., 1322 København K"
"Suensonsgade 44, 1. th, 1322 København K"
"Suensonsgade 44, 1. tv, 1322 København K"
"Suensonsgade 45, st., 1322 København K"
"Suensonsgade 45, 1., 1322 København K"
"Suensonsgade 46, st., 1322 København K"
"Suensonsgade 46, 1., 1322 København K"
"Suensonsgade 47, st., 1322 København K"
"Suensonsgade 47, 1. th, 1322 København K"
"Suensonsgade 47, 1. tv, 1322 København K"
"Suensonsgade 49, st., 1322 København K"
"Suensonsgade 49, 1., 1322 København K"
"Suensonsgade 51, 1322 København K"
"Suensonsgade 52, st., 1322 København K"
"Suensonsgade 52, 1. th, 1322 København K"
"Suensonsgade 52, 1. tv, 1322 København K"
"Suensonsgade 54, st., 1322 København K"
"Suensonsgade 54, 1., 1322 København K"
"Suensonsgade 56, st., 1322 København K"
"Suensonsgade 56, 1., 1322 København K"
"Suensonsgade 57, st., 1322 København K"
"Suensonsgade 58, st., 1322 København K"
"Suensonsgade 58, 1., 1322 København K"
"Suensonsgade 59, st., 1322 København K"
"Suensonsgade 60, st., 1322 København K"
"Suensonsgade 60, 1., 1322 København K"
"Suensonsgade 61, st., 1322 København K"
"Suensonsgade 62, st., 1322 København K"
"Suensonsgade 62, 1., 1322 København K"
"Suensonsgade 64, st., 1322 København K"
"Suensonsgade 64, 1., 1322 København K"
"Suensonsgade 66, st., 1322 København K"
"Suensonsgade 66, 1., 1322 København K"
"Suensonsgade 1, 1322 København K"
"Suensonsgade 2, st., 1322 København K"
"Suensonsgade 2, 1. th, 1322 København K"
"Suensonsgade 2, 1. tv, 1322 København K"
"Suensonsgade 3, st., 1322 København K"
"Suensonsgade 3, 1., 1322 København K"
