"Hjertensfrydsgade 1, 1323 København K"
"Hjertensfrydsgade 2, st., 1323 København K"
"Hjertensfrydsgade 2, 1. th, 1323 København K"
"Hjertensfrydsgade 2, 1. tv, 1323 København K"
"Hjertensfrydsgade 3, st., 1323 København K"
"Hjertensfrydsgade 3, 1., 1323 København K"
"Hjertensfrydsgade 4, st., 1323 København K"
"Hjertensfrydsgade 4, 1. th, 1323 København K"
"Hjertensfrydsgade 4, 1. tv, 1323 København K"
"Hjertensfrydsgade 5, st., 1323 København K"
"Hjertensfrydsgade 5, 1. th, 1323 København K"
"Hjertensfrydsgade 5, 1. tv, 1323 København K"
"Hjertensfrydsgade 6, st., 1323 København K"
"Hjertensfrydsgade 6, 1. th, 1323 København K"
"Hjertensfrydsgade 6, 1. tv, 1323 København K"
"Hjertensfrydsgade 7, st., 1323 København K"
"Hjertensfrydsgade 7, 1., 1323 København K"
"Hjertensfrydsgade 8, st., 1323 København K"
"Hjertensfrydsgade 8, 1. th, 1323 København K"
"Hjertensfrydsgade 8, 1. tv, 1323 København K"
"Hjertensfrydsgade 10, 1323 København K"
"Hjertensfrydsgade 11, st., 1323 København K"
"Hjertensfrydsgade 11, 1., 1323 København K"
"Hjertensfrydsgade 12, st., 1323 København K"
"Hjertensfrydsgade 12, 1., 1323 København K"
"Hjertensfrydsgade 13, st., 1323 København K"
"Hjertensfrydsgade 13, 1., 1323 København K"
"Hjertensfrydsgade 14, st., 1323 København K"
"Hjertensfrydsgade 14, 1., 1323 København K"
"Hjertensfrydsgade 15, st., 1323 København K"
"Hjertensfrydsgade 15, 1. th, 1323 København K"
"Hjertensfrydsgade 15, 1. tv, 1323 København K"
"Hjertensfrydsgade 16, st., 1323 København K"
"Hjertensfrydsgade 16, 1., 1323 København K"
"Hjertensfrydsgade 17, st., 1323 København K"
"Hjertensfrydsgade 17, 1. th, 1323 København K"
"Hjertensfrydsgade 17, 1. tv, 1323 København K"
"Hjertensfrydsgade 17, 1., 1323 København K"
