"Bartholinsgade 1, kl. 3, 1356 København K"
"Bartholinsgade 1, kl. 4, 1356 København K"
"Bartholinsgade 1, st. th, 1356 København K"
"Bartholinsgade 1, st. tv, 1356 København K"
"Bartholinsgade 1, 1. th, 1356 København K"
"Bartholinsgade 1, 1. tv, 1356 København K"
"Bartholinsgade 1, 2. th, 1356 København K"
"Bartholinsgade 1, 2. tv, 1356 København K"
"Bartholinsgade 1, 3. th, 1356 København K"
"Bartholinsgade 1, 3. tv, 1356 København K"
"Bartholinsgade 1, 4. th, 1356 København K"
"Bartholinsgade 1, 4. tv, 1356 København K"
"Bartholinsgade 3, kl. mf, 1356 København K"
"Bartholinsgade 3, kl. th, 1356 København K"
"Bartholinsgade 3, kl. tv, 1356 København K"
"Bartholinsgade 3, st. th, 1356 København K"
"Bartholinsgade 3, st. tv, 1356 København K"
"Bartholinsgade 3, 1. th, 1356 København K"
"Bartholinsgade 3, 1. tv, 1356 København K"
"Bartholinsgade 3, 2. th, 1356 København K"
"Bartholinsgade 3, 2. tv, 1356 København K"
"Bartholinsgade 3, 3. tv, 1356 København K"
"Bartholinsgade 3, 4. th, 1356 København K"
"Bartholinsgade 3, 4. tv, 1356 København K"
"Bartholinsgade 3, 5. th, 1356 København K"
"Bartholinsgade 3, 5. tv, 1356 København K"
"Bartholinsgade 6P, st. th, 1356 København K"
"Bartholinsgade 6P, 1. th, 1356 København K"
"Bartholinsgade 5A, st., 1356 København K"
"Bartholinsgade 5A, 1., 1356 København K"
"Bartholinsgade 5A, 2., 1356 København K"
"Bartholinsgade 5A, 3., 1356 København K"
"Bartholinsgade 5A, 4., 1356 København K"
"Bartholinsgade 5, kl., 1356 København K"
"Bartholinsgade 5, st. th, 1356 København K"
"Bartholinsgade 5, st. tv, 1356 København K"
"Bartholinsgade 5, 1., 1356 København K"
"Bartholinsgade 5, 2. th, 1356 København K"
"Bartholinsgade 5, 2. tv, 1356 København K"
"Bartholinsgade 5, 3. th, 1356 København K"
"Bartholinsgade 5, 3. tv, 1356 København K"
"Bartholinsgade 5, 4. th, 1356 København K"
"Bartholinsgade 5, 4. tv, 1356 København K"
"Bartholinsgade 5, 5. th, 1356 København K"
"Bartholinsgade 5, 5. tv, 1356 København K"
