"Schacksgade 8, 2. th, 1365 København K"
"Schacksgade 8, 2. tv, 1365 København K"
"Schacksgade 8, 3. th, 1365 København K"
"Schacksgade 8, 3. tv, 1365 København K"
"Schacksgade 8, 4. th, 1365 København K"
"Schacksgade 8, 5. tv, 1365 København K"
"Schacksgade 9, kl. th, 1365 København K"
"Schacksgade 9, kl. tv, 1365 København K"
"Schacksgade 9, st. th, 1365 København K"
"Schacksgade 9, st. tv, 1365 København K"
"Schacksgade 9, 1. th, 1365 København K"
"Schacksgade 9, 1. tv, 1365 København K"
"Schacksgade 9, 3. th, 1365 København K"
"Schacksgade 9, 3. tv, 1365 København K"
"Schacksgade 9, 4. th, 1365 København K"
"Schacksgade 9, 4. tv, 1365 København K"
"Schacksgade 9, 5. th, 1365 København K"
"Schacksgade 9, 5. tv, 1365 København K"
"Schacksgade 10, kl. th, 1365 København K"
"Schacksgade 10, kl. tv, 1365 København K"
"Schacksgade 10, st., 1365 København K"
"Schacksgade 10, 1. th, 1365 København K"
"Schacksgade 10, 1. tv, 1365 København K"
"Schacksgade 10, 2., 1365 København K"
"Schacksgade 10, 3. tv, 1365 København K"
"Schacksgade 10, 4. th, 1365 København K"
"Schacksgade 10, 5., 1365 København K"
"Schacksgade 11, kl. th, 1365 København K"
"Schacksgade 11, kl. tv, 1365 København K"
"Schacksgade 11, st. th, 1365 København K"
"Schacksgade 11, st. tv, 1365 København K"
"Schacksgade 11, 1. th, 1365 København K"
"Schacksgade 11, 1. tv, 1365 København K"
"Schacksgade 11, 2. th, 1365 København K"
"Schacksgade 11, 2. tv, 1365 København K"
"Schacksgade 11, 3. th, 1365 København K"
"Schacksgade 11, 3. tv, 1365 København K"
"Schacksgade 11, 4. th, 1365 København K"
"Schacksgade 11, 4. tv, 1365 København K"
"Schacksgade 12, kl., 1365 København K"
"Schacksgade 12, st. th, 1365 København K"
"Schacksgade 12, st. tv, 1365 København K"
"Schacksgade 12, 1. th, 1365 København K"
"Schacksgade 12, 1. tv, 1365 København K"
"Schacksgade 12, 2. th, 1365 København K"
"Schacksgade 12, 2. tv, 1365 København K"
"Schacksgade 12, 3. th, 1365 København K"
