"Turesensgade 7, st., 1368 København K"
"Turesensgade 16, 5., 1368 København K"
"Turesensgade 2B, kl., 1368 København K"
"Turesensgade 3, st. th, 1368 København K"
"Turesensgade 3, st. tv, 1368 København K"
"Turesensgade 3, 1. th, 1368 København K"
"Turesensgade 3, 1. tv, 1368 København K"
"Turesensgade 3, 2. th, 1368 København K"
"Turesensgade 3, 2. tv, 1368 København K"
"Turesensgade 3, 3. th, 1368 København K"
"Turesensgade 3, 3. tv, 1368 København K"
"Turesensgade 3, 4. th, 1368 København K"
"Turesensgade 3, 4. tv, 1368 København K"
"Turesensgade 3, 5., 1368 København K"
"Turesensgade 5, kl. th, 1368 København K"
"Turesensgade 5, kl. tv, 1368 København K"
"Turesensgade 5, st. th, 1368 København K"
"Turesensgade 5, st. tv, 1368 København K"
"Turesensgade 5, 1. th, 1368 København K"
"Turesensgade 5, 1. tv, 1368 København K"
"Turesensgade 5, 2. th, 1368 København K"
"Turesensgade 5, 2. tv, 1368 København K"
"Turesensgade 5, 3. th, 1368 København K"
"Turesensgade 5, 3. tv, 1368 København K"
"Turesensgade 5, 4. th, 1368 København K"
"Turesensgade 5, 5. th, 1368 København K"
"Turesensgade 5, 5. tv, 1368 København K"
"Turesensgade 6, st. th, 1368 København K"
"Turesensgade 6, st. tv, 1368 København K"
"Turesensgade 6, 1. th, 1368 København K"
"Turesensgade 6, 1. tv, 1368 København K"
"Turesensgade 6, 2. th, 1368 København K"
"Turesensgade 6, 2. tv, 1368 København K"
"Turesensgade 6, 3. th, 1368 København K"
"Turesensgade 6, 3. tv, 1368 København K"
"Turesensgade 6, 4. th, 1368 København K"
"Turesensgade 6, 4. tv, 1368 København K"
"Turesensgade 6, 5. th, 1368 København K"
"Turesensgade 6, 5. tv, 1368 København K"
"Turesensgade 7, kl., 1368 København K"
"Turesensgade 7, 1. th, 1368 København K"
"Turesensgade 7, 1. tv, 1368 København K"
"Turesensgade 7, 2. th, 1368 København K"
"Turesensgade 7, 2. tv, 1368 København K"
"Turesensgade 7, 3. th, 1368 København K"
"Turesensgade 7, 3. tv, 1368 København K"
"Turesensgade 7, 4. tv, 1368 København K"
"Turesensgade 7, 5. tv, 1368 København K"
"Turesensgade 9, kl. th, 1368 København K"
"Turesensgade 9, kl. tv, 1368 København K"
"Turesensgade 9, st. th, 1368 København K"
"Turesensgade 9, st. tv, 1368 København K"
"Turesensgade 9, 1. th, 1368 København K"
"Turesensgade 9, 1. tv, 1368 København K"
"Turesensgade 9, 2. th, 1368 København K"
"Turesensgade 9, 2. tv, 1368 København K"
"Turesensgade 9, 3. th, 1368 København K"
"Turesensgade 9, 3. tv, 1368 København K"
"Turesensgade 9, 4. tv, 1368 København K"
"Turesensgade 9, 5. th, 1368 København K"
"Turesensgade 9, 5. tv, 1368 København K"
"Turesensgade 10, kl. mf, 1368 København K"
"Turesensgade 10, kl. th, 1368 København K"
"Turesensgade 10, kl. tv, 1368 København K"
"Turesensgade 10, st. th, 1368 København K"
"Turesensgade 10, 1. th, 1368 København K"
"Turesensgade 10, 1. tv, 1368 København K"
"Turesensgade 10, 2. th, 1368 København K"
