"Nørre Søgade 9B, 3. tv, 1370 København K"
"Nørre Søgade 37A, 5. 2, 1370 København K"
"Nørre Søgade 9B, 4. th, 1370 København K"
"Nørre Søgade 37A, 5. 3, 1370 København K"
"Nørre Søgade 9B, 4. tv, 1370 København K"
"Nørre Søgade 37A, 5. 4, 1370 København K"
"Nørre Søgade 9B, 5. th, 1370 København K"
"Nørre Søgade 37A, 5. 5, 1370 København K"
"Nørre Søgade 9B, 5. tv, 1370 København K"
"Nørre Søgade 37A, 6. 1, 1370 København K"
"Nørre Søgade 11, 1370 København K"
"Nørre Søgade 37A, 6. 2, 1370 København K"
"Nørre Søgade 13A, st. th, 1370 København K"
"Nørre Søgade 37A, 6. 3, 1370 København K"
"Nørre Søgade 13A, st. tv, 1370 København K"
"Nørre Søgade 37A, 6. 4, 1370 København K"
"Nørre Søgade 13A, 1. th, 1370 København K"
"Nørre Søgade 37A, 6. 5, 1370 København K"
"Nørre Søgade 13A, 1. tv, 1370 København K"
"Nørre Søgade 37A, 7. mf, 1370 København K"
"Nørre Søgade 13A, 2. th, 1370 København K"
"Nørre Søgade 37A, 7. th, 1370 København K"
"Nørre Søgade 13A, 2. tv, 1370 København K"
"Nørre Søgade 37A, 7. tv, 1370 København K"
"Nørre Søgade 13A, 3. th, 1370 København K"
"Nørre Søgade 37B, st. th, 1370 København K"
"Nørre Søgade 13A, 3. tv, 1370 København K"
"Nørre Søgade 37B, st. tv, 1370 København K"
"Nørre Søgade 13A, 4. th, 1370 København K"
"Nørre Søgade 37B, 1. 1, 1370 København K"
"Nørre Søgade 13A, 4. tv, 1370 København K"
"Nørre Søgade 37B, 1. 2, 1370 København K"
"Nørre Søgade 13A, 5. th, 1370 København K"
"Nørre Søgade 37B, 1. 3, 1370 København K"
"Nørre Søgade 13A, 5. tv, 1370 København K"
"Nørre Søgade 37B, 1. 4, 1370 København K"
"Nørre Søgade 13, kl., 1370 København K"
"Nørre Søgade 37B, 1. 5, 1370 København K"
"Nørre Søgade 13, st. th, 1370 København K"
"Nørre Søgade 37B, 2. 1, 1370 København K"
"Nørre Søgade 13, st. tv, 1370 København K"
"Nørre Søgade 37B, 2. 2, 1370 København K"
"Nørre Søgade 13, 1. th, 1370 København K"
"Nørre Søgade 37B, 2. 3, 1370 København K"
"Nørre Søgade 13, 1. tv, 1370 København K"
"Nørre Søgade 37B, 2. 4, 1370 København K"
"Nørre Søgade 13, 2. th, 1370 København K"
"Nørre Søgade 37B, 2. 5, 1370 København K"
"Nørre Søgade 13, 2. tv, 1370 København K"
"Nørre Søgade 37B, 3. 1, 1370 København K"
"Nørre Søgade 13, 3. th, 1370 København K"
"Nørre Søgade 37B, 3. 2, 1370 København K"
"Nørre Søgade 13, 3. tv, 1370 København K"
"Nørre Søgade 37B, 3. 3, 1370 København K"
"Nørre Søgade 13, 4. th, 1370 København K"
"Nørre Søgade 37B, 3. 4, 1370 København K"
"Nørre Søgade 13, 4. tv, 1370 København K"
"Nørre Søgade 37B, 3. 5, 1370 København K"
"Nørre Søgade 13, 5., 1370 København K"
"Nørre Søgade 37B, 4. 1, 1370 København K"
"Nørre Søgade 13, 5. tv, 1370 København K"
"Nørre Søgade 37B, 4. 2, 1370 København K"
"Nørre Søgade 15A, st. tv, 1370 København K"
