"Strandgade 10, kl., 1401 København K"
"Strandgade 8A, st., 1401 København K"
"Strandgade 44G, st. tv, 1401 København K"
"Strandgade 96, 3. tv, 1401 København K"
"Strandgade 8A, 1., 1401 København K"
"Strandgade 44G, 1. mf, 1401 København K"
"Strandgade 8A, 2., 1401 København K"
"Strandgade 44G, 1. th, 1401 København K"
"Strandgade 8B, kl., 1401 København K"
"Strandgade 44G, 1. tv, 1401 København K"
"Strandgade 8C, st., 1401 København K"
"Strandgade 44G, 2. mf, 1401 København K"
"Strandgade 8C, 1., 1401 København K"
"Strandgade 44G, 2. th, 1401 København K"
"Strandgade 8D, st., 1401 København K"
"Strandgade 44G, 2. tv, 1401 København K"
"Strandgade 8E, st. th, 1401 København K"
"Strandgade 44G, 3. mf, 1401 København K"
"Strandgade 8E, st. tv, 1401 København K"
"Strandgade 44G, 3. th, 1401 København K"
"Strandgade 44G, 3. tv, 1401 København K"
"Strandgade 44H, 1401 København K"
"Strandgade 10A, 1401 København K"
"Strandgade 10B, 1., 1401 København K"
"Strandgade 45, st. 46, 1401 København K"
"Strandgade 10B, 2., 1401 København K"
"Strandgade 45, st. 47, 1401 København K"
"Strandgade 10B, 3., 1401 København K"
"Strandgade 45, 1. 48, 1401 København K"
"Strandgade 10C, 1401 København K"
"Strandgade 45, 1. 49, 1401 København K"
"Strandgade 10, st., 1401 København K"
"Strandgade 45, 2. 50, 1401 København K"
"Strandgade 10, 1., 1401 København K"
"Strandgade 45, 2. 51, 1401 København K"
"Strandgade 10, 2., 1401 København K"
"Strandgade 45, 3. 52, 1401 København K"
"Strandgade 10, 3., 1401 København K"
"Strandgade 45, 3. 53, 1401 København K"
"Strandgade 12A, st., 1401 København K"
"Strandgade 45, 4. 54, 1401 København K"
"Strandgade 12B, st., 1401 København K"
"Strandgade 45, 4. 55, 1401 København K"
"Strandgade 12C, 1. th, 1401 København K"
"Strandgade 46A, kl., 1401 København K"
"Strandgade 12C, 1. tv, 1401 København K"
"Strandgade 46B, st., 1401 København K"
"Strandgade 12C, 2. th, 1401 København K"
"Strandgade 46B, 1., 1401 København K"
"Strandgade 46B, 2., 1401 København K"
"Strandgade 12C, 2. tv, 1401 København K"
"Strandgade 12C, 3. th, 1401 København K"
"Strandgade 46, kl., 1401 København K"
"Strandgade 12C, 3. tv, 1401 København K"
"Strandgade 46, st., 1401 København K"
"Strandgade 12D, 1401 København K"
"Strandgade 46, 1., 1401 København K"
"Strandgade 12, st., 1401 København K"
"Strandgade 46, 2., 1401 København K"
"Strandgade 12, 1., 1401 København K"
"Strandgade 46, 3., 1401 København K"
"Strandgade 12, 2., 1401 København K"
"Strandgade 46, 4., 1401 København K"
"Strandgade 12, 3., 1401 København K"
"Strandgade 47, st. 56, 1401 København K"
"Strandgade 12, 4., 1401 København K"
"Strandgade 47, st. 57, 1401 København K"
"Strandgade 14A, 1401 København K"
"Strandgade 47, st. 58, 1401 København K"
"Strandgade 14, kl., 1401 København K"
"Strandgade 47, 1. 59, 1401 København K"
"Strandgade 14, st. th, 1401 København K"
"Strandgade 47, 1. 60, 1401 København K"
"Strandgade 14, st. tv, 1401 København K"
"Strandgade 47, 1. 61, 1401 København K"
"Strandgade 14, 1. th, 1401 København K"
"Strandgade 47, 2. 62, 1401 København K"
"Strandgade 14, 1. tv, 1401 København K"
"Strandgade 47, 2. 63, 1401 København K"
"Strandgade 14, 2. th, 1401 København K"
"Strandgade 47, 2. 64, 1401 København K"
"Strandgade 14, 2. tv, 1401 København K"
"Strandgade 47, 3. 65, 1401 København K"
