"Johan Semps Gade 3, 1402 København K"
"Johan Semps Gade 5, 1., 1402 København K"
"Johan Semps Gade 7, 5. tv, 1402 København K"
"Hammershøis Kaj 8, 4. tv, 1402 København K"
"Johan Semps Gade 7, 5. 49, 1402 København K"
"Hammershøis Kaj 8, 5., 1402 København K"
"Johan Semps Gade 7, 5. 50, 1402 København K"
"Hammershøis Kaj 10, st. th, 1402 København K"
"Johan Semps Gade 9, st. th, 1402 København K"
"Hammershøis Kaj 10, st. tv, 1402 København K"
"Johan Semps Gade 9, st. tv, 1402 København K"
"Johan Semps Gade 9, 1. mf, 1402 København K"
"Hammershøis Kaj 10, 1. th, 1402 København K"
"Johan Semps Gade 9, 1. th, 1402 København K"
"Hammershøis Kaj 10, 1. tv, 1402 København K"
"Johan Semps Gade 9, 1. tv, 1402 København K"
"Hammershøis Kaj 10, 2. th, 1402 København K"
"Johan Semps Gade 9, 2. mf, 1402 København K"
"Hammershøis Kaj 10, 2. tv, 1402 København K"
"Johan Semps Gade 9, 2. th, 1402 København K"
"Hammershøis Kaj 10, 3. th, 1402 København K"
"Johan Semps Gade 9, 2. tv, 1402 København K"
"Hammershøis Kaj 10, 3. tv, 1402 København K"
"Johan Semps Gade 9, 3. mf, 1402 København K"
"Hammershøis Kaj 10, 4. th, 1402 København K"
"Johan Semps Gade 9, 3. th, 1402 København K"
"Hammershøis Kaj 10, 4. tv, 1402 København K"
"Johan Semps Gade 9, 3. tv, 1402 København K"
"Hammershøis Kaj 10, 5. th, 1402 København K"
"Johan Semps Gade 9, 4. mf, 1402 København K"
"Hammershøis Kaj 10, 5. tv, 1402 København K"
"Johan Semps Gade 9, 4. th, 1402 København K"
"Johan Semps Gade 9, 4. tv, 1402 København K"
"Johan Semps Gade 9, 5. th, 1402 København K"
"Johan Semps Gade 9, 5. tv, 1402 København K"
"Johan Semps Gade 11, st. th, 1402 København K"
"Johan Semps Gade 11, st. tv, 1402 København K"
"Johan Semps Gade 11, 1. th, 1402 København K"
"Johan Semps Gade 11, 1. tv, 1402 København K"
"Johan Semps Gade 11, 2. th, 1402 København K"
"Johan Semps Gade 11, 2. tv, 1402 København K"
"Johan Semps Gade 11, 3. th, 1402 København K"
"Johan Semps Gade 11, 3. tv, 1402 København K"
"Johan Semps Gade 11, 4. th, 1402 København K"
"Johan Semps Gade 11, 4. tv, 1402 København K"
"Johan Semps Gade 11, 5., 1402 København K"
"David Balfours Gade 1, st. th, 1402 København K"
"David Balfours Gade 1, st. tv, 1402 København K"
"David Balfours Gade 1, 1. th, 1402 København K"
"David Balfours Gade 1, 1. tv, 1402 København K"
"David Balfours Gade 1, 1. 63, 1402 København K"
"David Balfours Gade 1, 1. 64, 1402 København K"
"David Balfours Gade 1, 2. th, 1402 København K"
"David Balfours Gade 1, 2. tv, 1402 København K"
"David Balfours Gade 1, 2. 65, 1402 København K"
"David Balfours Gade 1, 2. 66, 1402 København K"
"David Balfours Gade 1, 3. th, 1402 København K"
"David Balfours Gade 1, 3. tv, 1402 København K"
"David Balfours Gade 1, 3. 67, 1402 København K"
"David Balfours Gade 1, 3. 68, 1402 København K"
"David Balfours Gade 1, 4. th, 1402 København K"
"David Balfours Gade 1, 4. tv, 1402 København K"
"David Balfours Gade 1, 4. 69, 1402 København K"
"David Balfours Gade 1, 4. 70, 1402 København K"
"David Balfours Gade 1, 5., 1402 København K"
"David Balfours Gade 1, 5. 61, 1402 København K"
"David Balfours Gade 1, 5. 62, 1402 København K"
"David Balfours Gade 2, st. th, 1402 København K"
"David Balfours Gade 2, st. tv, 1402 København K"
"David Balfours Gade 2, 1. th, 1402 København K"
"David Balfours Gade 2, 1. tv, 1402 København K"
"David Balfours Gade 2, 2. th, 1402 København K"
"David Balfours Gade 2, 2. tv, 1402 København K"
"David Balfours Gade 2, 3. th, 1402 København K"
"David Balfours Gade 2, 3. tv, 1402 København K"
"David Balfours Gade 2, 4. th, 1402 København K"
"David Balfours Gade 2, 4. tv, 1402 København K"
"David Balfours Gade 2, 5. th, 1402 København K"
"David Balfours Gade 2, 5. tv, 1402 København K"
"David Balfours Gade 3, st. th, 1402 København K"
"David Balfours Gade 3, st. tv, 1402 København K"
"David Balfours Gade 3, 1. th, 1402 København K"
"David Balfours Gade 3, 1. tv, 1402 København K"
"David Balfours Gade 3, 1. 74, 1402 København K"
"David Balfours Gade 3, 1. 75, 1402 København K"
"David Balfours Gade 3, 2. th, 1402 København K"
"David Balfours Gade 3, 2. tv, 1402 København K"
"David Balfours Gade 3, 2. 76, 1402 København K"
"David Balfours Gade 3, 2. 77, 1402 København K"
"David Balfours Gade 3, 3. th, 1402 København K"
"David Balfours Gade 3, 3. tv, 1402 København K"
"David Balfours Gade 3, 3. 78, 1402 København K"
"David Balfours Gade 3, 3. 79, 1402 København K"
"David Balfours Gade 3, 4. th, 1402 København K"
"David Balfours Gade 3, 4. tv, 1402 København K"
"David Balfours Gade 3, 4. 80, 1402 København K"
"David Balfours Gade 3, 4. 81, 1402 København K"
"David Balfours Gade 3, 5., 1402 København K"
"David Balfours Gade 3, 5. 72, 1402 København K"
"David Balfours Gade 3, 5. 73, 1402 København K"
"David Balfours Gade 4, st. th, 1402 København K"
"David Balfours Gade 4, st. tv, 1402 København K"
"David Balfours Gade 4, 1. th, 1402 København K"
"David Balfours Gade 4, 1. tv, 1402 København K"
"Hammershøis Kaj 2, st. mf, 1402 København K"
"David Balfours Gade 4, 2. th, 1402 København K"
"Hammershøis Kaj 2, st. th, 1402 København K"
"David Balfours Gade 4, 2. tv, 1402 København K"
"Hammershøis Kaj 2, st. tv, 1402 København K"
"David Balfours Gade 4, 3. th, 1402 København K"
"Hammershøis Kaj 2, 1. mf, 1402 København K"
"David Balfours Gade 4, 3. tv, 1402 København K"
"Hammershøis Kaj 2, 1. th, 1402 København K"
"David Balfours Gade 4, 4. th, 1402 København K"
