"Larsbjørnsstræde 5A, kl., 1454 København K"
"Larsbjørnsstræde 5A, st., 1454 København K"
"Larsbjørnsstræde 5B, kl., 1454 København K"
"Larsbjørnsstræde 5B, st. 1, 1454 København K"
"Larsbjørnsstræde 5B, st. 2, 1454 København K"
"Larsbjørnsstræde 5B, 1., 1454 København K"
"Larsbjørnsstræde 5B, 2., 1454 København K"
"Larsbjørnsstræde 5B, 3., 1454 København K"
"Larsbjørnsstræde 5, kl. 1, 1454 København K"
"Larsbjørnsstræde 5, kl. 2, 1454 København K"
"Larsbjørnsstræde 5, st., 1454 København K"
"Larsbjørnsstræde 5, 1. th, 1454 København K"
"Larsbjørnsstræde 5, 1. tv, 1454 København K"
"Larsbjørnsstræde 5, 3., 1454 København K"
"Larsbjørnsstræde 6, kl. th, 1454 København K"
"Larsbjørnsstræde 6, kl. tv, 1454 København K"
"Larsbjørnsstræde 6, st. th, 1454 København K"
"Larsbjørnsstræde 6, st. tv, 1454 København K"
"Larsbjørnsstræde 6, 1. th, 1454 København K"
"Larsbjørnsstræde 6, 1. tv, 1454 København K"
"Larsbjørnsstræde 6, 2. th, 1454 København K"
"Larsbjørnsstræde 6, 2. tv, 1454 København K"
"Larsbjørnsstræde 6, 3. th, 1454 København K"
"Larsbjørnsstræde 6, 3. tv, 1454 København K"
"Larsbjørnsstræde 7A, st., 1454 København K"
"Larsbjørnsstræde 7, st., 1454 København K"
"Larsbjørnsstræde 7, 1., 1454 København K"
"Larsbjørnsstræde 7, 2., 1454 København K"
"Larsbjørnsstræde 7, 3., 1454 København K"
"Larsbjørnsstræde 7, 4., 1454 København K"
"Larsbjørnsstræde 8, kl., 1454 København K"
"Larsbjørnsstræde 8, st., 1454 København K"
"Larsbjørnsstræde 8, st. 1, 1454 København K"
"Larsbjørnsstræde 8, 1. th, 1454 København K"
"Larsbjørnsstræde 8, 1. tv, 1454 København K"
"Larsbjørnsstræde 8, 1. 1, 1454 København K"
"Larsbjørnsstræde 8, 1. 2, 1454 København K"
"Larsbjørnsstræde 8, 2. th, 1454 København K"
"Larsbjørnsstræde 8, 2. tv, 1454 København K"
"Larsbjørnsstræde 8, 3. tv, 1454 København K"
"Larsbjørnsstræde 9, st., 1454 København K"
"Larsbjørnsstræde 9, 1., 1454 København K"
"Larsbjørnsstræde 9, 1. 1, 1454 København K"
"Larsbjørnsstræde 9, 2., 1454 København K"
"Larsbjørnsstræde 9, 2. 1, 1454 København K"
"Larsbjørnsstræde 9, 3., 1454 København K"
