"Frederiksberggade 34, st. th, 1459 København K"
"Frederiksberggade 34, st. tv, 1459 København K"
"Frederiksberggade 34, 1. th, 1459 København K"
"Frederiksberggade 34, 1. tv, 1459 København K"
"Frederiksberggade 34, 2., 1459 København K"
"Frederiksberggade 34, 3., 1459 København K"
"Frederiksberggade 36, st. 1, 1459 København K"
"Frederiksberggade 36, st. 2, 1459 København K"
"Frederiksberggade 36, st. 3, 1459 København K"
"Frederiksberggade 36, 1., 1459 København K"
"Frederiksberggade 36, 2. th, 1459 København K"
"Frederiksberggade 36, 2. tv, 1459 København K"
"Frederiksberggade 36, 3., 1459 København K"
"Frederiksberggade 36, 4., 1459 København K"
"Frederiksberggade 40, st. th, 1459 København K"
"Frederiksberggade 40, st. tv, 1459 København K"
"Frederiksberggade 1A, kl., 1459 København K"
"Frederiksberggade 1A, st., 1459 København K"
"Frederiksberggade 1A, 1., 1459 København K"
"Frederiksberggade 1A, 2., 1459 København K"
"Frederiksberggade 1A, 3., 1459 København K"
"Frederiksberggade 1A, 4., 1459 København K"
"Frederiksberggade 1A, 5., 1459 København K"
"Frederiksberggade 1, kl., 1459 København K"
"Frederiksberggade 1, st., 1459 København K"
"Frederiksberggade 1, 1., 1459 København K"
"Frederiksberggade 1, 2., 1459 København K"
"Frederiksberggade 1, 3., 1459 København K"
"Frederiksberggade 1, 4., 1459 København K"
"Frederiksberggade 3A, kl., 1459 København K"
"Frederiksberggade 3A, 2., 1459 København K"
"Frederiksberggade 3A, 3., 1459 København K"
"Frederiksberggade 3B, st., 1459 København K"
"Frederiksberggade 5, kl. 2, 1459 København K"
"Frederiksberggade 5, kl. 3, 1459 København K"
"Frederiksberggade 5, st. 1, 1459 København K"
"Frederiksberggade 5, st. 2, 1459 København K"
"Frederiksberggade 5, st. 3, 1459 København K"
"Frederiksberggade 5, 1., 1459 København K"
"Frederiksberggade 5, 2., 1459 København K"
"Frederiksberggade 5, 3., 1459 København K"
"Frederiksberggade 5, 4., 1459 København K"
"Frederiksberggade 5, 5., 1459 København K"
"Frederiksberggade 6, st. 1, 1459 København K"
"Frederiksberggade 6, st. 2, 1459 København K"
"Frederiksberggade 6, st. 3, 1459 København K"
"Frederiksberggade 6, 1., 1459 København K"
"Frederiksberggade 6, 2., 1459 København K"
"Frederiksberggade 6, 3. th, 1459 København K"
"Frederiksberggade 6, 3. tv, 1459 København K"
"Frederiksberggade 6, 4. th, 1459 København K"
"Frederiksberggade 6, 4. tv, 1459 København K"
"Frederiksberggade 10, kl., 1459 København K"
"Frederiksberggade 10, st. th, 1459 København K"
"Frederiksberggade 10, st. tv, 1459 København K"
"Frederiksberggade 10, 3. th, 1459 København K"
"Frederiksberggade 10, 3. tv, 1459 København K"
"Frederiksberggade 11, 1., 1459 København K"
"Frederiksberggade 11, 3., 1459 København K"
"Frederiksberggade 12, kl., 1459 København K"
"Frederiksberggade 12, st. th, 1459 København K"
"Frederiksberggade 12, st. tv, 1459 København K"
"Frederiksberggade 12, 1. th, 1459 København K"
"Frederiksberggade 12, 1. tv, 1459 København K"
"Frederiksberggade 12, 2. th, 1459 København K"
"Frederiksberggade 12, 3. mf, 1459 København K"
"Frederiksberggade 14, st., 1459 København K"
"Frederiksberggade 14, 1., 1459 København K"
"Frederiksberggade 14, 2., 1459 København K"
"Frederiksberggade 14, 3., 1459 København K"
"Frederiksberggade 15, st. th, 1459 København K"
"Frederiksberggade 15, st. tv, 1459 København K"
"Frederiksberggade 15, 1., 1459 København K"
"Frederiksberggade 15, 2. th, 1459 København K"
"Frederiksberggade 15, 3. th, 1459 København K"
"Frederiksberggade 16, kl., 1459 København K"
"Frederiksberggade 16, st. 3, 1459 København K"
"Frederiksberggade 16, 2., 1459 København K"
"Frederiksberggade 16, 3. tv, 1459 København K"
"Frederiksberggade 19, st., 1459 København K"
"Frederiksberggade 19, 2., 1459 København K"
"Frederiksberggade 19, 3., 1459 København K"
"Frederiksberggade 22, st., 1459 København K"
"Frederiksberggade 22, 1., 1459 København K"
"Frederiksberggade 23, 4. th, 1459 København K"
"Frederiksberggade 23, 4. tv, 1459 København K"
"Frederiksberggade 24, kl. 1, 1459 København K"
"Frederiksberggade 24, kl. 2, 1459 København K"
"Frederiksberggade 24, kl. 3, 1459 København K"
"Frederiksberggade 24, st. th, 1459 København K"
"Frederiksberggade 24, st. tv, 1459 København K"
"Frederiksberggade 24, 1., 1459 København K"
"Frederiksberggade 24, 2., 1459 København K"
"Frederiksberggade 24, 3., 1459 København K"
"Frederiksberggade 24, 4., 1459 København K"
"Frederiksberggade 24, 5., 1459 København K"
"Frederiksberggade 25A, 1459 København K"
"Frederiksberggade 25B, 1459 København K"
"Frederiksberggade 25C, 2. th, 1459 København K"
"Frederiksberggade 25C, 2. tv, 1459 København K"
"Frederiksberggade 25C, 3. th, 1459 København K"
"Frederiksberggade 25C, 3. tv, 1459 København K"
"Frederiksberggade 25C, 4. th, 1459 København K"
"Frederiksberggade 25C, 4. tv, 1459 København K"
"Frederiksberggade 25D, 1459 København K"
"Frederiksberggade 26, st. th, 1459 København K"
"Frederiksberggade 26, st. tv, 1459 København K"
"Frederiksberggade 26, 1., 1459 København K"
"Frederiksberggade 26, 2., 1459 København K"
"Frederiksberggade 26, 3., 1459 København K"
"Frederiksberggade 26, 4., 1459 København K"
"Frederiksberggade 27, kl. th, 1459 København K"
"Frederiksberggade 27, kl. tv, 1459 København K"
"Frederiksberggade 27, st., 1459 København K"
"Frederiksberggade 27, 1., 1459 København K"
"Frederiksberggade 27, 2., 1459 København K"
"Frederiksberggade 27, 3. th, 1459 København K"
"Frederiksberggade 27, 3. tv, 1459 København K"
"Frederiksberggade 28, kl. 1, 1459 København K"
