"Ny Kongensgade 18, 1. th, 1557 København V"
"Ny Kongensgade 18, 2. th, 1557 København V"
"Ny Kongensgade 18, 3. th, 1557 København V"
"Ny Kongensgade 18, 3. tv, 1557 København V"
"Ny Kongensgade 18, 4. th, 1557 København V"
"Ny Kongensgade 18, 4. tv, 1557 København V"
"Ny Kongensgade 18, 5. th, 1557 København V"
"Ny Kongensgade 18, 5. tv, 1557 København V"
"Ny Kongensgade 20, kl., 1557 København V"
"Ny Kongensgade 20, st. th, 1557 København V"
"Ny Kongensgade 20, st. tv, 1557 København V"
"Ny Kongensgade 20, 1. th, 1557 København V"
"Ny Kongensgade 20, 1. tv, 1557 København V"
"Ny Kongensgade 20, 2. th, 1557 København V"
"Ny Kongensgade 20, 2. tv, 1557 København V"
"Ny Kongensgade 20, 3. th, 1557 København V"
"Ny Kongensgade 20, 3. tv, 1557 København V"
"Ny Kongensgade 20, 4. th, 1557 København V"
"Ny Kongensgade 20, 4. tv, 1557 København V"
"Ny Kongensgade 21A, st. th, 1557 København V"
"Ny Kongensgade 21A, st. tv, 1557 København V"
"Ny Kongensgade 21A, 1. th, 1557 København V"
"Ny Kongensgade 21A, 1. tv, 1557 København V"
"Ny Kongensgade 21A, 2. th, 1557 København V"
"Ny Kongensgade 21A, 2. tv, 1557 København V"
"Ny Kongensgade 21A, 3. th, 1557 København V"
"Ny Kongensgade 21A, 3. tv, 1557 København V"
"Ny Kongensgade 21A, 4. th, 1557 København V"
"Ny Kongensgade 21A, 4. tv, 1557 København V"
"Ny Kongensgade 21A, 5. th, 1557 København V"
"Ny Kongensgade 21A, 5. tv, 1557 København V"
"Ny Kongensgade 21, kl., 1557 København V"
"Ny Kongensgade 21, st. th, 1557 København V"
"Ny Kongensgade 21, st. tv, 1557 København V"
"Ny Kongensgade 21, 1. th, 1557 København V"
"Ny Kongensgade 21, 1. tv, 1557 København V"
"Ny Kongensgade 21, 2. th, 1557 København V"
"Ny Kongensgade 21, 2. tv, 1557 København V"
"Ny Kongensgade 21, 3. th, 1557 København V"
"Ny Kongensgade 21, 3. tv, 1557 København V"
"Ny Kongensgade 21, 4. th, 1557 København V"
"Ny Kongensgade 21, 4. tv, 1557 København V"
"Ny Kongensgade 21, 1557 København V"
"Ny Kongensgade 18, 2. tv, 1557 København V"
"Ny Kongensgade 18, 1. tv, 1557 København V"
"Ny Kongensgade 18, st. th, 1557 København V"
"Ny Kongensgade 18, kl., 1557 København V"
"Ny Kongensgade 20, 1557 København V"
"Ny Kongensgade 18, 1. mf, 1557 København V"
"Ny Kongensgade 18, 2. mf, 1557 København V"
"Ny Kongensgade 18, 1. tv, 1557 København V"
"Ny Kongensgade 18, st. tv, 1557 København V"
"Ny Kongensgade 18, 1557 København V"
"Ny Kongensgade 18, st., 1557 København V"
"Ny Kongensgade 19, 1557 København V"
"Ny Kongensgade 19, st. 3, 1557 København V"
