"Kampmannsgade 1, st. mf, 1604 København V"
"Kampmannsgade 1, st. th, 1604 København V"
"Kampmannsgade 1, st. tv, 1604 København V"
"Kampmannsgade 1, 1., 1604 København V"
"Kampmannsgade 1, 2., 1604 København V"
"Kampmannsgade 1, 3., 1604 København V"
"Kampmannsgade 1, 4. th, 1604 København V"
"Kampmannsgade 1, 5., 1604 København V"
"Kampmannsgade 1, 6., 1604 København V"
"Kampmannsgade 2, kl., 1604 København V"
"Kampmannsgade 2, st., 1604 København V"
"Kampmannsgade 2, 1., 1604 København V"
"Kampmannsgade 2, 2., 1604 København V"
"Kampmannsgade 2, 3., 1604 København V"
"Kampmannsgade 2, 4., 1604 København V"
"Kampmannsgade 2, 5., 1604 København V"
"Kampmannsgade 2, 6., 1604 København V"
"Kampmannsgade 4, 1., 1604 København V"
"Kampmannsgade 4, st., 1604 København V"
"Kampmannsgade 4, kl., 1604 København V"
"Kampmannsgade 1, 6. tv, 1604 København V"
"Kampmannsgade 4, 4., 1604 København V"
"Kampmannsgade 4, 5., 1604 København V"
"Kampmannsgade 4, 1604 København V"
"Kampmannsgade 1, 1604 København V"
"Kampmannsgade 1, st. 1, 1604 København V"
"Kampmannsgade 4, 2., 1604 København V"
"Kampmannsgade 4, 3., 1604 København V"
"Kampmannsgade 2, 1604 København V"
"Kampmannsgade 2, kl., 1604 København V"
"Kampmannsgade 2, st., 1604 København V"
"Kampmannsgade 2, 1., 1604 København V"
"Kampmannsgade 2, 2., 1604 København V"
"Kampmannsgade 2, 3., 1604 København V"
"Kampmannsgade 2, 4., 1604 København V"
"Kampmannsgade 2, 5., 1604 København V"
"Kampmannsgade 2, 6., 1604 København V"
"Kampmannsgade 2, 7., 1604 København V"
