"Rosenørns Allé 10A, kl., 1634 København V"
"Rosenørns Allé 2, st., 1634 København V"
"Rosenørns Allé 2, 1. th, 1634 København V"
"Rosenørns Allé 2, 1. tv, 1634 København V"
"Rosenørns Allé 2, 2. th, 1634 København V"
"Rosenørns Allé 2, 2. tv, 1634 København V"
"Rosenørns Allé 2, 3. th, 1634 København V"
"Rosenørns Allé 2, 3. tv, 1634 København V"
"Rosenørns Allé 2, 4. th, 1634 København V"
"Rosenørns Allé 2, 4. tv, 1634 København V"
"Rosenørns Allé 2, 5. th, 1634 København V"
"Rosenørns Allé 2, 5. tv, 1634 København V"
"Rosenørns Allé 4, kl. 1, 1634 København V"
"Rosenørns Allé 4, kl. 2, 1634 København V"
"Rosenørns Allé 4, st., 1634 København V"
"Rosenørns Allé 4, 1. th, 1634 København V"
"Rosenørns Allé 4, 1. tv, 1634 København V"
"Rosenørns Allé 4, 2. th, 1634 København V"
"Rosenørns Allé 4, 2. tv, 1634 København V"
"Rosenørns Allé 4, 3. th, 1634 København V"
"Rosenørns Allé 4, 3. tv, 1634 København V"
"Rosenørns Allé 4, 4. th, 1634 København V"
"Rosenørns Allé 4, 4. tv, 1634 København V"
"Rosenørns Allé 4, 5. th, 1634 København V"
"Rosenørns Allé 4, 5. tv, 1634 København V"
"Rosenørns Allé 6, st. th, 1634 København V"
"Rosenørns Allé 6, st. tv, 1634 København V"
"Rosenørns Allé 6, 1. th, 1634 København V"
"Rosenørns Allé 6, 1. tv, 1634 København V"
"Rosenørns Allé 6, 2. th, 1634 København V"
"Rosenørns Allé 6, 2. tv, 1634 København V"
"Rosenørns Allé 6, 3. th, 1634 København V"
"Rosenørns Allé 6, 3. tv, 1634 København V"
"Rosenørns Allé 6, 4. th, 1634 København V"
"Rosenørns Allé 6, 4. tv, 1634 København V"
"Rosenørns Allé 6, 5. th, 1634 København V"
"Rosenørns Allé 6, 5. tv, 1634 København V"
"Rosenørns Allé 8, st. mf, 1634 København V"
"Rosenørns Allé 8, st. tv, 1634 København V"
"Rosenørns Allé 8, st. 1, 1634 København V"
"Rosenørns Allé 8, st. 2, 1634 København V"
"Rosenørns Allé 8, 1. 1, 1634 København V"
"Rosenørns Allé 8, 1. 2, 1634 København V"
"Rosenørns Allé 8, 1. 3, 1634 København V"
"Rosenørns Allé 8, 1. 4, 1634 København V"
"Rosenørns Allé 8, 2. 1, 1634 København V"
"Rosenørns Allé 8, 2. 2, 1634 København V"
"Rosenørns Allé 8, 2. 3, 1634 København V"
"Rosenørns Allé 8, 2. 4, 1634 København V"
"Rosenørns Allé 8, 3. 1, 1634 København V"
"Rosenørns Allé 8, 3. 2, 1634 København V"
"Rosenørns Allé 8, 3. 3, 1634 København V"
"Rosenørns Allé 8, 3. 4, 1634 København V"
"Rosenørns Allé 8, 4. 1, 1634 København V"
"Rosenørns Allé 8, 4. 4, 1634 København V"
"Rosenørns Allé 8, 5. 1, 1634 København V"
"Rosenørns Allé 8, 5. 2, 1634 København V"
"Rosenørns Allé 8, 5. 3, 1634 København V"
"Rosenørns Allé 8, 5. 4, 1634 København V"
"Rosenørns Allé 10A, st., 1634 København V"
