"Colbjørnsensgade 16, st., 1652 København V"
"Colbjørnsensgade 17, kl. th, 1652 København V"
"Colbjørnsensgade 17, kl. tv, 1652 København V"
"Colbjørnsensgade 17, st. th, 1652 København V"
"Colbjørnsensgade 17, st. tv, 1652 København V"
"Colbjørnsensgade 17, 1. th, 1652 København V"
"Colbjørnsensgade 17, 1. tv, 1652 København V"
"Colbjørnsensgade 17, 2. th, 1652 København V"
"Colbjørnsensgade 17, 2. tv, 1652 København V"
"Colbjørnsensgade 17, 3. th, 1652 København V"
"Colbjørnsensgade 17, 3. tv, 1652 København V"
"Colbjørnsensgade 17, 4. th, 1652 København V"
"Colbjørnsensgade 17, 4. tv, 1652 København V"
"Colbjørnsensgade 17, 5., 1652 København V"
"Colbjørnsensgade 18, 1652 København V"
"Colbjørnsensgade 18, kl., 1652 København V"
"Colbjørnsensgade 19, st., 1652 København V"
"Colbjørnsensgade 20A, kl., 1652 København V"
"Colbjørnsensgade 20A, st. th, 1652 København V"
"Colbjørnsensgade 20A, st. tv, 1652 København V"
"Colbjørnsensgade 20A, 1. th, 1652 København V"
"Colbjørnsensgade 20A, 1. tv, 1652 København V"
"Colbjørnsensgade 20A, 2. th, 1652 København V"
"Colbjørnsensgade 20A, 2. tv, 1652 København V"
"Colbjørnsensgade 20A, 3. th, 1652 København V"
"Colbjørnsensgade 20A, 3. tv, 1652 København V"
"Colbjørnsensgade 20A, 4. th, 1652 København V"
"Colbjørnsensgade 20A, 4. tv, 1652 København V"
"Colbjørnsensgade 20, kl. th, 1652 København V"
"Colbjørnsensgade 20, kl. tv, 1652 København V"
"Colbjørnsensgade 20, st. th, 1652 København V"
"Colbjørnsensgade 20, st. tv, 1652 København V"
"Colbjørnsensgade 20, 1., 1652 København V"
"Colbjørnsensgade 25, kl., 1652 København V"
"Colbjørnsensgade 25, st. th, 1652 København V"
"Colbjørnsensgade 25, st. tv, 1652 København V"
"Colbjørnsensgade 25, 1. th, 1652 København V"
"Colbjørnsensgade 25, 1. tv, 1652 København V"
"Colbjørnsensgade 25, 2. th, 1652 København V"
"Colbjørnsensgade 25, 2. tv, 1652 København V"
"Colbjørnsensgade 25, 3. th, 1652 København V"
"Colbjørnsensgade 25, 3. tv, 1652 København V"
"Colbjørnsensgade 25, 4. th, 1652 København V"
"Colbjørnsensgade 25, 4. tv, 1652 København V"
"Colbjørnsensgade 25, 5., 1652 København V"
"Colbjørnsensgade 27A, st., 1652 København V"
"Colbjørnsensgade 27A, 1., 1652 København V"
"Colbjørnsensgade 27A, 2., 1652 København V"
"Colbjørnsensgade 27A, 3., 1652 København V"
"Colbjørnsensgade 27A, 4., 1652 København V"
"Colbjørnsensgade 27A, 5., 1652 København V"
"Colbjørnsensgade 28, st., 1652 København V"
"Colbjørnsensgade 28, 1., 1652 København V"
"Colbjørnsensgade 28, 2., 1652 København V"
"Colbjørnsensgade 28, 3., 1652 København V"
"Colbjørnsensgade 28, 4., 1652 København V"
"Colbjørnsensgade 28, 5., 1652 København V"
"Colbjørnsensgade 29, 1652 København V"
"Colbjørnsensgade 31, st. th, 1652 København V"
"Colbjørnsensgade 31, st. tv, 1652 København V"
"Colbjørnsensgade 31, 1. th, 1652 København V"
"Colbjørnsensgade 31, 1. tv, 1652 København V"
"Colbjørnsensgade 31, 2. th, 1652 København V"
"Colbjørnsensgade 31, 2. tv, 1652 København V"
"Colbjørnsensgade 31, 3., 1652 København V"
"Colbjørnsensgade 31, 4. th, 1652 København V"
"Colbjørnsensgade 31, 4. tv, 1652 København V"
"Colbjørnsensgade 31, 5. th, 1652 København V"
"Colbjørnsensgade 31, 5. tv, 1652 København V"
"Colbjørnsensgade 32, kl. th, 1652 København V"
"Colbjørnsensgade 32, kl. tv, 1652 København V"
"Colbjørnsensgade 32, st. th, 1652 København V"
"Colbjørnsensgade 32, st. tv, 1652 København V"
"Colbjørnsensgade 32, 1. th, 1652 København V"
"Colbjørnsensgade 32, 1. tv, 1652 København V"
"Colbjørnsensgade 32, 2. th, 1652 København V"
"Colbjørnsensgade 32, 2. tv, 1652 København V"
"Colbjørnsensgade 32, 3. th, 1652 København V"
"Colbjørnsensgade 32, 3. tv, 1652 København V"
"Colbjørnsensgade 32, 4. th, 1652 København V"
"Colbjørnsensgade 32, 4. tv, 1652 København V"
"Colbjørnsensgade 33, st., 1652 København V"
"Colbjørnsensgade 33, 1., 1652 København V"
"Colbjørnsensgade 33, 2. th, 1652 København V"
