"Helgolandsgade 14, 5. tv, 1653 København V"
"Helgolandsgade 14, st. 3, 1653 København V"
"Helgolandsgade 14, 5. th, 1653 København V"
"Helgolandsgade 2, 1. 3, 1653 København V"
"Helgolandsgade 2, 1. th, 1653 København V"
"Helgolandsgade 15, 1653 København V"
"Helgolandsgade 16B, st., 1653 København V"
"Helgolandsgade 16B, 1., 1653 København V"
"Helgolandsgade 16B, 2., 1653 København V"
"Helgolandsgade 16, kl., 1653 København V"
"Helgolandsgade 16, st. th, 1653 København V"
"Helgolandsgade 16, st. tv, 1653 København V"
"Helgolandsgade 16, 1. th, 1653 København V"
"Helgolandsgade 16, 1. tv, 1653 København V"
"Helgolandsgade 16, 2. th, 1653 København V"
"Helgolandsgade 16, 2. tv, 1653 København V"
"Helgolandsgade 16, 3. th, 1653 København V"
"Helgolandsgade 16, 3. tv, 1653 København V"
"Helgolandsgade 16, 4. th, 1653 København V"
"Helgolandsgade 16, 4. tv, 1653 København V"
"Helgolandsgade 16, 5. th, 1653 København V"
"Helgolandsgade 16, 5. tv, 1653 København V"
"Helgolandsgade 17, st., 1653 København V"
"Helgolandsgade 18, kl., 1653 København V"
"Helgolandsgade 18, st. th, 1653 København V"
"Helgolandsgade 18, st. tv, 1653 København V"
"Helgolandsgade 18, 1. th, 1653 København V"
"Helgolandsgade 18, 1. tv, 1653 København V"
"Helgolandsgade 18, 2. th, 1653 København V"
"Helgolandsgade 18, 2. tv, 1653 København V"
"Helgolandsgade 18, 3. th, 1653 København V"
"Helgolandsgade 18, 3. tv, 1653 København V"
"Helgolandsgade 18, 4. th, 1653 København V"
"Helgolandsgade 18, 4. tv, 1653 København V"
"Helgolandsgade 18, 5. th, 1653 København V"
"Helgolandsgade 18, 5. tv, 1653 København V"
"Helgolandsgade 19, kl. mf, 1653 København V"
"Helgolandsgade 19, st., 1653 København V"
"Helgolandsgade 21, kl. th, 1653 København V"
"Helgolandsgade 21, kl. tv, 1653 København V"
"Helgolandsgade 21, st. th, 1653 København V"
"Helgolandsgade 21, st. tv, 1653 København V"
"Helgolandsgade 21, 1. th, 1653 København V"
"Helgolandsgade 21, 1. tv, 1653 København V"
"Helgolandsgade 21, 2. th, 1653 København V"
"Helgolandsgade 21, 2. tv, 1653 København V"
"Helgolandsgade 21, 3. th, 1653 København V"
"Helgolandsgade 21, 3. tv, 1653 København V"
"Helgolandsgade 21, 4. th, 1653 København V"
"Helgolandsgade 21, 4. tv, 1653 København V"
"Helgolandsgade 21, 5., 1653 København V"
"Helgolandsgade 1, 2. th, 1653 København V"
"Helgolandsgade 1, 3. th, 1653 København V"
"Helgolandsgade 1, 3. tv, 1653 København V"
"Helgolandsgade 1, 4. th, 1653 København V"
"Helgolandsgade 1, 4. tv, 1653 København V"
"Helgolandsgade 2, kl. 1, 1653 København V"
"Helgolandsgade 2, kl. 2, 1653 København V"
"Helgolandsgade 2, st. tv, 1653 København V"
"Helgolandsgade 2, 1. tv, 1653 København V"
"Helgolandsgade 2, 2. tv, 1653 København V"
"Helgolandsgade 2, 3. th, 1653 København V"
"Helgolandsgade 2, 3. tv, 1653 København V"
"Helgolandsgade 2, 4. th, 1653 København V"
"Helgolandsgade 2, 4. tv, 1653 København V"
"Helgolandsgade 3, 1653 København V"
"Helgolandsgade 4, 1653 København V"
"Helgolandsgade 8A, kl., 1653 København V"
"Helgolandsgade 8A, st., 1653 København V"
