"Svendsgade 1, st. 1, 1659 København V"
"Svendsgade 1, st. 2, 1659 København V"
"Svendsgade 1, 1. th, 1659 København V"
"Svendsgade 1, 1. tv, 1659 København V"
"Svendsgade 1, 2. th, 1659 København V"
"Svendsgade 1, 2. tv, 1659 København V"
"Svendsgade 1, 3. th, 1659 København V"
"Svendsgade 1, 3. tv, 1659 København V"
"Svendsgade 1, 4. th, 1659 København V"
"Svendsgade 1, 4. tv, 1659 København V"
"Svendsgade 1, 5. th, 1659 København V"
"Svendsgade 1, 5. tv, 1659 København V"
"Svendsgade 2, st. th, 1659 København V"
"Svendsgade 2, st. tv, 1659 København V"
"Svendsgade 2, 1. th, 1659 København V"
"Svendsgade 2, 1. tv, 1659 København V"
"Svendsgade 2, 2. th, 1659 København V"
"Svendsgade 2, 2. tv, 1659 København V"
"Svendsgade 2, 3. th, 1659 København V"
"Svendsgade 2, 3. tv, 1659 København V"
"Svendsgade 2, 4. th, 1659 København V"
"Svendsgade 2, 4. tv, 1659 København V"
"Svendsgade 4, st. th, 1659 København V"
"Svendsgade 4, 1. tv, 1659 København V"
"Svendsgade 4, 2. tv, 1659 København V"
"Svendsgade 4, 3. th, 1659 København V"
"Svendsgade 4, 3. tv, 1659 København V"
"Svendsgade 4, 4. tv, 1659 København V"
"Svendsgade 3, 1659 København V"
"Svendsgade 1, 1659 København V"
