"Dannebrogsgade 33, st., 1660 København V"
"Dannebrogsgade 2A, 3. th, 1660 København V"
"Dannebrogsgade 55, 3., 1660 København V"
"Dannebrogsgade 33, 3., 1660 København V"
"Dannebrogsgade 20, 1., 1660 København V"
"Dannebrogsgade 51, 4. th, 1660 København V"
"Dannebrogsgade 20, 2., 1660 København V"
"Dannebrogsgade 51, 4. tv, 1660 København V"
"Dannebrogsgade 20, 3., 1660 København V"
"Dannebrogsgade 51, 5. th, 1660 København V"
"Dannebrogsgade 20, 4., 1660 København V"
"Dannebrogsgade 51, 5. tv, 1660 København V"
"Dannebrogsgade 21, st. th, 1660 København V"
"Dannebrogsgade 55, st., 1660 København V"
"Dannebrogsgade 21, st. tv, 1660 København V"
"Dannebrogsgade 55, 1. th, 1660 København V"
"Dannebrogsgade 21, 1. th, 1660 København V"
"Dannebrogsgade 55, 1. tv, 1660 København V"
"Dannebrogsgade 21, 1. tv, 1660 København V"
"Dannebrogsgade 55, 2. th, 1660 København V"
"Dannebrogsgade 21, 2. th, 1660 København V"
"Dannebrogsgade 55, 2. tv, 1660 København V"
"Dannebrogsgade 21, 2. tv, 1660 København V"
"Dannebrogsgade 21, 3. th, 1660 København V"
"Dannebrogsgade 21, 3. tv, 1660 København V"
"Dannebrogsgade 55, 4. th, 1660 København V"
"Dannebrogsgade 21, 4. th, 1660 København V"
"Dannebrogsgade 55, 4. tv, 1660 København V"
"Dannebrogsgade 21, 4. tv, 1660 København V"
"Dannebrogsgade 55, 5., 1660 København V"
"Dannebrogsgade 22, st. th, 1660 København V"
"Dannebrogsgade 57, st. tv, 1660 København V"
"Dannebrogsgade 22, st. tv, 1660 København V"
"Dannebrogsgade 57, 1., 1660 København V"
"Dannebrogsgade 22, 1. th, 1660 København V"
"Dannebrogsgade 57, 2. th, 1660 København V"
"Dannebrogsgade 22, 1. tv, 1660 København V"
"Dannebrogsgade 57, 2. tv, 1660 København V"
"Dannebrogsgade 22, 2. th, 1660 København V"
"Dannebrogsgade 57, 3. th, 1660 København V"
"Dannebrogsgade 22, 2. tv, 1660 København V"
"Dannebrogsgade 57, 3. tv, 1660 København V"
"Dannebrogsgade 22, 3. th, 1660 København V"
"Dannebrogsgade 57, 4. th, 1660 København V"
"Dannebrogsgade 22, 3. tv, 1660 København V"
"Dannebrogsgade 57, 4. tv, 1660 København V"
"Dannebrogsgade 22, 4. th, 1660 København V"
"Dannebrogsgade 57, 5., 1660 København V"
"Dannebrogsgade 22, 4. tv, 1660 København V"
"Dannebrogsgade 24A, st., 1660 København V"
"Dannebrogsgade 24A, 1., 1660 København V"
"Dannebrogsgade 24A, 2., 1660 København V"
"Dannebrogsgade 24A, 3., 1660 København V"
"Dannebrogsgade 24B, st., 1660 København V"
"Dannebrogsgade 24B, 1., 1660 København V"
"Dannebrogsgade 24B, 2., 1660 København V"
"Dannebrogsgade 24B, 3., 1660 København V"
"Dannebrogsgade 24B, 4., 1660 København V"
"Dannebrogsgade 31, kl. 1, 1660 København V"
"Dannebrogsgade 31, kl. 10, 1660 København V"
"Dannebrogsgade 31, kl. 11, 1660 København V"
"Dannebrogsgade 31, kl. 12, 1660 København V"
"Dannebrogsgade 31, kl. 13, 1660 København V"
"Dannebrogsgade 31, kl. 14, 1660 København V"
"Dannebrogsgade 31, kl. 15, 1660 København V"
"Dannebrogsgade 31, kl. 2, 1660 København V"
"Dannebrogsgade 31, kl. 3, 1660 København V"
"Dannebrogsgade 31, kl. 4, 1660 København V"
"Dannebrogsgade 31, kl. 6, 1660 København V"
"Dannebrogsgade 31, kl. 7, 1660 København V"
"Dannebrogsgade 31, kl. 8, 1660 København V"
"Dannebrogsgade 31, kl. 9, 1660 København V"
"Dannebrogsgade 31, st. mf, 1660 København V"
"Dannebrogsgade 31, st. th, 1660 København V"
"Dannebrogsgade 31, st. tv, 1660 København V"
"Dannebrogsgade 31, 1. mf, 1660 København V"
"Dannebrogsgade 31, 1. th, 1660 København V"
"Dannebrogsgade 31, 1. tv, 1660 København V"
"Dannebrogsgade 31, 2. mf, 1660 København V"
"Dannebrogsgade 31, 2. th, 1660 København V"
"Dannebrogsgade 31, 2. tv, 1660 København V"
"Dannebrogsgade 31, 3. mf, 1660 København V"
"Dannebrogsgade 31, 3. th, 1660 København V"
"Dannebrogsgade 31, 3. tv, 1660 København V"
"Dannebrogsgade 31, 4. mf, 1660 København V"
"Dannebrogsgade 31, 4. th, 1660 København V"
"Dannebrogsgade 31, 4. tv, 1660 København V"
"Dannebrogsgade 33, 1. th, 1660 København V"
"Dannebrogsgade 33, 1. tv, 1660 København V"
"Dannebrogsgade 33, 2. th, 1660 København V"
"Dannebrogsgade 33, 2. tv, 1660 København V"
"Dannebrogsgade 33, 4. th, 1660 København V"
"Dannebrogsgade 33, 4. tv, 1660 København V"
"Dannebrogsgade 34, st., 1660 København V"
"Dannebrogsgade 34, 1., 1660 København V"
"Dannebrogsgade 34, 2. 213, 1660 København V"
"Dannebrogsgade 1, kl., 1660 København V"
"Dannebrogsgade 34, 3., 1660 København V"
"Dannebrogsgade 1, st. 1, 1660 København V"
"Dannebrogsgade 34, 4., 1660 København V"
