"Saxogade 56, 3. th, 1662 København V"
"Saxogade 107, 1. 3, 1662 København V"
"Saxogade 56, 3. tv, 1662 København V"
"Saxogade 107, 1. 4, 1662 København V"
"Saxogade 58, 1. th, 1662 København V"
"Saxogade 107, 2. mf, 1662 København V"
"Saxogade 58, 1. tv, 1662 København V"
"Saxogade 107, 2. th, 1662 København V"
"Saxogade 1, st., 1662 København V"
"Saxogade 58, 2. th, 1662 København V"
"Saxogade 107, 2. tv, 1662 København V"
"Saxogade 1, 1., 1662 København V"
"Saxogade 58, 2. tv, 1662 København V"
"Saxogade 107, 3. mf, 1662 København V"
"Saxogade 1, 2., 1662 København V"
"Saxogade 60, st. th, 1662 København V"
"Saxogade 107, 3. th, 1662 København V"
"Saxogade 1, 3., 1662 København V"
"Saxogade 60, st. tv, 1662 København V"
"Saxogade 107, 3. tv, 1662 København V"
"Saxogade 1, 4., 1662 København V"
"Saxogade 60, 1. th, 1662 København V"
"Saxogade 107, 4. mf, 1662 København V"
"Saxogade 2, st. 1, 1662 København V"
"Saxogade 60, 1. tv, 1662 København V"
"Saxogade 107, 4. th, 1662 København V"
"Saxogade 2, st. 2, 1662 København V"
"Saxogade 60, 2. th, 1662 København V"
"Saxogade 107, 4. tv, 1662 København V"
"Saxogade 2, 1., 1662 København V"
"Saxogade 60, 2. tv, 1662 København V"
"Saxogade 108, 1. 50, 1662 København V"
"Saxogade 2, 2., 1662 København V"
"Saxogade 60, 3. th, 1662 København V"
"Saxogade 108, 1. 51, 1662 København V"
"Saxogade 2, 3., 1662 København V"
"Saxogade 60, 3. tv, 1662 København V"
"Saxogade 108, 1. 52, 1662 København V"
"Saxogade 2, 4., 1662 København V"
"Saxogade 61, st., 1662 København V"
"Saxogade 108, 2. 53, 1662 København V"
"Saxogade 3, st., 1662 København V"
"Saxogade 61, 1., 1662 København V"
"Saxogade 108, 2. 54, 1662 København V"
"Saxogade 3, 1., 1662 København V"
"Saxogade 108, 2. 55, 1662 København V"
"Saxogade 3, 2., 1662 København V"
"Saxogade 108, 3. 56, 1662 København V"
"Saxogade 3, 3., 1662 København V"
"Saxogade 108, 3. 57, 1662 København V"
"Saxogade 3, 4., 1662 København V"
"Saxogade 108, 3. 58, 1662 København V"
"Saxogade 4, st. th, 1662 København V"
"Saxogade 108, 4. 59, 1662 København V"
"Saxogade 4, st. tv, 1662 København V"
"Saxogade 108, 4. 60, 1662 København V"
"Saxogade 4, 1. th, 1662 København V"
"Saxogade 108, 4. 61, 1662 København V"
"Saxogade 4, 1. tv, 1662 København V"
"Saxogade 109, st. 1, 1662 København V"
"Saxogade 4, 2. th, 1662 København V"
"Saxogade 109, st. 2, 1662 København V"
"Saxogade 4, 2. tv, 1662 København V"
"Saxogade 109, st. 3, 1662 København V"
"Saxogade 4, 3. th, 1662 København V"
"Saxogade 109, st. 4, 1662 København V"
"Saxogade 4, 3. tv, 1662 København V"
"Saxogade 109, 1. mf, 1662 København V"
"Saxogade 4, 4. th, 1662 København V"
"Saxogade 109, 1. th, 1662 København V"
"Saxogade 4, 4. tv, 1662 København V"
"Saxogade 109, 1. tv, 1662 København V"
"Saxogade 5, st. 1, 1662 København V"
"Saxogade 109, 2. mf, 1662 København V"
"Saxogade 5, st. 2, 1662 København V"
"Saxogade 109, 2. th, 1662 København V"
"Saxogade 5, st. 3, 1662 København V"
"Saxogade 61, 2., 1662 København V"
"Saxogade 109, 2. tv, 1662 København V"
"Saxogade 5, st. 4, 1662 København V"
"Saxogade 109, 3. mf, 1662 København V"
"Saxogade 5, 1. th, 1662 København V"
"Saxogade 109, 3. th, 1662 København V"
"Saxogade 5, 1. tv, 1662 København V"
"Saxogade 109, 3. tv, 1662 København V"
"Saxogade 5, 2. th, 1662 København V"
"Saxogade 109, 4. mf, 1662 København V"
"Saxogade 5, 2. tv, 1662 København V"
"Saxogade 109, 4. th, 1662 København V"
"Saxogade 5, 3. th, 1662 København V"
"Saxogade 109, 4. tv, 1662 København V"
"Saxogade 5, 3. tv, 1662 København V"
"Saxogade 111, st. th, 1662 København V"
"Saxogade 5, 4. th, 1662 København V"
"Saxogade 111, st. tv, 1662 København V"
"Saxogade 5, 4. tv, 1662 København V"
"Saxogade 111, 1. th, 1662 København V"
"Saxogade 6, kl. th, 1662 København V"
"Saxogade 111, 1. tv, 1662 København V"
"Saxogade 6, kl. tv, 1662 København V"
"Saxogade 111, 2. th, 1662 København V"
"Saxogade 6, st. 1, 1662 København V"
"Saxogade 111, 2. tv, 1662 København V"
"Saxogade 6, st. 2, 1662 København V"
"Saxogade 111, 3. th, 1662 København V"
"Saxogade 6, st. 3, 1662 København V"
"Saxogade 111, 3. tv, 1662 København V"
"Saxogade 6, st. 4, 1662 København V"
