"Frederiksstadsgade 1, kl., 1667 København V"
"Frederiksstadsgade 1, st. th, 1667 København V"
"Frederiksstadsgade 1, st. tv, 1667 København V"
"Frederiksstadsgade 1, 1. th, 1667 København V"
"Frederiksstadsgade 1, 1. tv, 1667 København V"
"Frederiksstadsgade 1, 2. th, 1667 København V"
"Frederiksstadsgade 1, 2. tv, 1667 København V"
"Frederiksstadsgade 1, 3. th, 1667 København V"
"Frederiksstadsgade 1, 3. tv, 1667 København V"
"Frederiksstadsgade 1, 4. th, 1667 København V"
"Frederiksstadsgade 1, 4. tv, 1667 København V"
"Frederiksstadsgade 1, 5. th, 1667 København V"
"Frederiksstadsgade 1, 5. tv, 1667 København V"
"Frederiksstadsgade 3, st. th, 1667 København V"
"Frederiksstadsgade 3, st. tv, 1667 København V"
"Frederiksstadsgade 3, 1. th, 1667 København V"
"Frederiksstadsgade 3, 1. tv, 1667 København V"
"Frederiksstadsgade 3, 2. th, 1667 København V"
"Frederiksstadsgade 3, 2. tv, 1667 København V"
"Frederiksstadsgade 3, 3. th, 1667 København V"
"Frederiksstadsgade 3, 4. th, 1667 København V"
"Frederiksstadsgade 3, 4. tv, 1667 København V"
"Frederiksstadsgade 3, 5., 1667 København V"
"Frederiksstadsgade 6, st., 1667 København V"
"Frederiksstadsgade 7, st. th, 1667 København V"
"Frederiksstadsgade 7, st. tv, 1667 København V"
"Frederiksstadsgade 7, 1. th, 1667 København V"
"Frederiksstadsgade 7, 1. tv, 1667 København V"
"Frederiksstadsgade 7, 2. th, 1667 København V"
"Frederiksstadsgade 7, 2. tv, 1667 København V"
"Frederiksstadsgade 7, 3. th, 1667 København V"
"Frederiksstadsgade 7, 3. tv, 1667 København V"
"Frederiksstadsgade 7, 4. th, 1667 København V"
"Frederiksstadsgade 7, 4. tv, 1667 København V"
"Frederiksstadsgade 7, 5. th, 1667 København V"
"Frederiksstadsgade 7, 5. tv, 1667 København V"
"Frederiksstadsgade 9, st., 1667 København V"
"Frederiksstadsgade 9, 1. th, 1667 København V"
"Frederiksstadsgade 9, 1. tv, 1667 København V"
"Frederiksstadsgade 9, 2., 1667 København V"
"Frederiksstadsgade 9, 3., 1667 København V"
"Frederiksstadsgade 9, 4., 1667 København V"
"Frederiksstadsgade 11, kl., 1667 København V"
"Frederiksstadsgade 11, st. th, 1667 København V"
"Frederiksstadsgade 11, st. tv, 1667 København V"
"Frederiksstadsgade 11, 1., 1667 København V"
"Frederiksstadsgade 11, 2., 1667 København V"
"Frederiksstadsgade 11, 3. th, 1667 København V"
"Frederiksstadsgade 11, 3. tv, 1667 København V"
"Frederiksstadsgade 11, 4. th, 1667 København V"
"Frederiksstadsgade 11, 4. tv, 1667 København V"
"Frederiksstadsgade 13, st., 1667 København V"
"Frederiksstadsgade 13, 1., 1667 København V"
"Frederiksstadsgade 13, 2. th, 1667 København V"
"Frederiksstadsgade 13, 2. tv, 1667 København V"
"Frederiksstadsgade 13, 3., 1667 København V"
"Frederiksstadsgade 13, 4., 1667 København V"
"Frederiksstadsgade 15, 1. th, 1667 København V"
"Frederiksstadsgade 15, 1. tv, 1667 København V"
"Frederiksstadsgade 15, 2. th, 1667 København V"
"Frederiksstadsgade 15, 2. tv, 1667 København V"
"Frederiksstadsgade 15, 3. th, 1667 København V"
"Frederiksstadsgade 15, 3. tv, 1667 København V"
"Frederiksstadsgade 15, 5., 1667 København V"
"Frederiksstadsgade 8, 3., 1667 København V"
"Frederiksstadsgade 3, 2., 1667 København V"
"Frederiksstadsgade 8, 2., 1667 København V"
"Frederiksstadsgade 8, 1667 København V"
"Frederiksstadsgade 6, 1667 København V"
"Frederiksstadsgade 8, 1., 1667 København V"
"Frederiksstadsgade 13, 1667 København V"
"Frederiksstadsgade 8, st., 1667 København V"
"Frederiksstadsgade 15, 4. tv, 1667 København V"
"Frederiksstadsgade 15, 4., 1667 København V"
"Frederiksstadsgade 15, 4. th, 1667 København V"
"Frederiksstadsgade 5, 5., 1667 København V"
"Frederiksstadsgade 3, 3. tv, 1667 København V"
"Frederiksstadsgade 5, 3. tv, 1667 København V"
"Frederiksstadsgade 5, st. th, 1667 København V"
"Frederiksstadsgade 5, st. tv, 1667 København V"
"Frederiksstadsgade 5, 1. th, 1667 København V"
"Frederiksstadsgade 5, 1. tv, 1667 København V"
"Frederiksstadsgade 5, 2. tv, 1667 København V"
"Frederiksstadsgade 5, 3. th, 1667 København V"
"Frederiksstadsgade 5, 4. th, 1667 København V"
"Frederiksstadsgade 5, 4. tv, 1667 København V"
"Frederiksstadsgade 5, 1667 København V"
