"Kongshøjgade 5, 1., 1675 København V"
"Kongshøjgade 2, 3., 1675 København V"
"Kongshøjgade 1, st., 1675 København V"
"Kongshøjgade 1, 1., 1675 København V"
"Kongshøjgade 1, 2., 1675 København V"
"Kongshøjgade 1, 3., 1675 København V"
"Kongshøjgade 1, 4. tv, 1675 København V"
"Kongshøjgade 2, st. th, 1675 København V"
"Kongshøjgade 2, st. tv, 1675 København V"
"Kongshøjgade 2, 1. tv, 1675 København V"
"Kongshøjgade 2, 2., 1675 København V"
"Kongshøjgade 2, 4. th, 1675 København V"
"Kongshøjgade 2, 4. tv, 1675 København V"
"Kongshøjgade 3, kl., 1675 København V"
"Kongshøjgade 3, st. th, 1675 København V"
"Kongshøjgade 3, st. tv, 1675 København V"
"Kongshøjgade 3, 1. th, 1675 København V"
"Kongshøjgade 3, 1. tv, 1675 København V"
"Kongshøjgade 3, 2. th, 1675 København V"
"Kongshøjgade 3, 2. tv, 1675 København V"
"Kongshøjgade 3, 3. th, 1675 København V"
"Kongshøjgade 3, 3. tv, 1675 København V"
"Kongshøjgade 3, 4. th, 1675 København V"
"Kongshøjgade 3, 4. tv, 1675 København V"
"Kongshøjgade 4, kl., 1675 København V"
"Kongshøjgade 4, st. th, 1675 København V"
"Kongshøjgade 4, st. tv, 1675 København V"
"Kongshøjgade 4, 1. th, 1675 København V"
"Kongshøjgade 4, 1. tv, 1675 København V"
"Kongshøjgade 4, 2. tv, 1675 København V"
"Kongshøjgade 4, 3. th, 1675 København V"
"Kongshøjgade 4, 3. tv, 1675 København V"
"Kongshøjgade 4, 4. th, 1675 København V"
"Kongshøjgade 4, 4. tv, 1675 København V"
"Kongshøjgade 4, 5., 1675 København V"
"Kongshøjgade 5, st. th, 1675 København V"
"Kongshøjgade 5, st. tv, 1675 København V"
"Kongshøjgade 5, 2. th, 1675 København V"
"Kongshøjgade 5, 2. tv, 1675 København V"
"Kongshøjgade 5, 3. th, 1675 København V"
"Kongshøjgade 5, 3. tv, 1675 København V"
"Kongshøjgade 6, st. th, 1675 København V"
"Kongshøjgade 6, st. tv, 1675 København V"
"Kongshøjgade 6, 1. th, 1675 København V"
"Kongshøjgade 6, 1. tv, 1675 København V"
"Kongshøjgade 6, 2. th, 1675 København V"
"Kongshøjgade 6, 2. tv, 1675 København V"
"Kongshøjgade 6, 3. th, 1675 København V"
"Kongshøjgade 6, 3. tv, 1675 København V"
"Kongshøjgade 6, 4. th, 1675 København V"
"Kongshøjgade 6, 4. tv, 1675 København V"
"Kongshøjgade 6, 5., 1675 København V"
"Kongshøjgade 7, st. th, 1675 København V"
"Kongshøjgade 7, st. tv, 1675 København V"
"Kongshøjgade 7, 1. th, 1675 København V"
"Kongshøjgade 7, 1. tv, 1675 København V"
"Kongshøjgade 5, 5. tv, 1675 København V"
"Kongshøjgade 7, 2., 1675 København V"
"Kongshøjgade 7, 3. th, 1675 København V"
"Kongshøjgade 7, 3. tv, 1675 København V"
"Kongshøjgade 8, st., 1675 København V"
"Kongshøjgade 8, 1. th, 1675 København V"
"Kongshøjgade 8, 1. tv, 1675 København V"
"Kongshøjgade 8, 2. th, 1675 København V"
"Kongshøjgade 8, 2. tv, 1675 København V"
"Kongshøjgade 8, 3. th, 1675 København V"
"Kongshøjgade 8, 3. tv, 1675 København V"
"Kongshøjgade 8, 4. th, 1675 København V"
"Kongshøjgade 8, 4. tv, 1675 København V"
"Kongshøjgade 5, 4., 1675 København V"
"Kongshøjgade 5, 4. th, 1675 København V"
"Kongshøjgade 7, 4., 1675 København V"
"Kongshøjgade 2, 1., 1675 København V"
"Kongshøjgade 7, 1. tv, 1675 København V"
