"Sankelmarksgade 5, 2., 1676 København V"
"Sankelmarksgade 8, st. tv, 1676 København V"
"Sankelmarksgade 8, st. th, 1676 København V"
"Sankelmarksgade 4, 2. th, 1676 København V"
"Sankelmarksgade 2, 2. tv, 1676 København V"
"Sankelmarksgade 2, 3. th, 1676 København V"
"Sankelmarksgade 2, 3. tv, 1676 København V"
"Sankelmarksgade 2, 4. th, 1676 København V"
"Sankelmarksgade 2, 4. tv, 1676 København V"
"Sankelmarksgade 2, 5. th, 1676 København V"
"Sankelmarksgade 2, 5. tv, 1676 København V"
"Sankelmarksgade 3, st., 1676 København V"
"Sankelmarksgade 3, 1., 1676 København V"
"Sankelmarksgade 3, 2., 1676 København V"
"Sankelmarksgade 3, 3. th, 1676 København V"
"Sankelmarksgade 3, 3. tv, 1676 København V"
"Sankelmarksgade 3, 5. th, 1676 København V"
"Sankelmarksgade 3, 5. tv, 1676 København V"
"Sankelmarksgade 4, st. tv, 1676 København V"
"Sankelmarksgade 4, 1. th, 1676 København V"
"Sankelmarksgade 4, 1. tv, 1676 København V"
"Sankelmarksgade 4, 2. tv, 1676 København V"
"Sankelmarksgade 4, 3. tv, 1676 København V"
"Sankelmarksgade 4, 5. th, 1676 København V"
"Sankelmarksgade 4, 5. tv, 1676 København V"
"Sankelmarksgade 5, 3., 1676 København V"
"Sankelmarksgade 5, 4., 1676 København V"
"Sankelmarksgade 6, st., 1676 København V"
"Sankelmarksgade 6, 1., 1676 København V"
"Sankelmarksgade 6, 2. th, 1676 København V"
"Sankelmarksgade 6, 2. tv, 1676 København V"
"Sankelmarksgade 6, 3. th, 1676 København V"
"Sankelmarksgade 6, 3. tv, 1676 København V"
"Sankelmarksgade 6, 4. th, 1676 København V"
"Sankelmarksgade 6, 5. tv, 1676 København V"
"Sankelmarksgade 7, st., 1676 København V"
"Sankelmarksgade 7, 1. th, 1676 København V"
"Sankelmarksgade 7, 1. tv, 1676 København V"
"Sankelmarksgade 7, 2. th, 1676 København V"
"Sankelmarksgade 7, 2. tv, 1676 København V"
"Sankelmarksgade 7, 3. th, 1676 København V"
"Sankelmarksgade 7, 3. tv, 1676 København V"
"Sankelmarksgade 7, 4. th, 1676 København V"
"Sankelmarksgade 7, 4. tv, 1676 København V"
"Sankelmarksgade 7, 5. th, 1676 København V"
"Sankelmarksgade 7, 5. tv, 1676 København V"
"Sankelmarksgade 8, 1. th, 1676 København V"
"Sankelmarksgade 8, 1. tv, 1676 København V"
"Sankelmarksgade 8, 2. th, 1676 København V"
"Sankelmarksgade 8, 2. tv, 1676 København V"
"Sankelmarksgade 8, 3. th, 1676 København V"
"Sankelmarksgade 8, 3. tv, 1676 København V"
"Sankelmarksgade 8, 4. th, 1676 København V"
"Sankelmarksgade 8, 4. tv, 1676 København V"
"Sankelmarksgade 9, st. th, 1676 København V"
"Sankelmarksgade 9, st. tv, 1676 København V"
"Sankelmarksgade 9, 1. th, 1676 København V"
"Sankelmarksgade 9, 1. tv, 1676 København V"
"Sankelmarksgade 9, 2. th, 1676 København V"
"Sankelmarksgade 9, 2. tv, 1676 København V"
"Sankelmarksgade 9, 3. th, 1676 København V"
"Sankelmarksgade 9, 3. tv, 1676 København V"
"Sankelmarksgade 9, 4. th, 1676 København V"
"Sankelmarksgade 9, 4. tv, 1676 København V"
"Sankelmarksgade 9, 5. th, 1676 København V"
"Sankelmarksgade 9, 5. tv, 1676 København V"
"Sankelmarksgade 10, st., 1676 København V"
"Sankelmarksgade 10, 1. th, 1676 København V"
"Sankelmarksgade 10, 1. tv, 1676 København V"
"Sankelmarksgade 10, 2. th, 1676 København V"
