"Maria Kirkeplads 2, st. th, 1707 København V"
"Maria Kirkeplads 2, st. tv, 1707 København V"
"Maria Kirkeplads 2, 1. th, 1707 København V"
"Maria Kirkeplads 2, 1. tv, 1707 København V"
"Maria Kirkeplads 2, 2. th, 1707 København V"
"Maria Kirkeplads 2, 2. tv, 1707 København V"
"Maria Kirkeplads 2, 3. th, 1707 København V"
"Maria Kirkeplads 2, 3. tv, 1707 København V"
"Maria Kirkeplads 2, 4. th, 1707 København V"
"Maria Kirkeplads 2, 4. tv, 1707 København V"
"Maria Kirkeplads 4, st. th, 1707 København V"
"Maria Kirkeplads 4, st. tv, 1707 København V"
"Maria Kirkeplads 4, 1. th, 1707 København V"
"Maria Kirkeplads 4, 1. tv, 1707 København V"
"Maria Kirkeplads 4, 2. th, 1707 København V"
"Maria Kirkeplads 4, 2. tv, 1707 København V"
"Maria Kirkeplads 4, 3. th, 1707 København V"
"Maria Kirkeplads 4, 3. tv, 1707 København V"
"Maria Kirkeplads 4, 4. th, 1707 København V"
"Maria Kirkeplads 4, 4. tv, 1707 København V"
"Maria Kirkeplads 6, kl. th, 1707 København V"
"Maria Kirkeplads 6, kl. tv, 1707 København V"
"Maria Kirkeplads 6, st. th, 1707 København V"
"Maria Kirkeplads 6, st. tv, 1707 København V"
"Maria Kirkeplads 6, 1. th, 1707 København V"
"Maria Kirkeplads 6, 1. tv, 1707 København V"
"Maria Kirkeplads 6, 2. th, 1707 København V"
"Maria Kirkeplads 6, 2. tv, 1707 København V"
"Maria Kirkeplads 6, 3. th, 1707 København V"
"Maria Kirkeplads 6, 3. tv, 1707 København V"
"Maria Kirkeplads 6, 4. th, 1707 København V"
"Maria Kirkeplads 6, 4. tv, 1707 København V"
