"Eriksgade 11, st. th, 1708 København V"
"Eriksgade 11, st. tv, 1708 København V"
"Eriksgade 11, 1. th, 1708 København V"
"Eriksgade 11, 1. tv, 1708 København V"
"Eriksgade 11, 2. th, 1708 København V"
"Eriksgade 11, 2. tv, 1708 København V"
"Eriksgade 11, 3., 1708 København V"
"Eriksgade 11, 4. th, 1708 København V"
"Eriksgade 11, 4. tv, 1708 København V"
"Eriksgade 12, st. th, 1708 København V"
"Eriksgade 12, st. tv, 1708 København V"
"Eriksgade 12, 1. th, 1708 København V"
"Eriksgade 12, 1. tv, 1708 København V"
"Eriksgade 12, 2. th, 1708 København V"
"Eriksgade 12, 2. tv, 1708 København V"
"Eriksgade 12, 3. th, 1708 København V"
"Eriksgade 12, 3. tv, 1708 København V"
"Eriksgade 12, 4. th, 1708 København V"
"Eriksgade 12, 4. tv, 1708 København V"
"Eriksgade 12, 5. th, 1708 København V"
"Eriksgade 12, 5. tv, 1708 København V"
"Eriksgade 13, st., 1708 København V"
"Eriksgade 13, 1., 1708 København V"
"Eriksgade 13, 2., 1708 København V"
"Eriksgade 13, 3., 1708 København V"
"Eriksgade 13, 4., 1708 København V"
"Eriksgade 14, st., 1708 København V"
"Eriksgade 14, 1., 1708 København V"
"Eriksgade 14, 2., 1708 København V"
"Eriksgade 14, 3., 1708 København V"
"Eriksgade 14, 4., 1708 København V"
"Eriksgade 14, 5., 1708 København V"
"Eriksgade 15, kl. th, 1708 København V"
"Eriksgade 15, kl. tv, 1708 København V"
"Eriksgade 15, st. th, 1708 København V"
"Eriksgade 15, st. tv, 1708 København V"
"Eriksgade 15, 1. th, 1708 København V"
"Eriksgade 15, 1. tv, 1708 København V"
"Eriksgade 15, 2. th, 1708 København V"
"Eriksgade 15, 2. tv, 1708 København V"
"Eriksgade 15, 3. th, 1708 København V"
"Eriksgade 15, 4. th, 1708 København V"
"Eriksgade 15, 4. tv, 1708 København V"
"Eriksgade 16, st., 1708 København V"
"Eriksgade 16, 1., 1708 København V"
"Eriksgade 16, 2., 1708 København V"
"Eriksgade 16, 3., 1708 København V"
"Eriksgade 16, 4., 1708 København V"
"Eriksgade 18, kl., 1708 København V"
"Eriksgade 18, st., 1708 København V"
"Eriksgade 18, 1. th, 1708 København V"
"Eriksgade 18, 1. tv, 1708 København V"
"Eriksgade 18, 2. th, 1708 København V"
"Eriksgade 18, 2. tv, 1708 København V"
"Eriksgade 18, 3. th, 1708 København V"
"Eriksgade 18, 3. tv, 1708 København V"
"Eriksgade 18, 4. th, 1708 København V"
"Eriksgade 18, 4. tv, 1708 København V"
"Eriksgade 1, st., 1708 København V"
"Eriksgade 1, 1. th, 1708 København V"
"Eriksgade 1, 1. tv, 1708 København V"
"Eriksgade 1, 2. th, 1708 København V"
"Eriksgade 1, 2. tv, 1708 København V"
"Eriksgade 1, 3. th, 1708 København V"
"Eriksgade 1, 3. tv, 1708 København V"
"Eriksgade 1, 4. th, 1708 København V"
"Eriksgade 1, 4. tv, 1708 København V"
"Eriksgade 1, 5. th, 1708 København V"
"Eriksgade 1, 5. tv, 1708 København V"
"Eriksgade 2, st., 1708 København V"
"Eriksgade 2, 1., 1708 København V"
"Eriksgade 2, 2., 1708 København V"
"Eriksgade 2, 3., 1708 København V"
"Eriksgade 2, 4., 1708 København V"
"Eriksgade 2, 5., 1708 København V"
"Eriksgade 3, st. th, 1708 København V"
"Eriksgade 3, st. tv, 1708 København V"
"Eriksgade 3, 1. th, 1708 København V"
"Eriksgade 3, 1. tv, 1708 København V"
"Eriksgade 3, 2. th, 1708 København V"
"Eriksgade 3, 2. tv, 1708 København V"
"Eriksgade 3, 3. th, 1708 København V"
"Eriksgade 3, 3. tv, 1708 København V"
"Eriksgade 3, 4. th, 1708 København V"
"Eriksgade 3, 4. tv, 1708 København V"
"Eriksgade 3, 5. th, 1708 København V"
"Eriksgade 3, 5. tv, 1708 København V"
"Eriksgade 4, 1. th, 1708 København V"
"Eriksgade 4, 1. tv, 1708 København V"
"Eriksgade 4, 2. th, 1708 København V"
"Eriksgade 4, 2. tv, 1708 København V"
"Eriksgade 4, 3., 1708 København V"
"Eriksgade 4, 4. th, 1708 København V"
"Eriksgade 4, 4. tv, 1708 København V"
"Eriksgade 4, 5. th, 1708 København V"
"Eriksgade 4, 5. tv, 1708 København V"
"Eriksgade 5, st. th, 1708 København V"
"Eriksgade 5, st. tv, 1708 København V"
"Eriksgade 5, 1. th, 1708 København V"
"Eriksgade 5, 1. tv, 1708 København V"
"Eriksgade 5, 2. th, 1708 København V"
"Eriksgade 5, 2. tv, 1708 København V"
"Eriksgade 5, 3. th, 1708 København V"
"Eriksgade 5, 3. tv, 1708 København V"
"Eriksgade 5, 4. th, 1708 København V"
"Eriksgade 5, 4. tv, 1708 København V"
"Eriksgade 5, 5. th, 1708 København V"
"Eriksgade 5, 5. tv, 1708 København V"
"Eriksgade 7, kl., 1708 København V"
"Eriksgade 7, st., 1708 København V"
"Eriksgade 7, 1., 1708 København V"
"Eriksgade 7, 2., 1708 København V"
"Eriksgade 7, 3., 1708 København V"
"Eriksgade 7, 4., 1708 København V"
"Eriksgade 8, st., 1708 København V"
"Eriksgade 8, 1., 1708 København V"
"Eriksgade 8, 2., 1708 København V"
"Eriksgade 8, 3., 1708 København V"
"Eriksgade 8, 4., 1708 København V"
"Eriksgade 8, 5., 1708 København V"
"Eriksgade 9, st. th, 1708 København V"
"Eriksgade 9, st. tv, 1708 København V"
"Eriksgade 9, 1. th, 1708 København V"
"Eriksgade 9, 1. tv, 1708 København V"
"Eriksgade 9, 2. th, 1708 København V"
"Eriksgade 9, 2. tv, 1708 København V"
"Eriksgade 9, 3. th, 1708 København V"
"Eriksgade 9, 3. tv, 1708 København V"
"Eriksgade 9, 4. th, 1708 København V"
"Eriksgade 9, 4. tv, 1708 København V"
"Eriksgade 10, st., 1708 København V"
"Eriksgade 10, 1. th, 1708 København V"
"Eriksgade 10, 1. tv, 1708 København V"
"Eriksgade 10, 2. th, 1708 København V"
"Eriksgade 10, 2. tv, 1708 København V"
"Eriksgade 10, 3. th, 1708 København V"
"Eriksgade 10, 3. tv, 1708 København V"
"Eriksgade 10, 4. th, 1708 København V"
"Eriksgade 10, 4. tv, 1708 København V"
"Eriksgade 10, 5. th, 1708 København V"
"Eriksgade 10, 5. tv, 1708 København V"
"Eriksgade 2, 1708 København V"
"Eriksgade 5, 1708 København V"
"Eriksgade 18, 1708 København V"
"Eriksgade 15, 3. tv, 1708 København V"
