"Høkerboderne 12, 1712 København V"
"Høkerboderne 11, 1712 København V"
"Høkerboderne 9, 1712 København V"
"Høkerboderne 7A, 1712 København V"
"Høkerboderne 28, 1712 København V"
"Høkerboderne 13, 1712 København V"
"Høkerboderne 10, 1712 København V"
"Høkerboderne 19, 1712 København V"
"Høkerboderne 20, 1712 København V"
"Høkerboderne 18, 1712 København V"
"Høkerboderne 16B, 1712 København V"
"Høkerboderne 14C, 1712 København V"
"Høkerboderne 8, 1712 København V"
"Høkerboderne 8, st., 1712 København V"
"Høkerboderne 8, 1., 1712 København V"
"Høkerboderne 7B, 1712 København V"
"Høkerboderne 14A, 1712 København V"
"Høkerboderne 15, 1712 København V"
"Høkerboderne 17, 1712 København V"
"Høkerboderne 16, 1712 København V"
"Høkerboderne 14B, 1712 København V"
"Høkerboderne 1, 1712 København V"
"Høkerboderne 23, 1712 København V"
"Høkerboderne 22, 1712 København V"
"Høkerboderne 7C, 1712 København V"
"Høkerboderne 21, 1712 København V"
"Høkerboderne 7D, 1712 København V"
"Høkerboderne 6, 1712 København V"
"Høkerboderne 12A, 1712 København V"
"Høkerboderne 12B, 1712 København V"
"Høkerboderne 12C, 1712 København V"
"Høkerboderne 14, 1712 København V"
"Høkerboderne 16, st., 1712 København V"
