"Sommerstedgade 1, 2. th, 1718 København V"
"Sommerstedgade 24, 1. th, 1718 København V"
"Sommerstedgade 1, 2. tv, 1718 København V"
"Sommerstedgade 24, 1. tv, 1718 København V"
"Sommerstedgade 1, 3. th, 1718 København V"
"Sommerstedgade 24, 2. th, 1718 København V"
"Sommerstedgade 1, 3. tv, 1718 København V"
"Sommerstedgade 24, 2. tv, 1718 København V"
"Sommerstedgade 1, 4. th, 1718 København V"
"Sommerstedgade 24, 3. th, 1718 København V"
"Sommerstedgade 1, 4. tv, 1718 København V"
"Sommerstedgade 24, 3. tv, 1718 København V"
"Sommerstedgade 1, 5. tv, 1718 København V"
"Sommerstedgade 24, 4. th, 1718 København V"
"Sommerstedgade 2, kl. 1, 1718 København V"
"Sommerstedgade 24, 4. tv, 1718 København V"
"Sommerstedgade 2, kl. 2, 1718 København V"
"Sommerstedgade 25, kl., 1718 København V"
"Sommerstedgade 2, kl. 3, 1718 København V"
"Sommerstedgade 2, kl. 4, 1718 København V"
"Sommerstedgade 25, st. tv, 1718 København V"
"Sommerstedgade 2, st. th, 1718 København V"
"Sommerstedgade 25, 1., 1718 København V"
"Sommerstedgade 2, 1. th, 1718 København V"
"Sommerstedgade 2, 1. tv, 1718 København V"
"Sommerstedgade 25, 2. th, 1718 København V"
"Sommerstedgade 2, 2. th, 1718 København V"
"Sommerstedgade 25, 2. tv, 1718 København V"
"Sommerstedgade 2, 2. tv, 1718 København V"
"Sommerstedgade 25, 3., 1718 København V"
"Sommerstedgade 2, 3. th, 1718 København V"
"Sommerstedgade 25, 4., 1718 København V"
"Sommerstedgade 2, 3. tv, 1718 København V"
"Sommerstedgade 25, 5., 1718 København V"
"Sommerstedgade 2, 4. th, 1718 København V"
"Sommerstedgade 26, kl., 1718 København V"
"Sommerstedgade 2, 4. tv, 1718 København V"
"Sommerstedgade 26, k2., 1718 København V"
"Sommerstedgade 3, st. th, 1718 København V"
"Sommerstedgade 26, st. th, 1718 København V"
"Sommerstedgade 3, 1. th, 1718 København V"
"Sommerstedgade 26, st. tv, 1718 København V"
"Sommerstedgade 3, 1. tv, 1718 København V"
"Sommerstedgade 26, 1. th, 1718 København V"
"Sommerstedgade 3, 2. th, 1718 København V"
"Sommerstedgade 26, 1. tv, 1718 København V"
"Sommerstedgade 3, 2. tv, 1718 København V"
"Sommerstedgade 26, 2. th, 1718 København V"
"Sommerstedgade 3, 3. th, 1718 København V"
"Sommerstedgade 26, 2. tv, 1718 København V"
"Sommerstedgade 3, 3. tv, 1718 København V"
