"Krusågade 7, 5. th, 1719 København V"
"Krusågade 6, 4., 1719 København V"
"Krusågade 28, 5. tv, 1719 København V"
"Krusågade 19, 1. th, 1719 København V"
"Krusågade 19, 1. tv, 1719 København V"
"Krusågade 19, 2. th, 1719 København V"
"Krusågade 19, 2. tv, 1719 København V"
"Krusågade 19, 3. th, 1719 København V"
"Krusågade 19, 3. tv, 1719 København V"
"Krusågade 19, 4. th, 1719 København V"
"Krusågade 19, 4. tv, 1719 København V"
"Krusågade 20, st. th, 1719 København V"
"Krusågade 20, st. tv, 1719 København V"
"Krusågade 20, 1. th, 1719 København V"
"Krusågade 20, 1. tv, 1719 København V"
"Krusågade 20, 2. th, 1719 København V"
"Krusågade 20, 2. tv, 1719 København V"
"Krusågade 20, 3. th, 1719 København V"
"Krusågade 20, 3. tv, 1719 København V"
"Krusågade 20, 4. th, 1719 København V"
"Krusågade 20, 4. tv, 1719 København V"
"Krusågade 21, st. tv, 1719 København V"
"Krusågade 21, 1. tv, 1719 København V"
"Krusågade 21, 2. th, 1719 København V"
"Krusågade 21, 2. tv, 1719 København V"
"Krusågade 21, 3. th, 1719 København V"
"Krusågade 21, 3. tv, 1719 København V"
"Krusågade 21, 4. tv, 1719 København V"
"Krusågade 22, st. th, 1719 København V"
"Krusågade 22, st. tv, 1719 København V"
"Krusågade 22, 1. th, 1719 København V"
"Krusågade 22, 1. tv, 1719 København V"
"Krusågade 22, 2. th, 1719 København V"
"Krusågade 22, 2. tv, 1719 København V"
"Krusågade 22, 3. th, 1719 København V"
"Krusågade 22, 3. tv, 1719 København V"
"Krusågade 22, 4. th, 1719 København V"
"Krusågade 22, 4. tv, 1719 København V"
"Krusågade 22, 5., 1719 København V"
"Krusågade 23, kl., 1719 København V"
"Krusågade 23, st. th, 1719 København V"
"Krusågade 23, st. tv, 1719 København V"
"Krusågade 23, 1. th, 1719 København V"
"Krusågade 23, 1. tv, 1719 København V"
"Krusågade 23, 2. th, 1719 København V"
"Krusågade 23, 2. tv, 1719 København V"
"Krusågade 23, 3. th, 1719 København V"
"Krusågade 23, 3. tv, 1719 København V"
"Krusågade 23, 4. th, 1719 København V"
"Krusågade 23, 4. tv, 1719 København V"
"Krusågade 24, st. th, 1719 København V"
"Krusågade 24, st. tv, 1719 København V"
"Krusågade 24, 1. th, 1719 København V"
"Krusågade 24, 1. tv, 1719 København V"
"Krusågade 24, 2. th, 1719 København V"
"Krusågade 24, 2. tv, 1719 København V"
"Krusågade 24, 3. th, 1719 København V"
"Krusågade 24, 3. tv, 1719 København V"
"Krusågade 24, 4. th, 1719 København V"
