"Godsbanegade 5, 5., 1722 København V"
"Godsbanegade 7, 5., 1722 København V"
"Godsbanegade 12, 3., 1722 København V"
"Godsbanegade 4, 5., 1722 København V"
"Godsbanegade 22, st. tv, 1722 København V"
"Godsbanegade 22, 1. th, 1722 København V"
"Godsbanegade 22, 1. tv, 1722 København V"
"Godsbanegade 22, 2. th, 1722 København V"
"Godsbanegade 22, 2. tv, 1722 København V"
"Godsbanegade 22, 3. th, 1722 København V"
"Godsbanegade 22, 3. tv, 1722 København V"
"Godsbanegade 22, 4. th, 1722 København V"
"Godsbanegade 22, 4. tv, 1722 København V"
"Godsbanegade 23, st. th, 1722 København V"
"Godsbanegade 23, st. tv, 1722 København V"
"Godsbanegade 23, 1. th, 1722 København V"
"Godsbanegade 23, 1. tv, 1722 København V"
"Godsbanegade 23, 2. th, 1722 København V"
"Godsbanegade 23, 2. tv, 1722 København V"
"Godsbanegade 23, 3. th, 1722 København V"
"Godsbanegade 23, 3. tv, 1722 København V"
"Godsbanegade 23, 4. th, 1722 København V"
"Godsbanegade 23, 4. tv, 1722 København V"
"Godsbanegade 24, st. th, 1722 København V"
"Godsbanegade 24, st. tv, 1722 København V"
"Godsbanegade 24, 1. th, 1722 København V"
"Godsbanegade 24, 1. tv, 1722 København V"
"Godsbanegade 24, 2. th, 1722 København V"
"Godsbanegade 24, 2. tv, 1722 København V"
"Godsbanegade 24, 3. th, 1722 København V"
"Godsbanegade 24, 3. tv, 1722 København V"
"Godsbanegade 24, 4. th, 1722 København V"
"Godsbanegade 24, 4. tv, 1722 København V"
"Godsbanegade 25, st. th, 1722 København V"
"Godsbanegade 25, st. tv, 1722 København V"
"Godsbanegade 25, 1. th, 1722 København V"
"Godsbanegade 25, 1. tv, 1722 København V"
"Godsbanegade 25, 2. th, 1722 København V"
"Godsbanegade 25, 2. tv, 1722 København V"
"Godsbanegade 25, 3. th, 1722 København V"
"Godsbanegade 25, 3. tv, 1722 København V"
"Godsbanegade 1, 1. th, 1722 København V"
"Godsbanegade 25, 4. th, 1722 København V"
"Godsbanegade 1, 1. tv, 1722 København V"
"Godsbanegade 25, 4. tv, 1722 København V"
"Godsbanegade 1, 2. th, 1722 København V"
"Godsbanegade 27, kl. mf, 1722 København V"
"Godsbanegade 1, 2. tv, 1722 København V"
"Godsbanegade 27, kl. tv, 1722 København V"
"Godsbanegade 1, 3. th, 1722 København V"
"Godsbanegade 27, st. th, 1722 København V"
"Godsbanegade 1, 3. tv, 1722 København V"
"Godsbanegade 27, st. tv, 1722 København V"
"Godsbanegade 1, 4. th, 1722 København V"
"Godsbanegade 27, 1. th, 1722 København V"
"Godsbanegade 1, 4. tv, 1722 København V"
"Godsbanegade 27, 1. tv, 1722 København V"
"Godsbanegade 1, 5. th, 1722 København V"
"Godsbanegade 27, 2. th, 1722 København V"
"Godsbanegade 1, 5. tv, 1722 København V"
"Godsbanegade 27, 2. tv, 1722 København V"
"Godsbanegade 2, st., 1722 København V"
"Godsbanegade 27, 3. th, 1722 København V"
"Godsbanegade 27, 3. tv, 1722 København V"
"Godsbanegade 27, 4. th, 1722 København V"
"Godsbanegade 2, 1. th, 1722 København V"
"Godsbanegade 27, 4. tv, 1722 København V"
"Godsbanegade 2, 1. tv, 1722 København V"
"Godsbanegade 2, 2. th, 1722 København V"
"Godsbanegade 27, 5. th, 1722 København V"
"Godsbanegade 2, 2. tv, 1722 København V"
"Godsbanegade 27, 5. tv, 1722 København V"
"Godsbanegade 2, 3. th, 1722 København V"
"Godsbanegade 2, 3. tv, 1722 København V"
"Godsbanegade 29, st. th, 1722 København V"
"Godsbanegade 2, 4. th, 1722 København V"
"Godsbanegade 29, st. tv, 1722 København V"
"Godsbanegade 2, 4. tv, 1722 København V"
"Godsbanegade 29, 1. th, 1722 København V"
"Godsbanegade 3, st. th, 1722 København V"
"Godsbanegade 29, 1. tv, 1722 København V"
"Godsbanegade 3, st. tv, 1722 København V"
"Godsbanegade 29, 2. th, 1722 København V"
"Godsbanegade 3, 1. th, 1722 København V"
