"Esbern Snares Gade 20, 4., 1725 København V"
"Esbern Snares Gade 6, 3. th, 1725 København V"
"Esbern Snares Gade 6, 3. tv, 1725 København V"
"Esbern Snares Gade 6, 4. th, 1725 København V"
"Esbern Snares Gade 6, 4. tv, 1725 København V"
"Esbern Snares Gade 7, kl. 1, 1725 København V"
"Esbern Snares Gade 7, st. th, 1725 København V"
"Esbern Snares Gade 7, st. tv, 1725 København V"
"Esbern Snares Gade 7, 1. th, 1725 København V"
"Esbern Snares Gade 7, 1. tv, 1725 København V"
"Esbern Snares Gade 7, 2. th, 1725 København V"
"Esbern Snares Gade 7, 2. tv, 1725 København V"
"Esbern Snares Gade 7, 3. th, 1725 København V"
"Esbern Snares Gade 7, 3. tv, 1725 København V"
"Esbern Snares Gade 7, 4. th, 1725 København V"
"Esbern Snares Gade 7, 4. tv, 1725 København V"
"Esbern Snares Gade 8, st. th, 1725 København V"
"Esbern Snares Gade 8, st. tv, 1725 København V"
"Esbern Snares Gade 8, 1. th, 1725 København V"
"Esbern Snares Gade 8, 1. tv, 1725 København V"
"Esbern Snares Gade 8, 2. th, 1725 København V"
"Esbern Snares Gade 8, 2. tv, 1725 København V"
"Esbern Snares Gade 8, 3. th, 1725 København V"
"Esbern Snares Gade 8, 3. tv, 1725 København V"
"Esbern Snares Gade 8, 4. th, 1725 København V"
"Esbern Snares Gade 8, 4. tv, 1725 København V"
"Esbern Snares Gade 9, kl. 1, 1725 København V"
"Esbern Snares Gade 9, st. th, 1725 København V"
"Esbern Snares Gade 9, st. tv, 1725 København V"
"Esbern Snares Gade 9, 1. th, 1725 København V"
"Esbern Snares Gade 9, 1. tv, 1725 København V"
"Esbern Snares Gade 9, 2. th, 1725 København V"
"Esbern Snares Gade 9, 2. tv, 1725 København V"
"Esbern Snares Gade 9, 3. th, 1725 København V"
"Esbern Snares Gade 9, 3. tv, 1725 København V"
"Esbern Snares Gade 9, 4. th, 1725 København V"
"Esbern Snares Gade 9, 4. tv, 1725 København V"
"Esbern Snares Gade 10, kl., 1725 København V"
"Esbern Snares Gade 10, st. th, 1725 København V"
"Esbern Snares Gade 10, st. tv, 1725 København V"
"Esbern Snares Gade 10, 1. th, 1725 København V"
"Esbern Snares Gade 10, 1. tv, 1725 København V"
"Esbern Snares Gade 10, 2. th, 1725 København V"
"Esbern Snares Gade 10, 2. tv, 1725 København V"
"Esbern Snares Gade 10, 3. th, 1725 København V"
"Esbern Snares Gade 10, 3. tv, 1725 København V"
"Esbern Snares Gade 10, 4. th, 1725 København V"
"Esbern Snares Gade 10, 4. tv, 1725 København V"
"Esbern Snares Gade 11, kl., 1725 København V"
"Esbern Snares Gade 11, st. th, 1725 København V"
"Esbern Snares Gade 11, st. tv, 1725 København V"
"Esbern Snares Gade 11, 1. th, 1725 København V"
"Esbern Snares Gade 11, 1. tv, 1725 København V"
"Esbern Snares Gade 11, 2. th, 1725 København V"
"Esbern Snares Gade 11, 2. tv, 1725 København V"
"Esbern Snares Gade 11, 3. th, 1725 København V"
"Esbern Snares Gade 11, 3. tv, 1725 København V"
"Esbern Snares Gade 11, 4. th, 1725 København V"
"Esbern Snares Gade 11, 4. tv, 1725 København V"
"Esbern Snares Gade 12, kl., 1725 København V"
"Esbern Snares Gade 12, st. tv, 1725 København V"
"Esbern Snares Gade 12, 1. th, 1725 København V"
"Esbern Snares Gade 12, 1. tv, 1725 København V"
"Esbern Snares Gade 12, 2. th, 1725 København V"
"Esbern Snares Gade 12, 2. tv, 1725 København V"
"Esbern Snares Gade 12, 3. th, 1725 København V"
