"Skjalm Hvides Gade 3, 2., 1728 København V"
"Skjalm Hvides Gade 2, st. th, 1728 København V"
"Skjalm Hvides Gade 2, st. tv, 1728 København V"
"Skjalm Hvides Gade 2, 1. th, 1728 København V"
"Skjalm Hvides Gade 2, 1. tv, 1728 København V"
"Skjalm Hvides Gade 2, 2. th, 1728 København V"
"Skjalm Hvides Gade 2, 2. tv, 1728 København V"
"Skjalm Hvides Gade 2, 3. th, 1728 København V"
"Skjalm Hvides Gade 2, 3. tv, 1728 København V"
"Skjalm Hvides Gade 2, 4. th, 1728 København V"
"Skjalm Hvides Gade 2, 4. tv, 1728 København V"
"Skjalm Hvides Gade 3, kl., 1728 København V"
"Skjalm Hvides Gade 3, st., 1728 København V"
"Skjalm Hvides Gade 3, 1., 1728 København V"
"Skjalm Hvides Gade 3, 3. th, 1728 København V"
"Skjalm Hvides Gade 3, 3. tv, 1728 København V"
"Skjalm Hvides Gade 3, 4. tv, 1728 København V"
"Skjalm Hvides Gade 4, st., 1728 København V"
"Skjalm Hvides Gade 4, 1. th, 1728 København V"
"Skjalm Hvides Gade 4, 1. tv, 1728 København V"
"Skjalm Hvides Gade 4, 2. th, 1728 København V"
"Skjalm Hvides Gade 4, 2. tv, 1728 København V"
"Skjalm Hvides Gade 4, 3., 1728 København V"
"Skjalm Hvides Gade 4, 4. th, 1728 København V"
"Skjalm Hvides Gade 4, 4. tv, 1728 København V"
"Skjalm Hvides Gade 5, kl., 1728 København V"
"Skjalm Hvides Gade 5, st. th, 1728 København V"
"Skjalm Hvides Gade 5, st. tv, 1728 København V"
"Skjalm Hvides Gade 5, 1. th, 1728 København V"
"Skjalm Hvides Gade 5, 1. tv, 1728 København V"
"Skjalm Hvides Gade 5, 2. tv, 1728 København V"
"Skjalm Hvides Gade 5, 3. th, 1728 København V"
"Skjalm Hvides Gade 5, 3. tv, 1728 København V"
"Skjalm Hvides Gade 5, 4. th, 1728 København V"
"Skjalm Hvides Gade 5, 4. tv, 1728 København V"
"Skjalm Hvides Gade 6, st. th, 1728 København V"
"Skjalm Hvides Gade 6, st. tv, 1728 København V"
"Skjalm Hvides Gade 6, 1., 1728 København V"
"Skjalm Hvides Gade 6, 2. th, 1728 København V"
"Skjalm Hvides Gade 6, 2. tv, 1728 København V"
"Skjalm Hvides Gade 6, 3. th, 1728 København V"
"Skjalm Hvides Gade 6, 3. tv, 1728 København V"
"Skjalm Hvides Gade 6, 4. th, 1728 København V"
"Skjalm Hvides Gade 6, 4. tv, 1728 København V"
