"Sigerstedgade 10, 1., 1729 København V"
"Sigerstedgade 5, 2. th, 1729 København V"
"Sigerstedgade 5, 2. tv, 1729 København V"
"Sigerstedgade 5, 3. th, 1729 København V"
"Sigerstedgade 5, 3. tv, 1729 København V"
"Sigerstedgade 5, 4. th, 1729 København V"
"Sigerstedgade 5, 4. tv, 1729 København V"
"Sigerstedgade 6, 1. th, 1729 København V"
"Sigerstedgade 6, 2. th, 1729 København V"
"Sigerstedgade 6, 2. tv, 1729 København V"
"Sigerstedgade 6, 3. th, 1729 København V"
"Sigerstedgade 6, 3. tv, 1729 København V"
"Sigerstedgade 6, 4. th, 1729 København V"
"Sigerstedgade 6, 4. tv, 1729 København V"
"Sigerstedgade 7, st. th, 1729 København V"
"Sigerstedgade 7, st. tv, 1729 København V"
"Sigerstedgade 7, 1. th, 1729 København V"
"Sigerstedgade 7, 1. tv, 1729 København V"
"Sigerstedgade 7, 2. th, 1729 København V"
"Sigerstedgade 7, 2. tv, 1729 København V"
"Sigerstedgade 7, 3. th, 1729 København V"
"Sigerstedgade 7, 3. tv, 1729 København V"
"Sigerstedgade 7, 4. th, 1729 København V"
"Sigerstedgade 7, 4. tv, 1729 København V"
"Sigerstedgade 8, 1. th, 1729 København V"
"Sigerstedgade 8, 1. tv, 1729 København V"
"Sigerstedgade 8, 2. th, 1729 København V"
"Sigerstedgade 8, 2. tv, 1729 København V"
"Sigerstedgade 8, 3. th, 1729 København V"
"Sigerstedgade 8, 4. tv, 1729 København V"
"Sigerstedgade 9, st. th, 1729 København V"
"Sigerstedgade 9, st. tv, 1729 København V"
"Sigerstedgade 9, 1. th, 1729 København V"
"Sigerstedgade 9, 1. tv, 1729 København V"
"Sigerstedgade 9, 2. th, 1729 København V"
"Sigerstedgade 9, 2. tv, 1729 København V"
"Sigerstedgade 9, 3. th, 1729 København V"
"Sigerstedgade 9, 3. tv, 1729 København V"
"Sigerstedgade 9, 4. th, 1729 København V"
"Sigerstedgade 9, 4. tv, 1729 København V"
"Sigerstedgade 10, st. th, 1729 København V"
"Sigerstedgade 10, 2. th, 1729 København V"
"Sigerstedgade 10, 2. tv, 1729 København V"
"Sigerstedgade 10, 3. th, 1729 København V"
"Sigerstedgade 10, 3. tv, 1729 København V"
"Sigerstedgade 10, 4. th, 1729 København V"
"Sigerstedgade 10, 4. tv, 1729 København V"
"Sigerstedgade 11, st. th, 1729 København V"
"Sigerstedgade 11, st. tv, 1729 København V"
"Sigerstedgade 11, 1. th, 1729 København V"
"Sigerstedgade 11, 1. tv, 1729 København V"
"Sigerstedgade 11, 2. th, 1729 København V"
"Sigerstedgade 11, 2. tv, 1729 København V"
"Sigerstedgade 11, 3. th, 1729 København V"
"Sigerstedgade 11, 3. tv, 1729 København V"
"Sigerstedgade 11, 4. th, 1729 København V"
"Sigerstedgade 11, 4. tv, 1729 København V"
"Sigerstedgade 15, st. th, 1729 København V"
"Sigerstedgade 15, st. tv, 1729 København V"
"Sigerstedgade 15, 1. th, 1729 København V"
"Sigerstedgade 15, 1. tv, 1729 København V"
"Sigerstedgade 15, 2. th, 1729 København V"
