"Heilsgade 6, 4., 1734 København V"
"Heilsgade 3, st. th, 1734 København V"
"Heilsgade 3, st. tv, 1734 København V"
"Heilsgade 3, 1. th, 1734 København V"
"Heilsgade 3, 1. tv, 1734 København V"
"Heilsgade 3, 2. tv, 1734 København V"
"Heilsgade 3, 4. th, 1734 København V"
"Heilsgade 3, 4. tv, 1734 København V"
"Heilsgade 4, st. th, 1734 København V"
"Heilsgade 4, st. tv, 1734 København V"
"Heilsgade 4, 1. th, 1734 København V"
"Heilsgade 4, 1. tv, 1734 København V"
"Heilsgade 4, 2. th, 1734 København V"
"Heilsgade 4, 2. tv, 1734 København V"
"Heilsgade 4, 3. th, 1734 København V"
"Heilsgade 4, 3. tv, 1734 København V"
"Heilsgade 5, st. th, 1734 København V"
"Heilsgade 5, st. tv, 1734 København V"
"Heilsgade 5, 1. th, 1734 København V"
"Heilsgade 5, 1. tv, 1734 København V"
"Heilsgade 5, 2. th, 1734 København V"
"Heilsgade 5, 2. tv, 1734 København V"
"Heilsgade 5, 3. th, 1734 København V"
"Heilsgade 5, 4. th, 1734 København V"
"Heilsgade 5, 4. tv, 1734 København V"
"Heilsgade 6, st. th, 1734 København V"
"Heilsgade 6, st. tv, 1734 København V"
"Heilsgade 6, 1. th, 1734 København V"
"Heilsgade 6, 1. tv, 1734 København V"
"Heilsgade 6, 2. th, 1734 København V"
"Heilsgade 6, 2. tv, 1734 København V"
"Heilsgade 6, 3. th, 1734 København V"
"Heilsgade 6, 3. tv, 1734 København V"
"Heilsgade 1, st. th, 1734 København V"
"Heilsgade 1, st. tv, 1734 København V"
"Heilsgade 1, 1. th, 1734 København V"
"Heilsgade 1, 1. tv, 1734 København V"
"Heilsgade 1, 2. th, 1734 København V"
"Heilsgade 1, 2. tv, 1734 København V"
"Heilsgade 1, 3. th, 1734 København V"
"Heilsgade 1, 3. tv, 1734 København V"
"Heilsgade 1, 4. th, 1734 København V"
"Heilsgade 1, 4. tv, 1734 København V"
"Heilsgade 2, st. th, 1734 København V"
"Heilsgade 2, st. tv, 1734 København V"
"Heilsgade 2, 1. th, 1734 København V"
"Heilsgade 2, 1. tv, 1734 København V"
"Heilsgade 2, 2. th, 1734 København V"
"Heilsgade 2, 3. th, 1734 København V"
"Heilsgade 2, 3. tv, 1734 København V"
"Heilsgade 2, 4. th, 1734 København V"
"Heilsgade 2, 4. tv, 1734 København V"
"Heilsgade 3, 3., 1734 København V"
"Heilsgade 2, st. th, 1734 København V"
"Heilsgade 6, 3. tv, 1734 København V"
"Heilsgade 2, st., 1734 København V"
"Heilsgade 4, 4., 1734 København V"
"Heilsgade 2, 2. tv, 1734 København V"
