"Ballumgade 1, st., 1753 København V"
"Ballumgade 1, 1., 1753 København V"
"Ballumgade 1, 2., 1753 København V"
"Ballumgade 1, 3., 1753 København V"
"Ballumgade 1, 4. th, 1753 København V"
"Ballumgade 1, 4. tv, 1753 København V"
"Ballumgade 2, st., 1753 København V"
"Ballumgade 2, 1., 1753 København V"
"Ballumgade 2, 2., 1753 København V"
"Ballumgade 2, 3., 1753 København V"
"Ballumgade 2, 4., 1753 København V"
"Ballumgade 2, 5., 1753 København V"
"Ballumgade 3, st., 1753 København V"
"Ballumgade 3, 1., 1753 København V"
"Ballumgade 3, 2., 1753 København V"
"Ballumgade 3, 3., 1753 København V"
"Ballumgade 3, 4. th, 1753 København V"
"Ballumgade 3, 4. tv, 1753 København V"
"Ballumgade 4, st., 1753 København V"
"Ballumgade 4, 1., 1753 København V"
"Ballumgade 4, 2., 1753 København V"
"Ballumgade 4, 3., 1753 København V"
"Ballumgade 4, 4., 1753 København V"
"Ballumgade 4, 5., 1753 København V"
"Ballumgade 5, st., 1753 København V"
"Ballumgade 5, 1., 1753 København V"
"Ballumgade 5, 2., 1753 København V"
"Ballumgade 5, 3., 1753 København V"
"Ballumgade 6, st., 1753 København V"
"Ballumgade 6, 1. th, 1753 København V"
"Ballumgade 6, 1. tv, 1753 København V"
"Ballumgade 6, 2. th, 1753 København V"
"Ballumgade 6, 2. tv, 1753 København V"
"Ballumgade 6, 3. th, 1753 København V"
"Ballumgade 6, 3. tv, 1753 København V"
"Ballumgade 6, 4. th, 1753 København V"
"Ballumgade 6, 4. tv, 1753 København V"
"Ballumgade 5, 1753 København V"
