"Dannevirkegade 12, 3., 1763 København V"
"Dannevirkegade 26, 2., 1763 København V"
"Dannevirkegade 28, 3., 1763 København V"
"Dannevirkegade 18, 3. tv, 1763 København V"
"Dannevirkegade 18, 4. th, 1763 København V"
"Dannevirkegade 18, 4. tv, 1763 København V"
"Dannevirkegade 19, st. th, 1763 København V"
"Dannevirkegade 19, st. tv, 1763 København V"
"Dannevirkegade 19, 1. th, 1763 København V"
"Dannevirkegade 19, 1. tv, 1763 København V"
"Dannevirkegade 19, 2. th, 1763 København V"
"Dannevirkegade 19, 2. tv, 1763 København V"
"Dannevirkegade 19, 3. th, 1763 København V"
"Dannevirkegade 19, 3. tv, 1763 København V"
"Dannevirkegade 19, 4. th, 1763 København V"
"Dannevirkegade 19, 4. tv, 1763 København V"
"Dannevirkegade 21, st. th, 1763 København V"
"Dannevirkegade 21, st. tv, 1763 København V"
"Dannevirkegade 21, 1. th, 1763 København V"
"Dannevirkegade 21, 1. tv, 1763 København V"
"Dannevirkegade 21, 2. th, 1763 København V"
"Dannevirkegade 21, 2. tv, 1763 København V"
"Dannevirkegade 21, 3. th, 1763 København V"
"Dannevirkegade 21, 3. tv, 1763 København V"
"Dannevirkegade 21, 4. th, 1763 København V"
"Dannevirkegade 21, 4. tv, 1763 København V"
"Dannevirkegade 22, kl. th, 1763 København V"
"Dannevirkegade 22, st. th, 1763 København V"
"Dannevirkegade 22, 1. th, 1763 København V"
"Dannevirkegade 22, 2. th, 1763 København V"
"Dannevirkegade 22, 2. tv, 1763 København V"
"Dannevirkegade 22, 3. th, 1763 København V"
"Dannevirkegade 22, 3. tv, 1763 København V"
"Dannevirkegade 22, 4. th, 1763 København V"
"Dannevirkegade 22, 4. tv, 1763 København V"
"Dannevirkegade 23, st. th, 1763 København V"
"Dannevirkegade 23, st. tv, 1763 København V"
"Dannevirkegade 23, 1. th, 1763 København V"
"Dannevirkegade 23, 1. tv, 1763 København V"
"Dannevirkegade 23, 2. th, 1763 København V"
"Dannevirkegade 23, 2. tv, 1763 København V"
"Dannevirkegade 23, 3. th, 1763 København V"
"Dannevirkegade 23, 3. tv, 1763 København V"
"Dannevirkegade 23, 4. th, 1763 København V"
"Dannevirkegade 23, 4. tv, 1763 København V"
"Dannevirkegade 24, st. th, 1763 København V"
"Dannevirkegade 24, st. tv, 1763 København V"
"Dannevirkegade 24, 1. th, 1763 København V"
"Dannevirkegade 24, 2. th, 1763 København V"
"Dannevirkegade 24, 2. tv, 1763 København V"
"Dannevirkegade 24, 3. tv, 1763 København V"
"Dannevirkegade 24, 4. th, 1763 København V"
"Dannevirkegade 24, 4. tv, 1763 København V"
"Dannevirkegade 25, kl., 1763 København V"
"Dannevirkegade 25, st. th, 1763 København V"
"Dannevirkegade 25, st. tv, 1763 København V"
"Dannevirkegade 25, 1. th, 1763 København V"
"Dannevirkegade 25, 1. tv, 1763 København V"
"Dannevirkegade 25, 2. th, 1763 København V"
"Dannevirkegade 25, 2. tv, 1763 København V"
"Dannevirkegade 25, 3. th, 1763 København V"
"Dannevirkegade 25, 3. tv, 1763 København V"
"Dannevirkegade 25, 4. th, 1763 København V"
"Dannevirkegade 25, 4. tv, 1763 København V"
"Dannevirkegade 26, st. th, 1763 København V"
"Dannevirkegade 26, st. tv, 1763 København V"
"Dannevirkegade 26, 1., 1763 København V"
"Dannevirkegade 26, 3. tv, 1763 København V"
"Dannevirkegade 26, 4. th, 1763 København V"
"Dannevirkegade 26, 4. tv, 1763 København V"
"Dannevirkegade 27, st. th, 1763 København V"
"Dannevirkegade 27, st. tv, 1763 København V"
"Dannevirkegade 27, 1. th, 1763 København V"
"Dannevirkegade 27, 1. tv, 1763 København V"
"Dannevirkegade 27, 2. th, 1763 København V"
"Dannevirkegade 27, 2. tv, 1763 København V"
"Dannevirkegade 27, 3. th, 1763 København V"
"Dannevirkegade 27, 3. tv, 1763 København V"
"Dannevirkegade 27, 4. th, 1763 København V"
"Dannevirkegade 27, 4. tv, 1763 København V"
"Dannevirkegade 28, st. th, 1763 København V"
"Dannevirkegade 28, st. tv, 1763 København V"
"Dannevirkegade 28, 1. th, 1763 København V"
"Dannevirkegade 28, 1. tv, 1763 København V"
"Dannevirkegade 28, 2. th, 1763 København V"
"Dannevirkegade 28, 2. tv, 1763 København V"
"Dannevirkegade 28, 4. th, 1763 København V"
"Dannevirkegade 1, st. th, 1763 København V"
"Dannevirkegade 28, 4. tv, 1763 København V"
"Dannevirkegade 1, st. tv, 1763 København V"
"Dannevirkegade 1, 1. th, 1763 København V"
"Dannevirkegade 30, st. tv, 1763 København V"
"Dannevirkegade 1, 1. tv, 1763 København V"
"Dannevirkegade 30, 1. th, 1763 København V"
"Dannevirkegade 1, 2. th, 1763 København V"
"Dannevirkegade 30, 1. tv, 1763 København V"
"Dannevirkegade 1, 2. tv, 1763 København V"
"Dannevirkegade 30, 2. th, 1763 København V"
"Dannevirkegade 1, 3. th, 1763 København V"
"Dannevirkegade 30, 2. tv, 1763 København V"
"Dannevirkegade 1, 3. tv, 1763 København V"
"Dannevirkegade 30, 3. th, 1763 København V"
"Dannevirkegade 1, 4. th, 1763 København V"
"Dannevirkegade 30, 3. tv, 1763 København V"
"Dannevirkegade 1, 4. tv, 1763 København V"
"Dannevirkegade 30, 4. th, 1763 København V"
"Dannevirkegade 2, st. th, 1763 København V"
"Dannevirkegade 30, 4. tv, 1763 København V"
"Dannevirkegade 2, st. tv, 1763 København V"
"Dannevirkegade 32, st. th, 1763 København V"
"Dannevirkegade 2, 1. th, 1763 København V"
"Dannevirkegade 32, st. tv, 1763 København V"
"Dannevirkegade 22, 1. tv, 1763 København V"
"Dannevirkegade 2, 1. tv, 1763 København V"
"Dannevirkegade 32, 1. th, 1763 København V"
"Dannevirkegade 2, 2. th, 1763 København V"
"Dannevirkegade 32, 1. tv, 1763 København V"
"Dannevirkegade 2, 2. tv, 1763 København V"
"Dannevirkegade 32, 2. th, 1763 København V"
"Dannevirkegade 2, 3. th, 1763 København V"
"Dannevirkegade 32, 2. tv, 1763 København V"
"Dannevirkegade 2, 3. tv, 1763 København V"
"Dannevirkegade 2, 4. th, 1763 København V"
"Dannevirkegade 32, 3. tv, 1763 København V"
"Dannevirkegade 2, 4. tv, 1763 København V"
"Dannevirkegade 32, 4. th, 1763 København V"
"Dannevirkegade 2, 5. th, 1763 København V"
"Dannevirkegade 32, 4. tv, 1763 København V"
"Dannevirkegade 2, 5. tv, 1763 København V"
"Dannevirkegade 3, st. th, 1763 København V"
"Dannevirkegade 3, st. tv, 1763 København V"
"Dannevirkegade 3, 1. th, 1763 København V"
"Dannevirkegade 3, 1. tv, 1763 København V"
"Dannevirkegade 3, 2. th, 1763 København V"
"Dannevirkegade 3, 2. tv, 1763 København V"
"Dannevirkegade 3, 3. th, 1763 København V"
"Dannevirkegade 3, 3. tv, 1763 København V"
"Dannevirkegade 3, 4. th, 1763 København V"
"Dannevirkegade 3, 4. tv, 1763 København V"
"Dannevirkegade 4, st. th, 1763 København V"
"Dannevirkegade 4, st. tv, 1763 København V"
"Dannevirkegade 4, 1. th, 1763 København V"
"Dannevirkegade 4, 1. tv, 1763 København V"
"Dannevirkegade 4, 2. th, 1763 København V"
"Dannevirkegade 4, 2. tv, 1763 København V"
"Dannevirkegade 4, 3. th, 1763 København V"
"Dannevirkegade 4, 3. tv, 1763 København V"
"Dannevirkegade 4, 4. th, 1763 København V"
"Dannevirkegade 4, 4. tv, 1763 København V"
"Dannevirkegade 5, st. th, 1763 København V"
"Dannevirkegade 5, st. tv, 1763 København V"
"Dannevirkegade 5, 1. th, 1763 København V"
"Dannevirkegade 5, 1. tv, 1763 København V"
"Dannevirkegade 5, 2. th, 1763 København V"
"Dannevirkegade 5, 2. tv, 1763 København V"
"Dannevirkegade 5, 3. th, 1763 København V"
"Dannevirkegade 5, 3. tv, 1763 København V"
"Dannevirkegade 5, 4. th, 1763 København V"
"Dannevirkegade 5, 4. tv, 1763 København V"
"Dannevirkegade 6, st. th, 1763 København V"
"Dannevirkegade 6, st. tv, 1763 København V"
"Dannevirkegade 6, 1. th, 1763 København V"
"Dannevirkegade 6, 1. tv, 1763 København V"
"Dannevirkegade 6, 2. th, 1763 København V"
"Dannevirkegade 6, 2. tv, 1763 København V"
"Dannevirkegade 6, 3. th, 1763 København V"
"Dannevirkegade 6, 3. tv, 1763 København V"
"Dannevirkegade 6, 5., 1763 København V"
