"Alsgade 9, st., 1764 København V"
"Alsgade 15, 2. 206, 1764 København V"
"Alsgade 15, 2. 207, 1764 København V"
"Alsgade 15, 2. 208, 1764 København V"
"Alsgade 15, 2. 209, 1764 København V"
"Alsgade 15, 2. 210, 1764 København V"
"Alsgade 15, 2. 211, 1764 København V"
"Alsgade 15, 3. 301, 1764 København V"
"Alsgade 15, 3. 302, 1764 København V"
"Alsgade 15, 3. 304, 1764 København V"
"Alsgade 15, 3. 305, 1764 København V"
"Alsgade 15, 3. 306, 1764 København V"
"Alsgade 15, 3. 307, 1764 København V"
"Alsgade 15, 3. 308, 1764 København V"
"Alsgade 15, 3. 309, 1764 København V"
"Alsgade 15, 3. 310, 1764 København V"
"Alsgade 15, 3. 311, 1764 København V"
"Alsgade 15, 4. 401, 1764 København V"
"Alsgade 15, 4. 402, 1764 København V"
"Alsgade 15, 4. 403, 1764 København V"
"Alsgade 15, 4. 404, 1764 København V"
"Alsgade 15, 4. 405, 1764 København V"
"Alsgade 15, 4. 406, 1764 København V"
"Alsgade 15, 4. 407, 1764 København V"
"Alsgade 15, 4. 408, 1764 København V"
"Alsgade 15, 4. 409, 1764 København V"
"Alsgade 15, 4. 410, 1764 København V"
"Alsgade 15, 4. 411, 1764 København V"
"Alsgade 24, st. th, 1764 København V"
"Alsgade 24, 1. th, 1764 København V"
"Alsgade 24, 1. tv, 1764 København V"
"Alsgade 24, 2. th, 1764 København V"
"Alsgade 24, 2. tv, 1764 København V"
"Alsgade 24, 3. th, 1764 København V"
"Alsgade 24, 3. tv, 1764 København V"
"Alsgade 24, 4. th, 1764 København V"
"Alsgade 24, 4. tv, 1764 København V"
"Alsgade 1, st. th, 1764 København V"
"Alsgade 1, st. tv, 1764 København V"
"Alsgade 1, 1. th, 1764 København V"
"Alsgade 1, 1. tv, 1764 København V"
"Alsgade 1, 2. th, 1764 København V"
"Alsgade 1, 2. tv, 1764 København V"
"Alsgade 1, 3. th, 1764 København V"
"Alsgade 1, 3. tv, 1764 København V"
"Alsgade 1, 4. th, 1764 København V"
"Alsgade 1, 4. tv, 1764 København V"
"Alsgade 2, st. th, 1764 København V"
"Alsgade 2, st. tv, 1764 København V"
"Alsgade 2, 1. th, 1764 København V"
"Alsgade 2, 1. tv, 1764 København V"
"Alsgade 2, 2. th, 1764 København V"
"Alsgade 2, 2. tv, 1764 København V"
"Alsgade 2, 3. th, 1764 København V"
"Alsgade 2, 3. tv, 1764 København V"
"Alsgade 2, 4. th, 1764 København V"
"Alsgade 2, 4. tv, 1764 København V"
"Alsgade 4, st. th, 1764 København V"
"Alsgade 4, st. tv, 1764 København V"
"Alsgade 4, 1. th, 1764 København V"
"Alsgade 4, 1. tv, 1764 København V"
"Alsgade 4, 2. th, 1764 København V"
"Alsgade 4, 2. tv, 1764 København V"
"Alsgade 4, 3. th, 1764 København V"
"Alsgade 4, 3. tv, 1764 København V"
"Alsgade 4, 4. th, 1764 København V"
"Alsgade 4, 4. tv, 1764 København V"
"Alsgade 7, st. th, 1764 København V"
"Alsgade 7, st. tv, 1764 København V"
"Alsgade 7, 1. th, 1764 København V"
"Alsgade 7, 1. tv, 1764 København V"
"Alsgade 7, 2. th, 1764 København V"
"Alsgade 7, 2. tv, 1764 København V"
"Alsgade 7, 3. th, 1764 København V"
"Alsgade 7, 3. tv, 1764 København V"
"Alsgade 7, 4. th, 1764 København V"
"Alsgade 7, 4. tv, 1764 København V"
"Alsgade 8, 1. th, 1764 København V"
"Alsgade 8, 1. tv, 1764 København V"
"Alsgade 8, 2. th, 1764 København V"
"Alsgade 8, 2. tv, 1764 København V"
"Alsgade 8, 3. th, 1764 København V"
"Alsgade 8, 3. tv, 1764 København V"
"Alsgade 8, 4. th, 1764 København V"
"Alsgade 8, 4. tv, 1764 København V"
"Alsgade 8, 5. th, 1764 København V"
"Alsgade 8, 5. tv, 1764 København V"
"Alsgade 9, 1. th, 1764 København V"
"Alsgade 9, 1. tv, 1764 København V"
"Alsgade 9, 2. th, 1764 København V"
"Alsgade 9, 2. tv, 1764 København V"
"Alsgade 9, 3. th, 1764 København V"
"Alsgade 9, 3. tv, 1764 København V"
"Alsgade 9, 4. th, 1764 København V"
"Alsgade 9, 4. tv, 1764 København V"
"Alsgade 10, st. th, 1764 København V"
"Alsgade 10, st. tv, 1764 København V"
"Alsgade 10, 1. th, 1764 København V"
"Alsgade 10, 1. tv, 1764 København V"
"Alsgade 10, 2. th, 1764 København V"
"Alsgade 10, 2. tv, 1764 København V"
"Alsgade 10, 3. th, 1764 København V"
