"Halls Alle 2, 4., 1802 Frederiksberg C"
"Halls Alle 1A, kl., 1802 Frederiksberg C"
"Halls Alle 1A, st., 1802 Frederiksberg C"
"Halls Alle 1A, 1., 1802 Frederiksberg C"
"Halls Alle 1A, 2., 1802 Frederiksberg C"
"Halls Alle 1A, 3., 1802 Frederiksberg C"
"Halls Alle 1A, 4., 1802 Frederiksberg C"
"Halls Alle 1, kl., 1802 Frederiksberg C"
"Halls Alle 1, st., 1802 Frederiksberg C"
"Halls Alle 1, 1. th, 1802 Frederiksberg C"
"Halls Alle 1, 1. tv, 1802 Frederiksberg C"
"Halls Alle 1, 2. th, 1802 Frederiksberg C"
"Halls Alle 1, 2. tv, 1802 Frederiksberg C"
"Halls Alle 1, 3. th, 1802 Frederiksberg C"
"Halls Alle 1, 3. tv, 1802 Frederiksberg C"
"Halls Alle 1, 4. th, 1802 Frederiksberg C"
"Halls Alle 1, 4. tv, 1802 Frederiksberg C"
"Halls Alle 1, 5. th, 1802 Frederiksberg C"
"Halls Alle 1, 5. tv, 1802 Frederiksberg C"
"Halls Alle 2, st. th, 1802 Frederiksberg C"
"Halls Alle 2, st. tv, 1802 Frederiksberg C"
"Halls Alle 2, 1., 1802 Frederiksberg C"
"Halls Alle 2, 2., 1802 Frederiksberg C"
"Halls Alle 2, 3., 1802 Frederiksberg C"
"Halls Alle 3, kl., 1802 Frederiksberg C"
"Halls Alle 3, st. th, 1802 Frederiksberg C"
"Halls Alle 3, st. tv, 1802 Frederiksberg C"
"Halls Alle 3, 1. th, 1802 Frederiksberg C"
"Halls Alle 3, 1. tv, 1802 Frederiksberg C"
"Halls Alle 3, 2. th, 1802 Frederiksberg C"
"Halls Alle 3, 2. tv, 1802 Frederiksberg C"
"Halls Alle 3, 3. th, 1802 Frederiksberg C"
"Halls Alle 3, 3. tv, 1802 Frederiksberg C"
"Halls Alle 3, 4., 1802 Frederiksberg C"
"Halls Alle 4, st. th, 1802 Frederiksberg C"
"Halls Alle 4, st. tv, 1802 Frederiksberg C"
"Halls Alle 4, 1. th, 1802 Frederiksberg C"
"Halls Alle 4, 1. tv, 1802 Frederiksberg C"
"Halls Alle 4, 2. th, 1802 Frederiksberg C"
