"Platanvej 31, 1810 Frederiksberg C"
"Platanvej 31, st., 1810 Frederiksberg C"
"Platanvej 31, kl., 1810 Frederiksberg C"
"Platanvej 31, 1., 1810 Frederiksberg C"
"Platanvej 14, 4. tv, 1810 Frederiksberg C"
"Platanvej 26, 3. tv, 1810 Frederiksberg C"
"Platanvej 15, st. mf, 1810 Frederiksberg C"
"Platanvej 15, st. th, 1810 Frederiksberg C"
"Platanvej 26, 4. th, 1810 Frederiksberg C"
"Platanvej 15, st. tv, 1810 Frederiksberg C"
"Platanvej 26, 4. tv, 1810 Frederiksberg C"
"Platanvej 15, 1. mf, 1810 Frederiksberg C"
"Platanvej 27, st. mf, 1810 Frederiksberg C"
"Platanvej 15, 1. th, 1810 Frederiksberg C"
"Platanvej 27, st. th, 1810 Frederiksberg C"
"Platanvej 15, 1. tv, 1810 Frederiksberg C"
"Platanvej 27, st. tv, 1810 Frederiksberg C"
"Platanvej 15, 2. mf, 1810 Frederiksberg C"
"Platanvej 27, 1. mf, 1810 Frederiksberg C"
"Platanvej 15, 2. th, 1810 Frederiksberg C"
"Platanvej 27, 1. th, 1810 Frederiksberg C"
"Platanvej 15, 2. tv, 1810 Frederiksberg C"
"Platanvej 27, 1. tv, 1810 Frederiksberg C"
"Platanvej 15, 3. mf, 1810 Frederiksberg C"
"Platanvej 27, 2. mf, 1810 Frederiksberg C"
"Platanvej 15, 3. th, 1810 Frederiksberg C"
"Platanvej 27, 2. th, 1810 Frederiksberg C"
"Platanvej 15, 3. tv, 1810 Frederiksberg C"
"Platanvej 27, 2. tv, 1810 Frederiksberg C"
"Platanvej 16, st. th, 1810 Frederiksberg C"
"Platanvej 27, 3. mf, 1810 Frederiksberg C"
"Platanvej 16, st. tv, 1810 Frederiksberg C"
"Platanvej 27, 3. th, 1810 Frederiksberg C"
"Platanvej 16, 1. th, 1810 Frederiksberg C"
"Platanvej 27, 3. tv, 1810 Frederiksberg C"
"Platanvej 16, 1. tv, 1810 Frederiksberg C"
"Platanvej 28, st. th, 1810 Frederiksberg C"
"Platanvej 16, 2. th, 1810 Frederiksberg C"
"Platanvej 28, st. tv, 1810 Frederiksberg C"
"Platanvej 16, 2. tv, 1810 Frederiksberg C"
"Platanvej 28, 1. th, 1810 Frederiksberg C"
"Platanvej 16, 3. th, 1810 Frederiksberg C"
"Platanvej 28, 1. tv, 1810 Frederiksberg C"
"Platanvej 16, 3. tv, 1810 Frederiksberg C"
"Platanvej 28, 2. th, 1810 Frederiksberg C"
"Platanvej 16, 4. th, 1810 Frederiksberg C"
"Platanvej 28, 2. tv, 1810 Frederiksberg C"
"Platanvej 2, 1., 1810 Frederiksberg C"
"Platanvej 16, 4. tv, 1810 Frederiksberg C"
"Platanvej 28, 3. th, 1810 Frederiksberg C"
"Platanvej 2, 2., 1810 Frederiksberg C"
"Platanvej 17, st. mf, 1810 Frederiksberg C"
"Platanvej 28, 3. tv, 1810 Frederiksberg C"
"Platanvej 2, 3., 1810 Frederiksberg C"
"Platanvej 17, st. th, 1810 Frederiksberg C"
"Platanvej 28, 4. th, 1810 Frederiksberg C"
"Platanvej 2, 4., 1810 Frederiksberg C"
"Platanvej 17, st. tv, 1810 Frederiksberg C"
"Platanvej 28, 4. tv, 1810 Frederiksberg C"
"Platanvej 2, 5., 1810 Frederiksberg C"
"Platanvej 17, 1. mf, 1810 Frederiksberg C"
"Platanvej 29, st. mf, 1810 Frederiksberg C"
"Platanvej 4, 1. mf, 1810 Frederiksberg C"
"Platanvej 17, 1. th, 1810 Frederiksberg C"
"Platanvej 29, st. th, 1810 Frederiksberg C"
"Platanvej 4, 1. th, 1810 Frederiksberg C"
"Platanvej 17, 1. tv, 1810 Frederiksberg C"
"Platanvej 29, st. tv, 1810 Frederiksberg C"
"Platanvej 4, 1. tv, 1810 Frederiksberg C"
"Platanvej 17, 2. mf, 1810 Frederiksberg C"
"Platanvej 29, 1. mf, 1810 Frederiksberg C"
"Platanvej 4, 2. mf, 1810 Frederiksberg C"
"Platanvej 17, 2. th, 1810 Frederiksberg C"
"Platanvej 29, 1. th, 1810 Frederiksberg C"
"Platanvej 4, 2. th, 1810 Frederiksberg C"
"Platanvej 17, 2. tv, 1810 Frederiksberg C"
"Platanvej 29, 1. tv, 1810 Frederiksberg C"
"Platanvej 4, 2. tv, 1810 Frederiksberg C"
"Platanvej 17, 3. mf, 1810 Frederiksberg C"
"Platanvej 29, 2. mf, 1810 Frederiksberg C"
"Platanvej 4, 3. mf, 1810 Frederiksberg C"
"Platanvej 17, 3. th, 1810 Frederiksberg C"
"Platanvej 29, 2. th, 1810 Frederiksberg C"
"Platanvej 4, 3. th, 1810 Frederiksberg C"
"Platanvej 17, 3. tv, 1810 Frederiksberg C"
"Platanvej 29, 2. tv, 1810 Frederiksberg C"
"Platanvej 4, 3. tv, 1810 Frederiksberg C"
"Platanvej 18, st. 1, 1810 Frederiksberg C"
"Platanvej 29, 3. mf, 1810 Frederiksberg C"
"Platanvej 4, 4. mf, 1810 Frederiksberg C"
"Platanvej 18, st. 2, 1810 Frederiksberg C"
"Platanvej 29, 3. th, 1810 Frederiksberg C"
"Platanvej 4, 4. th, 1810 Frederiksberg C"
"Platanvej 18, st. 3, 1810 Frederiksberg C"
"Platanvej 29, 3. tv, 1810 Frederiksberg C"
"Platanvej 4, 4. tv, 1810 Frederiksberg C"
