"Værnedamsvej 7A, 1819 Frederiksberg C"
"Værnedamsvej 5, 1. tv, 1819 Frederiksberg C"
"Værnedamsvej 5, 2. th, 1819 Frederiksberg C"
"Værnedamsvej 5, 2. tv, 1819 Frederiksberg C"
"Værnedamsvej 5, 3. th, 1819 Frederiksberg C"
"Værnedamsvej 5, 3. tv, 1819 Frederiksberg C"
"Værnedamsvej 5, 4. th, 1819 Frederiksberg C"
"Værnedamsvej 5, 4. tv, 1819 Frederiksberg C"
"Værnedamsvej 5, 5., 1819 Frederiksberg C"
"Værnedamsvej 7, 1819 Frederiksberg C"
"Værnedamsvej 7, st., 1819 Frederiksberg C"
"Værnedamsvej 7, 1., 1819 Frederiksberg C"
"Værnedamsvej 7, 2., 1819 Frederiksberg C"
"Værnedamsvej 7, 3., 1819 Frederiksberg C"
"Værnedamsvej 7, 4., 1819 Frederiksberg C"
"Værnedamsvej 9, st. 1, 1819 Frederiksberg C"
"Værnedamsvej 9, st. 2, 1819 Frederiksberg C"
"Værnedamsvej 9, st. 3, 1819 Frederiksberg C"
"Værnedamsvej 9, st. 4, 1819 Frederiksberg C"
"Værnedamsvej 9, 1. th, 1819 Frederiksberg C"
"Værnedamsvej 9, 1. tv, 1819 Frederiksberg C"
"Værnedamsvej 9, 2. th, 1819 Frederiksberg C"
"Værnedamsvej 9, 2. tv, 1819 Frederiksberg C"
"Værnedamsvej 9, 3. th, 1819 Frederiksberg C"
"Værnedamsvej 9, 3. tv, 1819 Frederiksberg C"
"Værnedamsvej 9, 4. th, 1819 Frederiksberg C"
"Værnedamsvej 9, 4. tv, 1819 Frederiksberg C"
"Værnedamsvej 11, 1. th, 1819 Frederiksberg C"
"Værnedamsvej 11, 1. tv, 1819 Frederiksberg C"
"Værnedamsvej 11, 2. th, 1819 Frederiksberg C"
"Værnedamsvej 11, 2. tv, 1819 Frederiksberg C"
"Værnedamsvej 11, 3. th, 1819 Frederiksberg C"
"Værnedamsvej 11, 3. tv, 1819 Frederiksberg C"
"Værnedamsvej 11, 4. th, 1819 Frederiksberg C"
"Værnedamsvej 11, 4. tv, 1819 Frederiksberg C"
"Værnedamsvej 11, 5., 1819 Frederiksberg C"
"Værnedamsvej 15, kl. th, 1819 Frederiksberg C"
"Værnedamsvej 15, kl. tv, 1819 Frederiksberg C"
"Værnedamsvej 15, st., 1819 Frederiksberg C"
"Værnedamsvej 15, st. th, 1819 Frederiksberg C"
"Værnedamsvej 15, st. tv, 1819 Frederiksberg C"
"Værnedamsvej 15, 1., 1819 Frederiksberg C"
"Værnedamsvej 15, 1. th, 1819 Frederiksberg C"
"Værnedamsvej 15, 1. tv, 1819 Frederiksberg C"
"Værnedamsvej 15, 2. th, 1819 Frederiksberg C"
"Værnedamsvej 15, 2. tv, 1819 Frederiksberg C"
"Værnedamsvej 15, 3. th, 1819 Frederiksberg C"
"Værnedamsvej 15, 3. tv, 1819 Frederiksberg C"
"Værnedamsvej 15, 4. th, 1819 Frederiksberg C"
"Værnedamsvej 15, 4. tv, 1819 Frederiksberg C"
"Værnedamsvej 17, kl. mf, 1819 Frederiksberg C"
"Værnedamsvej 17, kl. th, 1819 Frederiksberg C"
"Værnedamsvej 17, kl. tv, 1819 Frederiksberg C"
"Værnedamsvej 17, st. mf, 1819 Frederiksberg C"
"Værnedamsvej 17, st. th, 1819 Frederiksberg C"
"Værnedamsvej 17, st. tv, 1819 Frederiksberg C"
"Værnedamsvej 17, 1. th, 1819 Frederiksberg C"
