"Martensens Alle 1, kl., 1828 Frederiksberg C"
"Martensens Alle 1, st. 1, 1828 Frederiksberg C"
"Martensens Alle 1, st. 2, 1828 Frederiksberg C"
"Martensens Alle 1, st. 3, 1828 Frederiksberg C"
"Martensens Alle 1, st. 4, 1828 Frederiksberg C"
"Martensens Alle 1, 1., 1828 Frederiksberg C"
"Martensens Alle 1, 2., 1828 Frederiksberg C"
"Martensens Alle 1, 3., 1828 Frederiksberg C"
"Martensens Alle 1, 4., 1828 Frederiksberg C"
"Martensens Alle 2A, st. tv, 1828 Frederiksberg C"
"Martensens Alle 2A, 1. th, 1828 Frederiksberg C"
"Martensens Alle 2A, 1. tv, 1828 Frederiksberg C"
"Martensens Alle 2A, 2. th, 1828 Frederiksberg C"
"Martensens Alle 2A, 2. tv, 1828 Frederiksberg C"
"Martensens Alle 2A, 3. th, 1828 Frederiksberg C"
"Martensens Alle 2A, 3. tv, 1828 Frederiksberg C"
"Martensens Alle 2A, 4. th, 1828 Frederiksberg C"
"Martensens Alle 2A, 4. tv, 1828 Frederiksberg C"
"Martensens Alle 2B, st., 1828 Frederiksberg C"
"Martensens Alle 3, st., 1828 Frederiksberg C"
"Martensens Alle 3, 1., 1828 Frederiksberg C"
"Martensens Alle 3, 2., 1828 Frederiksberg C"
"Martensens Alle 3, 3., 1828 Frederiksberg C"
"Martensens Alle 3, 4., 1828 Frederiksberg C"
"Martensens Alle 4A, kl. th, 1828 Frederiksberg C"
"Martensens Alle 4A, kl. tv, 1828 Frederiksberg C"
"Martensens Alle 4A, st. th, 1828 Frederiksberg C"
"Martensens Alle 4A, st. tv, 1828 Frederiksberg C"
"Martensens Alle 4A, 1. th, 1828 Frederiksberg C"
"Martensens Alle 4A, 1. tv, 1828 Frederiksberg C"
"Martensens Alle 4A, 2. th, 1828 Frederiksberg C"
"Martensens Alle 4A, 2. tv, 1828 Frederiksberg C"
"Martensens Alle 4A, 3. th, 1828 Frederiksberg C"
"Martensens Alle 4A, 3. tv, 1828 Frederiksberg C"
"Martensens Alle 4A, 4. th, 1828 Frederiksberg C"
"Martensens Alle 4A, 4. tv, 1828 Frederiksberg C"
"Martensens Alle 4, st., 1828 Frederiksberg C"
"Martensens Alle 4, st. 1, 1828 Frederiksberg C"
"Martensens Alle 4, st. 2, 1828 Frederiksberg C"
"Martensens Alle 4, st. 3, 1828 Frederiksberg C"
"Martensens Alle 4, 1., 1828 Frederiksberg C"
"Martensens Alle 4, 2., 1828 Frederiksberg C"
"Martensens Alle 4, 3., 1828 Frederiksberg C"
"Martensens Alle 4, 4., 1828 Frederiksberg C"
"Martensens Alle 5, st. th, 1828 Frederiksberg C"
"Martensens Alle 5, st. tv, 1828 Frederiksberg C"
"Martensens Alle 5, 1. th, 1828 Frederiksberg C"
"Martensens Alle 5, 1. tv, 1828 Frederiksberg C"
"Martensens Alle 5, 2. th, 1828 Frederiksberg C"
"Martensens Alle 5, 2. tv, 1828 Frederiksberg C"
"Martensens Alle 5, 3. th, 1828 Frederiksberg C"
"Martensens Alle 5, 3. tv, 1828 Frederiksberg C"
