"Nyvej 21, 3., 1851 Frederiksberg C"
"Nyvej 21, 4., 1851 Frederiksberg C"
"Nyvej 1A, st. th, 1851 Frederiksberg C"
"Nyvej 1A, st. tv, 1851 Frederiksberg C"
"Nyvej 1A, 1. th, 1851 Frederiksberg C"
"Nyvej 1A, 1. tv, 1851 Frederiksberg C"
"Nyvej 1A, 2. th, 1851 Frederiksberg C"
"Nyvej 1A, 2. tv, 1851 Frederiksberg C"
"Nyvej 1A, 3. th, 1851 Frederiksberg C"
"Nyvej 1A, 3. tv, 1851 Frederiksberg C"
"Nyvej 1A, 4. th, 1851 Frederiksberg C"
"Nyvej 1A, 4. tv, 1851 Frederiksberg C"
"Nyvej 1A, 5. mf, 1851 Frederiksberg C"
"Nyvej 1A, 5. th, 1851 Frederiksberg C"
"Nyvej 1A, 5. tv, 1851 Frederiksberg C"
"Nyvej 1B, st. th, 1851 Frederiksberg C"
"Nyvej 1B, st. tv, 1851 Frederiksberg C"
"Nyvej 1B, 1. th, 1851 Frederiksberg C"
"Nyvej 1B, 1. tv, 1851 Frederiksberg C"
"Nyvej 1B, 2. th, 1851 Frederiksberg C"
"Nyvej 1B, 2. tv, 1851 Frederiksberg C"
"Nyvej 1B, 3. th, 1851 Frederiksberg C"
"Nyvej 1B, 3. tv, 1851 Frederiksberg C"
"Nyvej 1B, 4. th, 1851 Frederiksberg C"
"Nyvej 1B, 4. tv, 1851 Frederiksberg C"
"Nyvej 2A, st. th, 1851 Frederiksberg C"
"Nyvej 2A, st. tv, 1851 Frederiksberg C"
"Nyvej 2A, 1. th, 1851 Frederiksberg C"
"Nyvej 2A, 1. tv, 1851 Frederiksberg C"
"Nyvej 2A, 2. th, 1851 Frederiksberg C"
"Nyvej 2A, 2. tv, 1851 Frederiksberg C"
"Nyvej 2A, 3. th, 1851 Frederiksberg C"
"Nyvej 2A, 3. tv, 1851 Frederiksberg C"
"Nyvej 2A, 4. th, 1851 Frederiksberg C"
"Nyvej 2A, 4. tv, 1851 Frederiksberg C"
"Nyvej 2, st., 1851 Frederiksberg C"
"Nyvej 2, 1., 1851 Frederiksberg C"
"Nyvej 2, 2., 1851 Frederiksberg C"
"Nyvej 2, 3., 1851 Frederiksberg C"
"Nyvej 2, 4., 1851 Frederiksberg C"
