"Henrik Steffens Vej 5, 3. th, 1866 Frederiksberg C"
"Henrik Steffens Vej 5, 3. tv, 1866 Frederiksberg C"
"Henrik Steffens Vej 5, 4. th, 1866 Frederiksberg C"
"Henrik Steffens Vej 5, 4. tv, 1866 Frederiksberg C"
"Henrik Steffens Vej 6, kl. 1, 1866 Frederiksberg C"
"Henrik Steffens Vej 6, st. th, 1866 Frederiksberg C"
"Henrik Steffens Vej 6, st. tv, 1866 Frederiksberg C"
"Henrik Steffens Vej 6, 1. th, 1866 Frederiksberg C"
"Henrik Steffens Vej 6, 1. tv, 1866 Frederiksberg C"
"Henrik Steffens Vej 6, 2. th, 1866 Frederiksberg C"
"Henrik Steffens Vej 6, 2. tv, 1866 Frederiksberg C"
"Henrik Steffens Vej 6, 3. th, 1866 Frederiksberg C"
"Henrik Steffens Vej 6, 3. tv, 1866 Frederiksberg C"
"Henrik Steffens Vej 6, 4. th, 1866 Frederiksberg C"
"Henrik Steffens Vej 6, 4. tv, 1866 Frederiksberg C"
"Henrik Steffens Vej 6, 5., 1866 Frederiksberg C"
"Henrik Steffens Vej 7, st. th, 1866 Frederiksberg C"
"Henrik Steffens Vej 7, st. tv, 1866 Frederiksberg C"
"Henrik Steffens Vej 7, 1. th, 1866 Frederiksberg C"
"Henrik Steffens Vej 7, 1. tv, 1866 Frederiksberg C"
"Henrik Steffens Vej 7, 2. th, 1866 Frederiksberg C"
"Henrik Steffens Vej 7, 2. tv, 1866 Frederiksberg C"
"Henrik Steffens Vej 7, 3. th, 1866 Frederiksberg C"
"Henrik Steffens Vej 7, 3. tv, 1866 Frederiksberg C"
"Henrik Steffens Vej 7, 4. th, 1866 Frederiksberg C"
"Henrik Steffens Vej 7, 4. tv, 1866 Frederiksberg C"
"Henrik Steffens Vej 8, st., 1866 Frederiksberg C"
"Henrik Steffens Vej 8, 1. tv, 1866 Frederiksberg C"
"Henrik Steffens Vej 9, kl., 1866 Frederiksberg C"
"Henrik Steffens Vej 9, st. th, 1866 Frederiksberg C"
"Henrik Steffens Vej 9, st. tv, 1866 Frederiksberg C"
"Henrik Steffens Vej 9, 1. th, 1866 Frederiksberg C"
