"Sankt Knuds Vej 27A, 1903 Frederiksberg C"
"Sankt Knuds Vej 37, kl., 1903 Frederiksberg C"
"Sankt Knuds Vej 37, st., 1903 Frederiksberg C"
"Sankt Knuds Vej 37, st. th, 1903 Frederiksberg C"
"Sankt Knuds Vej 37, st. tv, 1903 Frederiksberg C"
"Sankt Knuds Vej 37, 1. th, 1903 Frederiksberg C"
"Sankt Knuds Vej 37, 1. tv, 1903 Frederiksberg C"
"Sankt Knuds Vej 37, 2. th, 1903 Frederiksberg C"
"Sankt Knuds Vej 37, 2. tv, 1903 Frederiksberg C"
"Sankt Knuds Vej 38, st., 1903 Frederiksberg C"
"Sankt Knuds Vej 38, 1., 1903 Frederiksberg C"
"Sankt Knuds Vej 39, st. mf, 1903 Frederiksberg C"
"Sankt Knuds Vej 39, st. th, 1903 Frederiksberg C"
"Sankt Knuds Vej 39, st. tv, 1903 Frederiksberg C"
"Sankt Knuds Vej 39, 1. mf, 1903 Frederiksberg C"
"Sankt Knuds Vej 39, 1. th, 1903 Frederiksberg C"
"Sankt Knuds Vej 39, 1. tv, 1903 Frederiksberg C"
"Sankt Knuds Vej 39, 2. mf, 1903 Frederiksberg C"
"Sankt Knuds Vej 39, 2. th, 1903 Frederiksberg C"
"Sankt Knuds Vej 39, 2. tv, 1903 Frederiksberg C"
"Sankt Knuds Vej 42, st., 1903 Frederiksberg C"
"Sankt Knuds Vej 42, st. th, 1903 Frederiksberg C"
"Sankt Knuds Vej 42, st. tv, 1903 Frederiksberg C"
"Sankt Knuds Vej 42, 1. th, 1903 Frederiksberg C"
"Sankt Knuds Vej 42, 1. tv, 1903 Frederiksberg C"
"Sankt Knuds Vej 42, 2. th, 1903 Frederiksberg C"
"Sankt Knuds Vej 42, 2. tv, 1903 Frederiksberg C"
"Sankt Knuds Vej 42, 3. th, 1903 Frederiksberg C"
"Sankt Knuds Vej 42, 3. tv, 1903 Frederiksberg C"
"Sankt Knuds Vej 44, st., 1903 Frederiksberg C"
"Sankt Knuds Vej 44, 1., 1903 Frederiksberg C"
"Sankt Knuds Vej 44, 2., 1903 Frederiksberg C"
"Sankt Knuds Vej 46, 1903 Frederiksberg C"
"Sankt Knuds Vej 48A, 1903 Frederiksberg C"
"Sankt Knuds Vej 48B, 1903 Frederiksberg C"
