"Danasvej 36A, 1., 1910 Frederiksberg C"
"Danasvej 36A, 2., 1910 Frederiksberg C"
"Danasvej 36A, st., 1910 Frederiksberg C"
"Danasvej 36B, 1910 Frederiksberg C"
"Danasvej 36C, 1910 Frederiksberg C"
"Danasvej 38, 2. tv, 1910 Frederiksberg C"
"Danasvej 38, 3. th, 1910 Frederiksberg C"
"Danasvej 38, 3. tv, 1910 Frederiksberg C"
"Danasvej 39, kl. 1, 1910 Frederiksberg C"
"Danasvej 39, st. th, 1910 Frederiksberg C"
"Danasvej 39, st. tv, 1910 Frederiksberg C"
"Danasvej 39, 1. th, 1910 Frederiksberg C"
"Danasvej 39, 1. tv, 1910 Frederiksberg C"
"Danasvej 39, 2. th, 1910 Frederiksberg C"
"Danasvej 39, 2. tv, 1910 Frederiksberg C"
"Danasvej 40, st., 1910 Frederiksberg C"
"Danasvej 40, 1., 1910 Frederiksberg C"
"Danasvej 40, 2., 1910 Frederiksberg C"
"Danasvej 42, st. th, 1910 Frederiksberg C"
"Danasvej 42, st. tv, 1910 Frederiksberg C"
"Danasvej 42, 1. th, 1910 Frederiksberg C"
"Danasvej 42, 1. tv, 1910 Frederiksberg C"
"Danasvej 42, 2. th, 1910 Frederiksberg C"
"Danasvej 42, 2. tv, 1910 Frederiksberg C"
"Danasvej 42, 3. th, 1910 Frederiksberg C"
"Danasvej 42, 3. tv, 1910 Frederiksberg C"
"Danasvej 42, 4. th, 1910 Frederiksberg C"
"Danasvej 42, 4. tv, 1910 Frederiksberg C"
"Danasvej 42, 5. th, 1910 Frederiksberg C"
"Danasvej 42, 5. tv, 1910 Frederiksberg C"
"Danasvej 2, kl., 1910 Frederiksberg C"
"Danasvej 2, st., 1910 Frederiksberg C"
"Danasvej 2, st. 1, 1910 Frederiksberg C"
"Danasvej 2, st. 2, 1910 Frederiksberg C"
"Danasvej 2, 1., 1910 Frederiksberg C"
"Danasvej 2, 2., 1910 Frederiksberg C"
"Danasvej 4, kl., 1910 Frederiksberg C"
"Danasvej 4, st. th, 1910 Frederiksberg C"
"Danasvej 4, st. tv, 1910 Frederiksberg C"
"Danasvej 4, 1. th, 1910 Frederiksberg C"
"Danasvej 4, 1. tv, 1910 Frederiksberg C"
"Danasvej 4, 2. th, 1910 Frederiksberg C"
"Danasvej 4, 2. tv, 1910 Frederiksberg C"
"Danasvej 4, 3., 1910 Frederiksberg C"
"Danasvej 6A, st., 1910 Frederiksberg C"
"Danasvej 6A, 1., 1910 Frederiksberg C"
"Danasvej 6A, 2. th, 1910 Frederiksberg C"
"Danasvej 6A, 2. tv, 1910 Frederiksberg C"
"Danasvej 6B, 1910 Frederiksberg C"
"Danasvej 29, kl. th, 1910 Frederiksberg C"
"Danasvej 29, kl. tv, 1910 Frederiksberg C"
"Danasvej 29, st. th, 1910 Frederiksberg C"
"Danasvej 29, st. tv, 1910 Frederiksberg C"
"Danasvej 29, 1. th, 1910 Frederiksberg C"
"Danasvej 29, 1. tv, 1910 Frederiksberg C"
"Danasvej 29, 2. th, 1910 Frederiksberg C"
"Danasvej 29, 2. tv, 1910 Frederiksberg C"
"Danasvej 29, 3. th, 1910 Frederiksberg C"
"Danasvej 29, 3. tv, 1910 Frederiksberg C"
"Danasvej 30A, 1910 Frederiksberg C"
"Danasvej 30B, st., 1910 Frederiksberg C"
"Danasvej 30B, 1., 1910 Frederiksberg C"
"Danasvej 30B, 2., 1910 Frederiksberg C"
"Danasvej 30B, 3., 1910 Frederiksberg C"
"Danasvej 31A, st. th, 1910 Frederiksberg C"
"Danasvej 31A, st. tv, 1910 Frederiksberg C"
"Danasvej 31A, 2. th, 1910 Frederiksberg C"
"Danasvej 31A, 2. tv, 1910 Frederiksberg C"
"Danasvej 31B, st. th, 1910 Frederiksberg C"
"Danasvej 31B, st. tv, 1910 Frederiksberg C"
"Danasvej 31B, 1. th, 1910 Frederiksberg C"
"Danasvej 31B, 1. tv, 1910 Frederiksberg C"
"Danasvej 31B, 2. th, 1910 Frederiksberg C"
"Danasvej 31B, 2. tv, 1910 Frederiksberg C"
"Danasvej 33, st. mf, 1910 Frederiksberg C"
"Danasvej 33, st. th, 1910 Frederiksberg C"
"Danasvej 33, st. tv, 1910 Frederiksberg C"
"Danasvej 33, 1. mf, 1910 Frederiksberg C"
"Danasvej 33, 1. th, 1910 Frederiksberg C"
"Danasvej 33, 1. tv, 1910 Frederiksberg C"
"Danasvej 33, 2. mf, 1910 Frederiksberg C"
"Danasvej 33, 2. th, 1910 Frederiksberg C"
"Danasvej 33, 2. tv, 1910 Frederiksberg C"
"Danasvej 33, 3., 1910 Frederiksberg C"
"Danasvej 35, st. mf, 1910 Frederiksberg C"
"Danasvej 35, st. th, 1910 Frederiksberg C"
"Danasvej 35, st. tv, 1910 Frederiksberg C"
"Danasvej 35, 1. mf, 1910 Frederiksberg C"
"Danasvej 35, 1. th, 1910 Frederiksberg C"
"Danasvej 35, 1. tv, 1910 Frederiksberg C"
"Danasvej 35, 2. mf, 1910 Frederiksberg C"
"Danasvej 35, 2. th, 1910 Frederiksberg C"
"Danasvej 35, 2. tv, 1910 Frederiksberg C"
"Danasvej 35, 3., 1910 Frederiksberg C"
"Danasvej 37, kl. th, 1910 Frederiksberg C"
"Danasvej 37, kl. tv, 1910 Frederiksberg C"
"Danasvej 37, st. 1, 1910 Frederiksberg C"
"Danasvej 38A, st., 1910 Frederiksberg C"
"Danasvej 38A, 1., 1910 Frederiksberg C"
"Danasvej 38A, 2., 1910 Frederiksberg C"
"Danasvej 38, st. th, 1910 Frederiksberg C"
"Danasvej 38, st. tv, 1910 Frederiksberg C"
"Danasvej 38, 1. th, 1910 Frederiksberg C"
"Danasvej 38, 1. tv, 1910 Frederiksberg C"
"Danasvej 38, 2. th, 1910 Frederiksberg C"
"Danasvej 31A, 3., 1910 Frederiksberg C"
"Danasvej 31A, 1., 1910 Frederiksberg C"
"Danasvej 31B, 3. tv, 1910 Frederiksberg C"
"Danasvej 31B, 3. th, 1910 Frederiksberg C"
"Danasvej 5, 2. 1, 1910 Frederiksberg C"
