"Danas Plads 25, kl. tv, 1915 Frederiksberg C"
"Danas Plads 10, 4. th, 1915 Frederiksberg C"
"Danas Plads 10, 4. tv, 1915 Frederiksberg C"
"Danas Plads 10, 5. th, 1915 Frederiksberg C"
"Danas Plads 10, 5. tv, 1915 Frederiksberg C"
"Danas Plads 12, kl., 1915 Frederiksberg C"
"Danas Plads 12, st. th, 1915 Frederiksberg C"
"Danas Plads 12, st. tv, 1915 Frederiksberg C"
"Danas Plads 12, 1. th, 1915 Frederiksberg C"
"Danas Plads 12, 1. tv, 1915 Frederiksberg C"
"Danas Plads 12, 2. th, 1915 Frederiksberg C"
"Danas Plads 12, 2. tv, 1915 Frederiksberg C"
"Danas Plads 12, 3. th, 1915 Frederiksberg C"
"Danas Plads 12, 3. tv, 1915 Frederiksberg C"
"Danas Plads 12, 4. th, 1915 Frederiksberg C"
"Danas Plads 12, 4. tv, 1915 Frederiksberg C"
"Danas Plads 12, 5., 1915 Frederiksberg C"
"Danas Plads 14, kl., 1915 Frederiksberg C"
"Danas Plads 14, st. th, 1915 Frederiksberg C"
"Danas Plads 14, st. tv, 1915 Frederiksberg C"
"Danas Plads 14, 1. th, 1915 Frederiksberg C"
"Danas Plads 14, 1. tv, 1915 Frederiksberg C"
"Danas Plads 14, 2. th, 1915 Frederiksberg C"
"Danas Plads 14, 2. tv, 1915 Frederiksberg C"
"Danas Plads 14, 3. th, 1915 Frederiksberg C"
"Danas Plads 14, 3. tv, 1915 Frederiksberg C"
"Danas Plads 14, 4. th, 1915 Frederiksberg C"
"Danas Plads 14, 4. tv, 1915 Frederiksberg C"
"Danas Plads 14, 5. th, 1915 Frederiksberg C"
"Danas Plads 14, 5. tv, 1915 Frederiksberg C"
"Danas Plads 16, st. th, 1915 Frederiksberg C"
"Danas Plads 16, st. tv, 1915 Frederiksberg C"
"Danas Plads 16, 1. th, 1915 Frederiksberg C"
"Danas Plads 16, 1. tv, 1915 Frederiksberg C"
"Danas Plads 16, 2. th, 1915 Frederiksberg C"
"Danas Plads 16, 2. tv, 1915 Frederiksberg C"
"Danas Plads 16, 3. th, 1915 Frederiksberg C"
"Danas Plads 16, 3. tv, 1915 Frederiksberg C"
"Danas Plads 16, 4. th, 1915 Frederiksberg C"
"Danas Plads 16, 4. tv, 1915 Frederiksberg C"
"Danas Plads 16, 5., 1915 Frederiksberg C"
"Danas Plads 18, kl., 1915 Frederiksberg C"
"Danas Plads 18, st. th, 1915 Frederiksberg C"
"Danas Plads 18, st. tv, 1915 Frederiksberg C"
"Danas Plads 18, 1. tv, 1915 Frederiksberg C"
"Danas Plads 18, 2. th, 1915 Frederiksberg C"
"Danas Plads 18, 2. tv, 1915 Frederiksberg C"
"Danas Plads 18, 3. th, 1915 Frederiksberg C"
"Danas Plads 18, 3. tv, 1915 Frederiksberg C"
"Danas Plads 18, 4. th, 1915 Frederiksberg C"
"Danas Plads 18, 4. tv, 1915 Frederiksberg C"
"Danas Plads 18, 5. th, 1915 Frederiksberg C"
"Danas Plads 18, 5. tv, 1915 Frederiksberg C"
"Danas Plads 19, st. th, 1915 Frederiksberg C"
"Danas Plads 19, st. tv, 1915 Frederiksberg C"
"Danas Plads 19, 1. th, 1915 Frederiksberg C"
"Danas Plads 19, 1. tv, 1915 Frederiksberg C"
"Danas Plads 19, 2. th, 1915 Frederiksberg C"
"Danas Plads 19, 2. tv, 1915 Frederiksberg C"
"Danas Plads 19, 3. th, 1915 Frederiksberg C"
"Danas Plads 19, 3. tv, 1915 Frederiksberg C"
"Danas Plads 19, 4. th, 1915 Frederiksberg C"
"Danas Plads 19, 4. tv, 1915 Frederiksberg C"
"Danas Plads 20, st. th, 1915 Frederiksberg C"
"Danas Plads 20, st. tv, 1915 Frederiksberg C"
"Danas Plads 20, 1. th, 1915 Frederiksberg C"
"Danas Plads 20, 2. th, 1915 Frederiksberg C"
"Danas Plads 20, 2. tv, 1915 Frederiksberg C"
"Danas Plads 20, 3. th, 1915 Frederiksberg C"
"Danas Plads 20, 3. tv, 1915 Frederiksberg C"
"Danas Plads 20, 4. th, 1915 Frederiksberg C"
"Danas Plads 20, 4. tv, 1915 Frederiksberg C"
"Danas Plads 20, 5. th, 1915 Frederiksberg C"
"Danas Plads 20, 5. tv, 1915 Frederiksberg C"
"Danas Plads 21, 1., 1915 Frederiksberg C"
"Danas Plads 21, 2., 1915 Frederiksberg C"
"Danas Plads 21, 3., 1915 Frederiksberg C"
"Danas Plads 21, 4., 1915 Frederiksberg C"
"Danas Plads 21, 5., 1915 Frederiksberg C"
"Danas Plads 22, st. tv, 1915 Frederiksberg C"
"Danas Plads 22, 1. th, 1915 Frederiksberg C"
"Danas Plads 22, 1. tv, 1915 Frederiksberg C"
"Danas Plads 22, 2. th, 1915 Frederiksberg C"
"Danas Plads 22, 2. tv, 1915 Frederiksberg C"
"Danas Plads 22, 3. th, 1915 Frederiksberg C"
"Danas Plads 22, 3. tv, 1915 Frederiksberg C"
"Danas Plads 22, 4. th, 1915 Frederiksberg C"
"Danas Plads 22, 4. tv, 1915 Frederiksberg C"
"Danas Plads 22, 5., 1915 Frederiksberg C"
"Danas Plads 23, kl., 1915 Frederiksberg C"
"Danas Plads 23, st. th, 1915 Frederiksberg C"
"Danas Plads 23, st. tv, 1915 Frederiksberg C"
"Danas Plads 23, 1. th, 1915 Frederiksberg C"
"Danas Plads 23, 1. tv, 1915 Frederiksberg C"
"Danas Plads 23, 2. th, 1915 Frederiksberg C"
"Danas Plads 23, 2. tv, 1915 Frederiksberg C"
"Danas Plads 23, 3. th, 1915 Frederiksberg C"
"Danas Plads 23, 3. tv, 1915 Frederiksberg C"
"Danas Plads 23, 4. th, 1915 Frederiksberg C"
"Danas Plads 23, 4. tv, 1915 Frederiksberg C"
"Danas Plads 24, st. th, 1915 Frederiksberg C"
"Danas Plads 24, st. tv, 1915 Frederiksberg C"
"Danas Plads 24, 1. th, 1915 Frederiksberg C"
"Danas Plads 24, 1. tv, 1915 Frederiksberg C"
"Danas Plads 24, 2. th, 1915 Frederiksberg C"
"Danas Plads 24, 2. tv, 1915 Frederiksberg C"
"Danas Plads 24, 3. th, 1915 Frederiksberg C"
"Danas Plads 24, 3. tv, 1915 Frederiksberg C"
"Danas Plads 24, 4. th, 1915 Frederiksberg C"
"Danas Plads 24, 4. tv, 1915 Frederiksberg C"
"Danas Plads 24, 5. th, 1915 Frederiksberg C"
"Danas Plads 24, 5. tv, 1915 Frederiksberg C"
"Danas Plads 25, st. mf, 1915 Frederiksberg C"
"Danas Plads 25, st. th, 1915 Frederiksberg C"
"Danas Plads 25, st. tv, 1915 Frederiksberg C"
"Danas Plads 25, 1. th, 1915 Frederiksberg C"
"Danas Plads 25, 1. tv, 1915 Frederiksberg C"
"Danas Plads 25, 2. th, 1915 Frederiksberg C"
"Danas Plads 25, 2. tv, 1915 Frederiksberg C"
"Danas Plads 25, 3. th, 1915 Frederiksberg C"
"Danas Plads 25, 3. tv, 1915 Frederiksberg C"
"Danas Plads 25, 4. th, 1915 Frederiksberg C"
"Danas Plads 25, 4. tv, 1915 Frederiksberg C"
"Danas Plads 10A, 1915 Frederiksberg C"
"Danas Plads 10, st. th, 1915 Frederiksberg C"
"Danas Plads 10, st. tv, 1915 Frederiksberg C"
"Danas Plads 10, st. 1, 1915 Frederiksberg C"
"Danas Plads 10, 1. th, 1915 Frederiksberg C"
"Danas Plads 10, 1. tv, 1915 Frederiksberg C"
"Danas Plads 10, 2. th, 1915 Frederiksberg C"
"Danas Plads 10, 2. tv, 1915 Frederiksberg C"
"Danas Plads 10, 3. th, 1915 Frederiksberg C"
"Danas Plads 10, 3. tv, 1915 Frederiksberg C"
"Danas Plads 22, 1915 Frederiksberg C"
"Danas Plads 20, 1915 Frederiksberg C"
"Danas Plads 12, 1915 Frederiksberg C"
"Danas Plads 21, 1915 Frederiksberg C"
"Danas Plads 10, 1915 Frederiksberg C"
"Danas Plads 22, st. th, 1915 Frederiksberg C"
"Danas Plads 22, st. th, 1915 Frederiksberg C"
"Danas Plads 22, st. mf, 1915 Frederiksberg C"
"Danas Plads 18, 1. th, 1915 Frederiksberg C"
"Danas Plads 20, 1. tv, 1915 Frederiksberg C"
"Danas Plads 21, st., 1915 Frederiksberg C"
"Danas Plads 25, kl. th, 1915 Frederiksberg C"
"Danas Plads 17A, 1915 Frederiksberg C"
"Danas Plads 17A, kl., 1915 Frederiksberg C"
"Danas Plads 17A, kl. 1, 1915 Frederiksberg C"
"Danas Plads 17A, kl. 2, 1915 Frederiksberg C"
"Danas Plads 17, 1915 Frederiksberg C"
"Danas Plads 17, st. tv, 1915 Frederiksberg C"
"Danas Plads 17, st. th, 1915 Frederiksberg C"
"Danas Plads 17, 1. tv, 1915 Frederiksberg C"
"Danas Plads 17, 1. th, 1915 Frederiksberg C"
"Danas Plads 17, 2. tv, 1915 Frederiksberg C"
"Danas Plads 17, 2. th, 1915 Frederiksberg C"
"Danas Plads 17, 3. tv, 1915 Frederiksberg C"
"Danas Plads 17, 3. th, 1915 Frederiksberg C"
"Danas Plads 17, 4. tv, 1915 Frederiksberg C"
"Danas Plads 17, 4. th, 1915 Frederiksberg C"
"Danas Plads 17, 5. tv, 1915 Frederiksberg C"
"Danas Plads 17, 5. th, 1915 Frederiksberg C"
"Danas Plads 15, kl. tv, 1915 Frederiksberg C"
"Danas Plads 15, kl. th, 1915 Frederiksberg C"
"Danas Plads 15, st. tv, 1915 Frederiksberg C"
"Danas Plads 15, st. th, 1915 Frederiksberg C"
"Danas Plads 15, 1. tv, 1915 Frederiksberg C"
"Danas Plads 15, 1. th, 1915 Frederiksberg C"
"Danas Plads 15, 2. tv, 1915 Frederiksberg C"
"Danas Plads 15, 2. th, 1915 Frederiksberg C"
"Danas Plads 15, 3. tv, 1915 Frederiksberg C"
"Danas Plads 15, 3. th, 1915 Frederiksberg C"
"Danas Plads 15, 4. tv, 1915 Frederiksberg C"
"Danas Plads 15, 4. th, 1915 Frederiksberg C"
"Danas Plads 15, 5. tv, 1915 Frederiksberg C"
"Danas Plads 15, 5. th, 1915 Frederiksberg C"
"Danas Plads 11, st. tv, 1915 Frederiksberg C"
"Danas Plads 11, st. th, 1915 Frederiksberg C"
"Danas Plads 11, 1. tv, 1915 Frederiksberg C"
"Danas Plads 11, 1. th, 1915 Frederiksberg C"
"Danas Plads 11, 2. tv, 1915 Frederiksberg C"
"Danas Plads 11, 2. th, 1915 Frederiksberg C"
"Danas Plads 11, 3. tv, 1915 Frederiksberg C"
"Danas Plads 11, 3. th, 1915 Frederiksberg C"
"Danas Plads 11, 4. tv, 1915 Frederiksberg C"
"Danas Plads 11, 4. th, 1915 Frederiksberg C"
"Danas Plads 11, 5. tv, 1915 Frederiksberg C"
"Danas Plads 11, 5. th, 1915 Frederiksberg C"
"Danas Plads 9, 1915 Frederiksberg C"
"Danas Plads 11A, 1915 Frederiksberg C"
"Danas Plads 13, 1915 Frederiksberg C"
"Danas Plads 11, st. 1, 1915 Frederiksberg C"
"Danas Plads 11, st. 2, 1915 Frederiksberg C"
"Danas Plads 23, st. mf, 1915 Frederiksberg C"
