"Norsvej 6A, st., 1916 Frederiksberg C"
"Norsvej 6A, 1., 1916 Frederiksberg C"
"Norsvej 6A, 2., 1916 Frederiksberg C"
"Norsvej 6A, 3., 1916 Frederiksberg C"
"Norsvej 6B, st. th, 1916 Frederiksberg C"
"Norsvej 6B, st. tv, 1916 Frederiksberg C"
"Norsvej 6B, 1. th, 1916 Frederiksberg C"
"Norsvej 6B, 1. tv, 1916 Frederiksberg C"
"Norsvej 6B, 2. th, 1916 Frederiksberg C"
"Norsvej 6B, 2. tv, 1916 Frederiksberg C"
"Norsvej 6B, 3. th, 1916 Frederiksberg C"
"Norsvej 6B, 3. tv, 1916 Frederiksberg C"
"Norsvej 6, st. th, 1916 Frederiksberg C"
"Norsvej 6, st. tv, 1916 Frederiksberg C"
"Norsvej 6, 1. th, 1916 Frederiksberg C"
"Norsvej 6, 1. tv, 1916 Frederiksberg C"
"Norsvej 6, 2. th, 1916 Frederiksberg C"
"Norsvej 6, 2. tv, 1916 Frederiksberg C"
"Norsvej 6, 3. th, 1916 Frederiksberg C"
"Norsvej 6, 3. tv, 1916 Frederiksberg C"
"Norsvej 7, st. mf, 1916 Frederiksberg C"
"Norsvej 7, st. th, 1916 Frederiksberg C"
"Norsvej 7, st. tv, 1916 Frederiksberg C"
"Norsvej 7, 1. mf, 1916 Frederiksberg C"
"Norsvej 7, 1. th, 1916 Frederiksberg C"
"Norsvej 7, 1. tv, 1916 Frederiksberg C"
"Norsvej 7, 2. mf, 1916 Frederiksberg C"
"Norsvej 7, 2. th, 1916 Frederiksberg C"
"Norsvej 7, 2. tv, 1916 Frederiksberg C"
"Norsvej 7, 3. th, 1916 Frederiksberg C"
"Norsvej 7, 3. tv, 1916 Frederiksberg C"
"Norsvej 8, st. mf, 1916 Frederiksberg C"
"Norsvej 8, st. th, 1916 Frederiksberg C"
"Norsvej 8, st. tv, 1916 Frederiksberg C"
"Norsvej 8, 1. mf, 1916 Frederiksberg C"
"Norsvej 8, 1. th, 1916 Frederiksberg C"
"Norsvej 8, 1. tv, 1916 Frederiksberg C"
"Norsvej 8, 2. mf, 1916 Frederiksberg C"
"Norsvej 8, 2. th, 1916 Frederiksberg C"
"Norsvej 8, 2. tv, 1916 Frederiksberg C"
"Norsvej 8, 3. th, 1916 Frederiksberg C"
"Norsvej 8, 3. tv, 1916 Frederiksberg C"
"Norsvej 9, st. mf, 1916 Frederiksberg C"
"Norsvej 9, st. th, 1916 Frederiksberg C"
"Norsvej 9, st. tv, 1916 Frederiksberg C"
"Norsvej 9, 1. mf, 1916 Frederiksberg C"
"Norsvej 9, 1. th, 1916 Frederiksberg C"
"Norsvej 9, 1. tv, 1916 Frederiksberg C"
"Norsvej 9, 2. mf, 1916 Frederiksberg C"
"Norsvej 9, 2. th, 1916 Frederiksberg C"
"Norsvej 9, 2. tv, 1916 Frederiksberg C"
"Norsvej 9, 3. th, 1916 Frederiksberg C"
"Norsvej 9, 3. tv, 1916 Frederiksberg C"
"Norsvej 2, st., 1916 Frederiksberg C"
"Norsvej 2, 1., 1916 Frederiksberg C"
"Norsvej 2, 2., 1916 Frederiksberg C"
"Norsvej 2, 3., 1916 Frederiksberg C"
"Norsvej 2, 4., 1916 Frederiksberg C"
"Norsvej 3, st. mf, 1916 Frederiksberg C"
"Norsvej 3, st. th, 1916 Frederiksberg C"
"Norsvej 3, st. tv, 1916 Frederiksberg C"
