"Sankt Markus Plads 8, st. th, 1921 Frederiksberg C"
"Sankt Markus Plads 8, st. tv, 1921 Frederiksberg C"
"Sankt Markus Plads 8, 1. th, 1921 Frederiksberg C"
"Sankt Markus Plads 8, 1. tv, 1921 Frederiksberg C"
"Sankt Markus Plads 8, 2. th, 1921 Frederiksberg C"
"Sankt Markus Plads 8, 2. tv, 1921 Frederiksberg C"
"Sankt Markus Plads 8, 3. th, 1921 Frederiksberg C"
"Sankt Markus Plads 8, 3. tv, 1921 Frederiksberg C"
"Sankt Markus Plads 8, 4. th, 1921 Frederiksberg C"
"Sankt Markus Plads 8, 4. tv, 1921 Frederiksberg C"
"Sankt Markus Plads 10, st. th, 1921 Frederiksberg C"
"Sankt Markus Plads 10, st. tv, 1921 Frederiksberg C"
"Sankt Markus Plads 10, 1. th, 1921 Frederiksberg C"
"Sankt Markus Plads 10, 1. tv, 1921 Frederiksberg C"
"Sankt Markus Plads 10, 2. th, 1921 Frederiksberg C"
"Sankt Markus Plads 10, 2. tv, 1921 Frederiksberg C"
"Sankt Markus Plads 10, 3. th, 1921 Frederiksberg C"
"Sankt Markus Plads 10, 3. tv, 1921 Frederiksberg C"
"Sankt Markus Plads 10, 4. th, 1921 Frederiksberg C"
"Sankt Markus Plads 10, 4. tv, 1921 Frederiksberg C"
"Sankt Markus Plads 10, 5., 1921 Frederiksberg C"
"Sankt Markus Plads 12, st. mf, 1921 Frederiksberg C"
"Sankt Markus Plads 12, st. th, 1921 Frederiksberg C"
"Sankt Markus Plads 12, st. tv, 1921 Frederiksberg C"
"Sankt Markus Plads 12, 1. th, 1921 Frederiksberg C"
"Sankt Markus Plads 12, 1. tv, 1921 Frederiksberg C"
"Sankt Markus Plads 12, 2. th, 1921 Frederiksberg C"
"Sankt Markus Plads 12, 2. tv, 1921 Frederiksberg C"
"Sankt Markus Plads 12, 3. th, 1921 Frederiksberg C"
"Sankt Markus Plads 12, 3. tv, 1921 Frederiksberg C"
"Sankt Markus Plads 12, 4. th, 1921 Frederiksberg C"
"Sankt Markus Plads 12, 4. tv, 1921 Frederiksberg C"
