"Sankt Markus Alle 1, st., 1922 Frederiksberg C"
"Sankt Markus Alle 3, st., 1922 Frederiksberg C"
"Sankt Markus Alle 3, 1., 1922 Frederiksberg C"
"Sankt Markus Alle 3, 2., 1922 Frederiksberg C"
"Sankt Markus Alle 3, 3., 1922 Frederiksberg C"
"Sankt Markus Alle 3, 4., 1922 Frederiksberg C"
"Sankt Markus Alle 5, kl. th, 1922 Frederiksberg C"
"Sankt Markus Alle 5, kl. tv, 1922 Frederiksberg C"
"Sankt Markus Alle 5, st. th, 1922 Frederiksberg C"
"Sankt Markus Alle 5, st. tv, 1922 Frederiksberg C"
"Sankt Markus Alle 5, 1. th, 1922 Frederiksberg C"
"Sankt Markus Alle 5, 1. tv, 1922 Frederiksberg C"
"Sankt Markus Alle 5, 2. th, 1922 Frederiksberg C"
"Sankt Markus Alle 5, 2. tv, 1922 Frederiksberg C"
"Sankt Markus Alle 5, 3. th, 1922 Frederiksberg C"
"Sankt Markus Alle 5, 3. tv, 1922 Frederiksberg C"
"Sankt Markus Alle 5, 4. th, 1922 Frederiksberg C"
"Sankt Markus Alle 5, 4. tv, 1922 Frederiksberg C"
"Sankt Markus Alle 5, 5., 1922 Frederiksberg C"
"Sankt Markus Alle 6, kl., 1922 Frederiksberg C"
"Sankt Markus Alle 6, st. th, 1922 Frederiksberg C"
"Sankt Markus Alle 6, st. tv, 1922 Frederiksberg C"
"Sankt Markus Alle 6, 1. th, 1922 Frederiksberg C"
"Sankt Markus Alle 6, 1. tv, 1922 Frederiksberg C"
"Sankt Markus Alle 6, 2. th, 1922 Frederiksberg C"
"Sankt Markus Alle 6, 2. tv, 1922 Frederiksberg C"
"Sankt Markus Alle 6, 3. th, 1922 Frederiksberg C"
"Sankt Markus Alle 6, 3. tv, 1922 Frederiksberg C"
"Sankt Markus Alle 6, 4. th, 1922 Frederiksberg C"
"Sankt Markus Alle 6, 4. tv, 1922 Frederiksberg C"
"Sankt Markus Alle 13, 1., 1922 Frederiksberg C"
"Sankt Markus Alle 13, 3., 1922 Frederiksberg C"
"Sankt Markus Alle 13, 4., 1922 Frederiksberg C"
"Sankt Markus Alle 15, 3., 1922 Frederiksberg C"
"Sankt Markus Alle 15, 1., 1922 Frederiksberg C"
"Sankt Markus Alle 10, 1922 Frederiksberg C"
"Sankt Markus Alle 8, 1922 Frederiksberg C"
"Sankt Markus Alle 15, 2., 1922 Frederiksberg C"
"Sankt Markus Alle 15, 1922 Frederiksberg C"
"Sankt Markus Alle 15, st., 1922 Frederiksberg C"
"Sankt Markus Alle 4, kl. mf, 1922 Frederiksberg C"
"Sankt Markus Alle 4, kl. tv, 1922 Frederiksberg C"
"Sankt Markus Alle 4, st. th, 1922 Frederiksberg C"
"Sankt Markus Alle 4, 1. th, 1922 Frederiksberg C"
"Sankt Markus Alle 4, 2. th, 1922 Frederiksberg C"
"Sankt Markus Alle 4, 3. th, 1922 Frederiksberg C"
"Sankt Markus Alle 4, 1922 Frederiksberg C"
"Sankt Markus Alle 4, kl. th, 1922 Frederiksberg C"
"Sankt Markus Alle 4, kl., 1922 Frederiksberg C"
"Sankt Markus Alle 4, st. tv, 1922 Frederiksberg C"
"Sankt Markus Alle 4, 1. tv, 1922 Frederiksberg C"
"Sankt Markus Alle 4, 2. tv, 1922 Frederiksberg C"
"Sankt Markus Alle 4, 3. tv, 1922 Frederiksberg C"
"Sankt Markus Alle 4, 4., 1922 Frederiksberg C"
"Sankt Markus Alle 13, st., 1922 Frederiksberg C"
"Sankt Markus Alle 13, 2., 1922 Frederiksberg C"
