"Johnstrups Alle 1, st. th, 1923 Frederiksberg C"
"Johnstrups Alle 1, st. tv, 1923 Frederiksberg C"
"Johnstrups Alle 1, 1. th, 1923 Frederiksberg C"
"Johnstrups Alle 1, 1. tv, 1923 Frederiksberg C"
"Johnstrups Alle 1, 2. th, 1923 Frederiksberg C"
"Johnstrups Alle 1, 2. tv, 1923 Frederiksberg C"
"Johnstrups Alle 1, 3. th, 1923 Frederiksberg C"
"Johnstrups Alle 1, 3. tv, 1923 Frederiksberg C"
"Johnstrups Alle 1, 4. th, 1923 Frederiksberg C"
"Johnstrups Alle 1, 4. tv, 1923 Frederiksberg C"
"Johnstrups Alle 1, 5. th, 1923 Frederiksberg C"
"Johnstrups Alle 1, 5. tv, 1923 Frederiksberg C"
"Johnstrups Alle 2, st. th, 1923 Frederiksberg C"
"Johnstrups Alle 2, st. tv, 1923 Frederiksberg C"
"Johnstrups Alle 2, 1. th, 1923 Frederiksberg C"
"Johnstrups Alle 2, 1. tv, 1923 Frederiksberg C"
"Johnstrups Alle 2, 2. th, 1923 Frederiksberg C"
"Johnstrups Alle 2, 2. tv, 1923 Frederiksberg C"
"Johnstrups Alle 2, 3. th, 1923 Frederiksberg C"
"Johnstrups Alle 2, 3. tv, 1923 Frederiksberg C"
"Johnstrups Alle 2, 4. th, 1923 Frederiksberg C"
"Johnstrups Alle 2, 4. tv, 1923 Frederiksberg C"
"Johnstrups Alle 2, 5., 1923 Frederiksberg C"
"Johnstrups Alle 3, kl., 1923 Frederiksberg C"
"Johnstrups Alle 3, st. th, 1923 Frederiksberg C"
"Johnstrups Alle 3, st. tv, 1923 Frederiksberg C"
"Johnstrups Alle 3, 1. th, 1923 Frederiksberg C"
"Johnstrups Alle 3, 1. tv, 1923 Frederiksberg C"
"Johnstrups Alle 3, 2. th, 1923 Frederiksberg C"
"Johnstrups Alle 3, 2. tv, 1923 Frederiksberg C"
"Johnstrups Alle 3, 3. th, 1923 Frederiksberg C"
"Johnstrups Alle 3, 3. tv, 1923 Frederiksberg C"
"Johnstrups Alle 3, 4. th, 1923 Frederiksberg C"
"Johnstrups Alle 3, 4. tv, 1923 Frederiksberg C"
"Johnstrups Alle 4, st. th, 1923 Frederiksberg C"
"Johnstrups Alle 4, st. tv, 1923 Frederiksberg C"
"Johnstrups Alle 4, 1. th, 1923 Frederiksberg C"
"Johnstrups Alle 4, 1. tv, 1923 Frederiksberg C"
"Johnstrups Alle 4, 2. th, 1923 Frederiksberg C"
"Johnstrups Alle 4, 2. tv, 1923 Frederiksberg C"
"Johnstrups Alle 4, 3. th, 1923 Frederiksberg C"
"Johnstrups Alle 4, 3. tv, 1923 Frederiksberg C"
"Johnstrups Alle 4, 4. th, 1923 Frederiksberg C"
"Johnstrups Alle 4, 4. tv, 1923 Frederiksberg C"
