"Steenstrups Alle 9, st. tv, 1924 Frederiksberg C"
"Steenstrups Alle 9, 1. th, 1924 Frederiksberg C"
"Steenstrups Alle 9, 1. tv, 1924 Frederiksberg C"
"Steenstrups Alle 9, 2. th, 1924 Frederiksberg C"
"Steenstrups Alle 9, 2. tv, 1924 Frederiksberg C"
"Steenstrups Alle 9, 3. th, 1924 Frederiksberg C"
"Steenstrups Alle 9, 3. tv, 1924 Frederiksberg C"
"Steenstrups Alle 9, 4. th, 1924 Frederiksberg C"
"Steenstrups Alle 9, 4. tv, 1924 Frederiksberg C"
"Steenstrups Alle 11, st. th, 1924 Frederiksberg C"
"Steenstrups Alle 11, st. tv, 1924 Frederiksberg C"
"Steenstrups Alle 11, 1. th, 1924 Frederiksberg C"
"Steenstrups Alle 11, 1. tv, 1924 Frederiksberg C"
"Steenstrups Alle 11, 2. th, 1924 Frederiksberg C"
"Steenstrups Alle 11, 2. tv, 1924 Frederiksberg C"
"Steenstrups Alle 11, 3. th, 1924 Frederiksberg C"
"Steenstrups Alle 11, 3. tv, 1924 Frederiksberg C"
"Steenstrups Alle 11, 4. th, 1924 Frederiksberg C"
"Steenstrups Alle 11, 4. tv, 1924 Frederiksberg C"
"Steenstrups Alle 13, st. th, 1924 Frederiksberg C"
"Steenstrups Alle 13, st. tv, 1924 Frederiksberg C"
"Steenstrups Alle 13, 1. th, 1924 Frederiksberg C"
"Steenstrups Alle 13, 1. tv, 1924 Frederiksberg C"
"Steenstrups Alle 13, 2. th, 1924 Frederiksberg C"
"Steenstrups Alle 13, 2. tv, 1924 Frederiksberg C"
"Steenstrups Alle 13, 3. th, 1924 Frederiksberg C"
"Steenstrups Alle 13, 3. tv, 1924 Frederiksberg C"
"Steenstrups Alle 13, 4. th, 1924 Frederiksberg C"
"Steenstrups Alle 13, 4. tv, 1924 Frederiksberg C"
"Steenstrups Alle 13, 5. th, 1924 Frederiksberg C"
"Steenstrups Alle 13, 5. tv, 1924 Frederiksberg C"
"Steenstrups Alle 15, st. th, 1924 Frederiksberg C"
"Steenstrups Alle 15, st. tv, 1924 Frederiksberg C"
"Steenstrups Alle 15, 1. th, 1924 Frederiksberg C"
"Steenstrups Alle 15, 1. tv, 1924 Frederiksberg C"
"Steenstrups Alle 15, 2. th, 1924 Frederiksberg C"
"Steenstrups Alle 15, 2. tv, 1924 Frederiksberg C"
"Steenstrups Alle 15, 3. th, 1924 Frederiksberg C"
"Steenstrups Alle 15, 3. tv, 1924 Frederiksberg C"
"Steenstrups Alle 15, 4. th, 1924 Frederiksberg C"
"Steenstrups Alle 15, 4. tv, 1924 Frederiksberg C"
"Steenstrups Alle 15, 5. mf, 1924 Frederiksberg C"
"Steenstrups Alle 15, 5. th, 1924 Frederiksberg C"
"Steenstrups Alle 15, 5. tv, 1924 Frederiksberg C"
"Steenstrups Alle 17, st. tv, 1924 Frederiksberg C"
"Steenstrups Alle 17, 1. th, 1924 Frederiksberg C"
"Steenstrups Alle 17, 1. tv, 1924 Frederiksberg C"
"Steenstrups Alle 17, 2. th, 1924 Frederiksberg C"
"Steenstrups Alle 17, 2. tv, 1924 Frederiksberg C"
"Steenstrups Alle 17, 3. th, 1924 Frederiksberg C"
"Steenstrups Alle 17, 3. tv, 1924 Frederiksberg C"
"Steenstrups Alle 17, 4. th, 1924 Frederiksberg C"
"Steenstrups Alle 17, 4. tv, 1924 Frederiksberg C"
"Steenstrups Alle 3, st. th, 1924 Frederiksberg C"
"Steenstrups Alle 3, st. tv, 1924 Frederiksberg C"
"Steenstrups Alle 3, 1. th, 1924 Frederiksberg C"
"Steenstrups Alle 3, 1. tv, 1924 Frederiksberg C"
"Steenstrups Alle 3, 2. th, 1924 Frederiksberg C"
"Steenstrups Alle 3, 2. tv, 1924 Frederiksberg C"
"Steenstrups Alle 3, 3. th, 1924 Frederiksberg C"
"Steenstrups Alle 3, 3. tv, 1924 Frederiksberg C"
"Steenstrups Alle 3, 4. th, 1924 Frederiksberg C"
"Steenstrups Alle 3, 4. tv, 1924 Frederiksberg C"
"Steenstrups Alle 5, st. th, 1924 Frederiksberg C"
"Steenstrups Alle 5, st. tv, 1924 Frederiksberg C"
"Steenstrups Alle 5, 1. th, 1924 Frederiksberg C"
"Steenstrups Alle 5, 1. tv, 1924 Frederiksberg C"
"Steenstrups Alle 5, 2. th, 1924 Frederiksberg C"
"Steenstrups Alle 5, 2. tv, 1924 Frederiksberg C"
"Steenstrups Alle 5, 3. th, 1924 Frederiksberg C"
"Steenstrups Alle 5, 3. tv, 1924 Frederiksberg C"
"Steenstrups Alle 5, 4. th, 1924 Frederiksberg C"
"Steenstrups Alle 5, 4. tv, 1924 Frederiksberg C"
"Steenstrups Alle 7, st. th, 1924 Frederiksberg C"
"Steenstrups Alle 7, st. tv, 1924 Frederiksberg C"
"Steenstrups Alle 7, 1. th, 1924 Frederiksberg C"
"Steenstrups Alle 7, 1. tv, 1924 Frederiksberg C"
"Steenstrups Alle 7, 2. th, 1924 Frederiksberg C"
"Steenstrups Alle 7, 2. tv, 1924 Frederiksberg C"
"Steenstrups Alle 7, 3. th, 1924 Frederiksberg C"
"Steenstrups Alle 7, 3. tv, 1924 Frederiksberg C"
"Steenstrups Alle 7, 4. th, 1924 Frederiksberg C"
"Steenstrups Alle 7, 4. tv, 1924 Frederiksberg C"
"Steenstrups Alle 9, st. th, 1924 Frederiksberg C"
"Steenstrups Alle 13, 1924 Frederiksberg C"
"Steenstrups Alle 4, 1924 Frederiksberg C"
"Steenstrups Alle 6, 1924 Frederiksberg C"
"Steenstrups Alle 3, 5., 1924 Frederiksberg C"
"Steenstrups Alle 17, st. th, 1924 Frederiksberg C"
