"Suomisvej 1, st. th, 1927 Frederiksberg C"
"Suomisvej 1, st. tv, 1927 Frederiksberg C"
"Suomisvej 1, 1. th, 1927 Frederiksberg C"
"Suomisvej 1, 1. tv, 1927 Frederiksberg C"
"Suomisvej 1, 2. th, 1927 Frederiksberg C"
"Suomisvej 1, 2. tv, 1927 Frederiksberg C"
"Suomisvej 1, 3. th, 1927 Frederiksberg C"
"Suomisvej 1, 3. tv, 1927 Frederiksberg C"
"Suomisvej 3, kl., 1927 Frederiksberg C"
"Suomisvej 3, st. th, 1927 Frederiksberg C"
"Suomisvej 3, st. tv, 1927 Frederiksberg C"
"Suomisvej 3, 1. th, 1927 Frederiksberg C"
"Suomisvej 3, 1. tv, 1927 Frederiksberg C"
"Suomisvej 3, 2. th, 1927 Frederiksberg C"
"Suomisvej 3, 2. tv, 1927 Frederiksberg C"
"Suomisvej 3, 3. th, 1927 Frederiksberg C"
"Suomisvej 3, 3. tv, 1927 Frederiksberg C"
"Suomisvej 5, st., 1927 Frederiksberg C"
"Suomisvej 5, 1., 1927 Frederiksberg C"
"Suomisvej 6, kl., 1927 Frederiksberg C"
"Suomisvej 6, st., 1927 Frederiksberg C"
"Suomisvej 6, 1., 1927 Frederiksberg C"
"Suomisvej 6, 2., 1927 Frederiksberg C"
"Suomisvej 7, st., 1927 Frederiksberg C"
"Suomisvej 7, st. 1, 1927 Frederiksberg C"
"Suomisvej 7, st. 2, 1927 Frederiksberg C"
"Suomisvej 7, st. 3, 1927 Frederiksberg C"
"Suomisvej 7, st. 4, 1927 Frederiksberg C"
"Suomisvej 7, 1., 1927 Frederiksberg C"
"Suomisvej 7, 2., 1927 Frederiksberg C"
"Suomisvej 7, 3., 1927 Frederiksberg C"
"Suomisvej 8, st., 1927 Frederiksberg C"
"Suomisvej 8, 1., 1927 Frederiksberg C"
"Suomisvej 8, 2. th, 1927 Frederiksberg C"
"Suomisvej 8, 2. tv, 1927 Frederiksberg C"
"Suomisvej 2, kl., 1927 Frederiksberg C"
"Suomisvej 5, 1927 Frederiksberg C"
"Suomisvej 4, 1927 Frederiksberg C"
"Suomisvej 8, 1927 Frederiksberg C"
"Suomisvej 4, kl., 1927 Frederiksberg C"
"Suomisvej 2, st., 1927 Frederiksberg C"
"Suomisvej 4, 2., 1927 Frederiksberg C"
"Suomisvej 2, 1., 1927 Frederiksberg C"
"Suomisvej 2, 2., 1927 Frederiksberg C"
"Suomisvej 4, st., 1927 Frederiksberg C"
"Suomisvej 7, 1927 Frederiksberg C"
"Suomisvej 2, 1927 Frederiksberg C"
"Suomisvej 2, 3., 1927 Frederiksberg C"
"Suomisvej 4, 1., 1927 Frederiksberg C"
"Suomisvej 4, 3., 1927 Frederiksberg C"
