"Steenwinkelsvej 1, st. th, 1966 Frederiksberg C"
"Steenwinkelsvej 1, st. tv, 1966 Frederiksberg C"
"Steenwinkelsvej 1, 1. th, 1966 Frederiksberg C"
"Steenwinkelsvej 1, 1. tv, 1966 Frederiksberg C"
"Steenwinkelsvej 1, 2. th, 1966 Frederiksberg C"
"Steenwinkelsvej 1, 2. tv, 1966 Frederiksberg C"
"Steenwinkelsvej 1, 3. th, 1966 Frederiksberg C"
"Steenwinkelsvej 1, 3. tv, 1966 Frederiksberg C"
"Steenwinkelsvej 1, 4. th, 1966 Frederiksberg C"
"Steenwinkelsvej 1, 4. tv, 1966 Frederiksberg C"
"Steenwinkelsvej 2, st. th, 1966 Frederiksberg C"
"Steenwinkelsvej 2, st. tv, 1966 Frederiksberg C"
"Steenwinkelsvej 2, 1. th, 1966 Frederiksberg C"
"Steenwinkelsvej 2, 1. tv, 1966 Frederiksberg C"
"Steenwinkelsvej 2, 2. th, 1966 Frederiksberg C"
"Steenwinkelsvej 2, 2. tv, 1966 Frederiksberg C"
"Steenwinkelsvej 2, 3. th, 1966 Frederiksberg C"
"Steenwinkelsvej 2, 3. tv, 1966 Frederiksberg C"
"Steenwinkelsvej 2, 4. th, 1966 Frederiksberg C"
"Steenwinkelsvej 2, 4. tv, 1966 Frederiksberg C"
"Steenwinkelsvej 2, 5. th, 1966 Frederiksberg C"
"Steenwinkelsvej 3, st. th, 1966 Frederiksberg C"
"Steenwinkelsvej 3, st. tv, 1966 Frederiksberg C"
"Steenwinkelsvej 3, 1. th, 1966 Frederiksberg C"
"Steenwinkelsvej 3, 1. tv, 1966 Frederiksberg C"
"Steenwinkelsvej 3, 2. th, 1966 Frederiksberg C"
"Steenwinkelsvej 3, 2. tv, 1966 Frederiksberg C"
"Steenwinkelsvej 3, 3. th, 1966 Frederiksberg C"
"Steenwinkelsvej 3, 3. tv, 1966 Frederiksberg C"
"Steenwinkelsvej 3, 4. th, 1966 Frederiksberg C"
"Steenwinkelsvej 3, 5. th, 1966 Frederiksberg C"
"Steenwinkelsvej 3, 5. tv, 1966 Frederiksberg C"
"Steenwinkelsvej 4A, kl., 1966 Frederiksberg C"
"Steenwinkelsvej 4A, kl. 2, 1966 Frederiksberg C"
"Steenwinkelsvej 4A, st. th, 1966 Frederiksberg C"
"Steenwinkelsvej 4A, st. tv, 1966 Frederiksberg C"
"Steenwinkelsvej 4A, 1. th, 1966 Frederiksberg C"
"Steenwinkelsvej 4A, 1. tv, 1966 Frederiksberg C"
"Steenwinkelsvej 4A, 2. th, 1966 Frederiksberg C"
"Steenwinkelsvej 4A, 2. tv, 1966 Frederiksberg C"
