"Jakob Dannefærds Vej 1, st. th, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 1, st. tv, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 1, 1. th, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 1, 1. tv, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 1, 2. th, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 1, 2. tv, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 1, 3. th, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 1, 3. tv, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 1, 4. th, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 1, 4. tv, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 2, st. tv, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 2, 1. th, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 2, 1. tv, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 2, 2. th, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 2, 2. tv, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 2, 3. th, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 2, 3. tv, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 2, 4. th, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 2, 4. tv, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 4A, kl. 2, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 4A, st., 1973 Frederiksberg C"
"Jakob Dannefærds Vej 4A, st. tv, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 4A, 1., 1973 Frederiksberg C"
"Jakob Dannefærds Vej 4A, 2., 1973 Frederiksberg C"
"Jakob Dannefærds Vej 4A, 3., 1973 Frederiksberg C"
"Jakob Dannefærds Vej 4A, 4., 1973 Frederiksberg C"
"Jakob Dannefærds Vej 4A, 5., 1973 Frederiksberg C"
"Jakob Dannefærds Vej 4, kl., 1973 Frederiksberg C"
"Jakob Dannefærds Vej 4, st., 1973 Frederiksberg C"
"Jakob Dannefærds Vej 4, 1., 1973 Frederiksberg C"
"Jakob Dannefærds Vej 4, 2., 1973 Frederiksberg C"
"Jakob Dannefærds Vej 4, 3., 1973 Frederiksberg C"
"Jakob Dannefærds Vej 4, 4., 1973 Frederiksberg C"
"Jakob Dannefærds Vej 5, kl., 1973 Frederiksberg C"
"Jakob Dannefærds Vej 5, st. th, 1973 Frederiksberg C"
"Jakob Dannefærds Vej 5, st. tv, 1973 Frederiksberg C"
